"PFCANA","PFCRACE","PFCGENDR","PFCAGE","PFCPOOL","PFCAMNT","PFCCMT"
"PFDeA",3,2,6,2,0.1,1
"PFDoA",3,2,6,2,0.1,1
"PFHpA",3,2,6,2,0.5,0
"PFHxS",3,2,6,2,8.1,0
"PFNA",3,2,6,2,0.6,0
"PFOA",3,2,6,2,5.9,0
"PFOS",3,2,6,2,31.5,0
"PFOSA",3,2,6,2,0.6,0
"Et-PFOSA-AcOH",3,1,3,1,1.3,0
"Me-PFOSA-AcOH",3,1,3,1,3.5,0
"PFBuS",3,1,3,1,0.1,1
"PFDeA",3,1,3,1,0.1,1
"PFDoA",3,1,3,1,0.1,1
"PFHpA",3,1,3,1,0.6,0
"PFHxS",3,1,3,1,10.9,0
"PFNA",3,1,3,1,0.7,0
"PFOA",3,1,3,1,6.5,0
"PFOS",3,1,3,1,32.6,0
"PFOSA",3,1,3,1,0.4,0
"Et-PFOSA-AcOH",3,1,3,2,0.8,0
"Me-PFOSA-AcOH",3,1,3,2,1.4,0
"PFBuS",3,1,3,2,0.1,1
"PFDeA",3,1,3,2,0.1,1
"PFDoA",3,1,3,2,0.1,1
"PFHpA",3,1,3,2,0.3,1
"PFHxS",3,1,3,2,13.2,0
"PFNA",3,1,3,2,0.6,0
"PFOA",3,1,3,2,5.8,0
"PFOS",3,1,3,2,29.6,0
"PFOSA",3,1,3,2,0.3,0
"Et-PFOSA-AcOH",3,1,6,1,0.9,0
"Me-PFOSA-AcOH",3,1,6,1,2.9,0
"PFBuS",3,1,6,1,0.1,1
"PFDeA",3,1,6,1,0.1,1
"PFDoA",3,1,6,1,0.1,1
"PFHpA",3,1,6,1,0.6,0
"PFHxS",3,1,6,1,7.9,0
"PFNA",3,1,6,1,0.6,0
"PFOA",3,1,6,1,5.9,0
"PFOS",3,1,6,1,27.5,0
"PFOSA",3,1,6,1,0.5,0
"Et-PFOSA-AcOH",3,1,6,2,0.9,0
"Me-PFOSA-AcOH",3,1,6,2,2.7,0
"PFBuS",3,1,6,2,0.1,1
"PFDeA",3,1,6,2,0.1,1
"PFDoA",3,1,6,2,0.1,1
"PFHpA",3,1,6,2,0.5,0
"PFHxS",3,1,6,2,8,0
"PFNA",3,1,6,2,0.7,0
"PFOA",3,1,6,2,6.7,0
"PFOS",3,1,6,2,30.9,0
"PFOSA",3,1,6,2,0.6,0
"Et-PFOSA-AcOH",1,2,3,1,1,0
"Me-PFOSA-AcOH",1,2,3,1,3.6,0
"PFBuS",1,2,3,1,0.1,1
"PFDeA",1,2,3,1,0.2,0
"PFDoA",1,2,3,1,0.1,1
"PFHpA",1,2,3,1,0.7,0
"PFHxS",1,2,3,1,18.6,0
"PFNA",1,2,3,1,0.8,0
"PFOA",1,2,3,1,6.5,0
"PFOS",1,2,3,1,33.2,0
"PFOSA",1,2,3,1,0.3,0
"Et-PFOSA-AcOH",1,2,3,2,1.9,0
"Me-PFOSA-AcOH",1,2,3,2,6.2,0
"PFBuS",1,2,3,2,0.1,1
"PFDeA",1,2,3,2,0.1,1
"PFDoA",1,2,3,2,0.1,1
"PFHpA",1,2,3,2,0.7,0
"PFHxS",1,2,3,2,18.8,0
"PFNA",1,2,3,2,1.3,0
"PFOA",1,2,3,2,8.3,0
"PFOS",1,2,3,2,50.6,0
"PFOSA",1,2,3,2,0.5,0
"Et-PFOSA-AcOH",1,2,6,1,0.8,0
"Me-PFOSA-AcOH",1,2,6,1,2.7,0
"PFBuS",1,2,6,1,0.1,1
"PFDeA",1,2,6,1,0.2,0
"PFDoA",1,2,6,1,0.1,1
"PFHpA",1,2,6,1,0.6,0
"PFHxS",1,2,6,1,7.6,0
"PFNA",1,2,6,1,0.9,0
"PFOA",1,2,6,1,7.2,0
"PFOS",1,2,6,1,36.3,0
"PFOSA",1,2,6,1,0.6,0
"Et-PFOSA-AcOH",1,2,6,2,1.2,0
"Me-PFOSA-AcOH",1,2,6,2,4,0
"PFBuS",1,2,6,2,0.1,1
"PFDeA",1,2,6,2,0.1,1
"PFDoA",1,2,6,2,0.1,1
"PFHpA",1,2,6,2,0.7,0
"PFHxS",1,2,6,2,16.4,0
"PFNA",1,2,6,2,1,0
"PFOA",1,2,6,2,7.9,0
"PFOS",1,2,6,2,52.4,0
"PFOSA",1,2,6,2,1,0
"Et-PFOSA-AcOH",1,1,3,1,0.9,0
"Me-PFOSA-AcOH",1,1,3,1,3.9,0
"PFBuS",1,1,3,1,0.1,1
"PFDeA",1,1,3,1,0.1,1
