"POOLID","RIAGENDR","RIDRAETN","RIDAGGRP","RIANSMP","SS028","SS044","SS049","SS052","SS066","SS074","SS087","SS099","SS101","SS110","SS128","SS138","SS146","SS149","SS151","SS153","SS170","SS172","SS177","SS178","SS180","SS183","SS187","SS194","SS195","SS196","SS199","SS206","SS209"
50,2,1,4,34,4.7,0.3,0.2,0.3,2.8,22.8,0.6,13.3,0.8,0.4,0.2,47.7,9.2,0.4,0.3,80,18.7,2.9,3.6,4.5,59.4,5.9,17.4,12.5,2.6,12.9,14.8,12.9,13.9
51,2,1,4,34,4.2,0.4,0.4,0.3,2.4,21.4,0.7,12.8,1,0.4,0.3,49.7,9.4,0.4,0.4,77.4,20.3,3,3.4,4.4,62.4,5.2,17.7,14,2.7,13.9,17.1,14,16.1
52,1,2,1,34,1.1,0.5,0.5,0.3,0.5,2.1,0.5,2.2,0.2,0.3,0.5,5.6,1.1,0.5,0.5,10,1.9,0.5,0.4,0.4,5.5,0.9,2.3,1,0.5,1.4,1,0.7,0.5
53,1,2,1,34,0.9,0.5,0.5,0.5,0.6,2.2,0.5,2.9,0.3,0.4,0.5,7.1,1.4,0.5,0.5,9.4,1.7,0.5,0.5,0.5,5.1,0.7,2,1.3,0.4,1.7,1.7,1.5,0.5
54,1,2,1,34,0.9,0.5,0.5,0.5,0.4,2.2,0.5,2.2,0.3,0.2,0.3,6.7,1.2,0.5,0.5,10.7,2,0.5,0.4,0.5,5.4,0.9,2.1,0.9,0.5,1.2,1.1,0.7,0.5
55,2,2,0,57,1.2,0.4,0.4,0.4,0.4,1.6,0.4,1.6,0.4,0.4,0.4,4.6,0.4,0.4,0.4,4.7,0.9,0.4,0.4,0.4,2.6,0.4,1,0.4,0.4,0.7,0.4,0.4,0.4
56,2,2,0,57,1.2,0.4,0.4,0.4,0.6,1.9,0.4,1.9,0.4,0.4,0.4,5.2,0.6,0.4,0.4,6,1.1,0.4,0.4,0.4,3,0.5,1.3,0.6,0.4,0.6,0.6,0.4,0.4
57,2,2,-1,21,2.3,0.7,0.4,0.5,0.8,2.4,0.4,1.8,0.7,0.4,0.4,3.9,0.4,0.4,0.4,5.6,1.3,0.4,0.4,0.4,3,0.4,1.2,0.6,0.4,0.4,0.4,0.4,0.4
58,2,2,-1,21,2.3,0.6,0.4,0.8,1,3.3,0.4,3.2,0.8,0.4,0.4,7.1,1.5,0.4,0.4,13.1,2.5,0.4,0.4,0.4,5.8,1.1,2.7,0.9,0.4,0.9,0.9,0.4,0.4
59,1,2,0,57,1.3,0.4,0.4,0.6,0.4,1.8,0.4,2,0.7,0.4,0.4,5.1,0.7,0.4,0.4,6,1.4,0.4,0.4,0.4,2.8,0.4,1.5,0.6,0.4,0.9,0.8,0.4,0.4
60,1,2,0,57,1.2,0.4,0.4,0.4,0.4,2.1,0.4,1.9,0.4,0.4,0.4,6.9,0.8,0.4,0.4,8.7,1.9,0.4,0.4,0.4,5.3,0.7,2.1,1.2,0.4,1.2,1.2,0.7,0.4
