"POOLID","RIAGENDR","RIDRAETN","RIDAGGRP","RIANSMP","SSBB1","SSBR2","SSBR3","SSBR4","SSBR5","SSBR6","SSBR66","SSBR7","SSBR8","SSBR9"
34,1,1,4,34,6.2,5.5,177.4,6,64.1,29.2,1,19.3,3.5,0.4
35,1,1,4,34,28.5,3.5,72.7,1.6,15.9,13.5,0.4,14.8,1.5,0.5
36,1,1,4,34,6.9,4.4,80.6,2.2,18.9,20.7,0.4,16.9,2,0.3
37,1,1,4,34,5.9,3.4,49.7,1.4,12.1,9.5,,22.5,1.3,1
38,2,1,1,34,0.6,1,31,0.9,7.2,8.6,0.5,8.8,0.8,0.3
39,2,1,1,34,0.8,3.3,88.7,2.2,22.9,16.5,0.5,16.2,1.7,0.5
40,2,1,1,34,1.3,1.4,29.3,0.7,6,4.5,0.4,7.9,0.4,0.4
41,2,1,2,34,2.4,3.2,83.4,2.5,21.4,15.5,0.5,18.1,1.7,0.3
42,2,1,2,34,1.9,3.5,91.5,2.5,33.3,15.6,0.8,16.5,2.5,0.7
43,2,1,2,34,2.3,2.2,57.5,1.8,13.2,14.2,0.5,27.7,4.3,0.4
44,2,1,2,34,2.6,2,50,1.6,12,12.8,0.4,21.5,4.2,0.3
45,2,1,3,34,2.9,2.3,51.3,1.4,15.6,8.6,0.5,7.4,4.5,0.3
46,2,1,3,34,3.7,0.3,37.8,1,10.8,6.6,0.3,9.2,4.1,0.2
47,2,1,3,34,3,0.4,35.9,1.1,7.1,7.1,0.4,9.3,4.3,0.3
48,2,1,4,34,3.3,2.8,38.8,0.8,7.8,7,0.4,10.6,4.5,0.3
49,2,1,4,34,3.2,3.5,49.9,1.2,11,8.5,0.6,9.9,4.7,0.7
50,2,1,4,34,5.5,4.3,123.1,3.3,37.4,28.1,0.8,37,4,0.4
51,2,1,4,34,8.3,0.4,46.4,0.9,8.6,10.9,0.4,10.8,4.2,0.2
52,1,2,1,34,2.8,2.3,67.2,1.6,18.9,13.5,0.5,22.7,5.7,0.6
53,1,2,1,34,1.8,2.8,77.6,2.1,20,12,0.5,18.5,5.7,0.5
54,1,2,1,34,1.5,3.6,109.5,3.4,33.8,21,0.9,28.6,5.7,0.7
55,2,2,0,57,0.6,3.7,110,2.5,34.5,22.9,1.1,23.8,2.5,0.6
56,2,2,0,57,0.7,1.8,62.8,1.4,22.7,14.5,1,18.5,2.1,0.9
57,2,2,-1,21,0.4,8,223,4.7,89,44.8,0.4,37.6,9.5,1.2
58,2,2,-1,21,0.7,7.1,205,4,56,38.4,0.4,26.5,4.8,0.9
59,1,2,0,57,0.7,2.9,95.8,2.2,27,20.7,1.2,32.6,2,0.9
60,1,2,0,57,1.3,2.3,77,1.5,22.5,16.2,0.9,26.6,1.8,0.7
61,1,2,-1,21,0.8,6,172,3.1,45.6,31.7,0.4,27.5,3,0.6
62,1,2,-1,21,0.4,11.2,246,4.4,61.6,42.4,5,27.8,5.2,1
63,2,3,0,57,3.7,4.2,103,1.8,25.7,20.1,0.4,25.9,2.2,0.7
64,2,3,0,57,1.8,2.9,78.6,1.5,23.4,16.4,0.4,19.5,2,0.6
65,2,3,-1,21,0.4,7.7,231,3.4,68.2,40.5,0.4,21,4.5,3.1
66,2,3,-1,21,0.6,18.1,316,4.3,70.9,44.3,7.8,26.8,4.8,0.7
67,1,3,0,57,1.5,4.8,117,2.2,30.6,23,1.6,23.7,2.4,0.7
68,1,3,0,57,1,3.5,97,2.3,32.2,20.5,1.3,20.2,3,0.6
69,1,3,-1,21,1.4,5.8,173,3.4,49.4,31.1,0.4,24.3,3.4,2
70,1,3,-1,21,1.1,12.3,229,3.5,52.6,38,5.1,24.6,3.9,0.6
71,2,1,0,57,1.1,3,69.6,1.2,19.7,13.6,1.4,13.9,1.6,0.4
72,2,1,0,57,0.9,3,86.6,1.5,24,18.3,0.4,20.2,2.2,0.7
73,2,1,-1,21,2.4,5.7,147,2,35.8,26.2,0.4,18.7,2.4,0.7
74,2,1,-1,21,1,14.4,242,4.2,55.4,42.6,0.4,30.3,3.9,1.6
75,1,1,0,57,1.4,4.1,89,1.6,26.7,17.9,2.1,21.4,2,0.6
76,1,1,0,57,1.1,2.4,66.5,1.2,19.2,14.3,0.9,20.1,1.9,0.5
77,1,1,-1,21,1.3,6.2,163,3.1,42.9,32.7,0.4,33.7,3.1,1.2
78,1,1,-1,21,0.8,13.6,244,3.8,60.1,37.7,0.4,27.3,3.7,0.4
