"SEQN","FSD032A","FSD032B","FSD032C","FSD041","FSD052","FSD061","FSD071","FSD081","FSD092","FSD102","FSD032D","FSD032E","FSD032F","FSD111","FSD122","FSD132","FSD141","FSD146","FSDHH","FSDAD","FSDCH","FSD151","FSQ165","FSQ012","FSD012N","FSD230","FSD225","FSQ235","FSQ162","FSD650ZC","FSD660ZC","FSD675","FSD680","FSD670ZC","FSQ690","FSQ695","FSD650ZW","FSD660ZW","FSD670ZW"
73557,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,1,2,1,26,492,,,,,,,,,,,
73558,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,3,2,230,242,2,,,,,,,,,,
73559,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73560,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,2,2,0,2,,,,
73561,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73562,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73563,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,2,,2,,0,2,,,,
73564,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73565,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73566,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,1,1,1,2,353,1,,,,,,,,,,
73567,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73568,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
73569,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,2,,2,,0,2,,,,
73570,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,,2,,,1,1,60,1,3,,,
73571,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,,
73572,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,3,1,16,420,2,,,1,1,60,1,1,,,
73573,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,1,,,1,1,60,1,2,,,
73574,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73575,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,1,1,2,1,1,12,1,2,,,
73576,2,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,1,6,1,20,500,2,,,,,,,,,,
73577,1,1,2,2,,1,2,2,2,,3,2,3,2,2,,2,2,3,3,2,1,1,1,4,1,22,495,1,,,,,,,,,,
73578,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73579,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73580,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,2,124,300,2,,,,,,,,,,
73581,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,,,,,,,,
73582,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,3,1,24,430,1,,,,,,,,,,
73583,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,2,,,2,2,0,2,,,,
73584,3,3,2,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,2,,,,,,2,,,,,,,,,,
73585,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,2,,,,,,,,,,
73586,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,1,1,2,1,1,36,2,,,,
73587,3,3,3,,,,,,,,2,3,3,2,2,,2,2,2,1,2,2,1,2,,,,,2,,,,,,,,,,
73588,2,3,2,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,2,,,,,2,,,1,1,4,1,2,,,
