"SEQN","FSD032A","FSD032B","FSD032C","FSD032D","FSD032E","FSD032F","FSD041","FSD052","FSD061","FSD071","FSD081","FSD092","FSD102","FSD111","FSD122","FSD132","FSD141","FSD146","FSDHH","FSDAD","FSDCH","FSD151","FSQ400","FSQ410","FSQ420","FSQ430","FSQ440","FSQ450","FSQ460","FSQ470","FSQ480","FSQ490","FSQ500","FSQ510","FSQ520","FSQ170","FSD170N","FSD180","FSD190","FSD200","FSQ162","FSD650C","FSD660C","FSD670C","FSD650M","FSD660M","FSD670M"
21005,3,2,3,,,,2,,2,2,2,,,,,,,,2,2,,2,2,,2,2,2,,,,,,,,,2,0,2,,,,,,,,,
21006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,2,,,,,,
21007,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21008,3,3,2,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,2,,2,2,2,,,,,,,,,2,0,2,,,2,,,,,,
21009,6,6,6,,,,6,6,6,6,6,6,6,,,,,,1,1,,6,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21010,2,2,3,,,,1,3,1,2,2,2,,,,,,,3,3,,1,1,2,1,2,2,2,,,,,,,,2,0,2,,,2,,,,,,
21011,2,2,3,2,3,3,2,,2,2,2,,,,,,,,3,2,2,2,,,,,,,,2,2,2,2,,,2,0,2,,,1,1,1,3,,,
21012,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
21013,1,1,1,1,1,3,1,3,1,2,2,2,,1,2,,2,2,4,3,3,2,,,,,,,,,,,,,,1,1,2,,,2,,,,,,
21014,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,1,2,2,,,1,1,1,36,,,
21015,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,2,0,2,,,,,,,,,
21016,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,2,0,2,,,2,,,,,,
