"SEQN","OCD150","OCQ180","OCQ210","OCD230","OCD240","OCQ260","OCD270","OCQ290G","OCQ290Q","OCQ295","OCQ340","OCQ350","OCQ360","OCQ380","OCD390G","OCD390","OCD395","OCQ420","OCQ430","OCQ440","OCQ450","OCD470G","OCD470","OCD480"
21141,1,40,,4,1,5,108,1,1,2,1,2,,,1,29,120,,2,,,,,
21142,1,20,2,26,40,1,72,2,,2,2,,,,2,,,,,,,,,
21143,4,,,,,,,,,,,,,6,1,35,360,1,1,20,2,,,
21145,4,,,,,,,,,,,,,3,1,9,240,2,,,,,,
21147,1,38,,40,1,3,1,2,,2,2,,,,2,,,,,,,,,
21149,1,160,,39,4,5,240,2,,2,2,,,,2,,,,,,,,,
21153,3,,,,,,,,,,,,,,1,16,156,1,1,2,2,1,31,8
21154,1,36,,28,31,1,24,2,,2,2,,,,2,,,,,,,,,
21155,4,,,,,,,,,,,,,3,1,14,120,2,,,,,,
21156,4,,,,,,,,,,,,,6,1,40,96,2,,,,,,
21158,4,,,,,,,,,,,,,3,1,14,300,2,,,,,,
21159,4,,,,,,,,,,,,,6,1,12,60,1,2,,,1,11,24
21160,4,,,,,,,,,,,,,3,1,14,204,2,,,,,,
21161,4,,,,,,,,,,,,,2,1,37,2,2,,,,4,,
21162,1,40,,41,5,1,1,2,,2,2,,,,1,21,1,,,,,,,
21165,4,,,,,,,,,,,,,3,1,34,48,1,1,8,2,,,
21167,1,43,,11,1,5,360,2,,2,2,,,,2,,,,,,,,,
21169,1,40,,13,15,1,288,2,,2,2,,,,2,,,,,,,,,
21171,1,15,2,40,16,99,8,2,,2,2,,,,2,,,,,,,,,
21172,2,,1,43,18,4,240,2,,2,1,1,9999,,2,,,,,,,4,,
21173,1,18,2,33,17,5,360,2,,2,2,,,,2,,,,,,,,,
21175,4,,,,,,,,,,,,,2,1,21,18,2,,,,,,
21177,4,,,,,,,,,,,,,6,1,31,120,1,1,8,2,4,,
21178,4,,,,,,,,,,,,,6,1,26,144,2,,,,,,
21181,1,32,2,41,22,1,84,2,,2,2,,,,1,22,84,,,,,,,
21183,4,,,,,,,,,,,,,3,1,9,444,2,,,,,,
21184,4,,,,,,,,,,,,,5,1,23,24,2,,,,,,
21185,1,44,,40,1,3,288,2,,2,2,,,,2,,,,,,,,,
21186,4,,,,,,,,,,,,,2,1,24,36,2,,,,4,,
21189,1,20,2,26,11,1,6,2,,2,2,,,,2,,,,,,,,,
21190,2,,1,29,16,1,0,2,,2,2,,,,2,,,,,,,,,
21192,4,,,,,,,,,,,,,3,4,,,,,,,,,
21193,1,45,,5,35,1,132,2,,2,2,,,,2,,,,,,,,,
