"SEQN","OCD150","OCQ180","OCQ210","OCD230","OCD240","OCQ260","OCD270","OCQ290G","OCQ290Q","OCQ295","OCQ340","OCQ350","OCQ360","OCQ380","OCD390G","OCD390","OCD395","OCQ420","OCQ430","OCQ440","OCQ450","OCD470G","OCD470","OCD480"
23810,4,,,,,,,,,,,,,2,4,,,,,,,,,
23811,1,40,,4,2,1,72,1,8,1,1,2,,,2,,,,,,,,,
23813,1,38,,27,1,1,12,2,,2,2,,,,2,,,,,,,,,
23814,1,60,,4,1,5,168,2,,1,1,1,4,,2,,,,,,,,,
23815,1,40,,98,98,1,240,2,,2,2,,,,2,,,,,,,,,
23816,4,,,,,,,,,,,,,6,1,30,180,1,1,8,1,,,
23817,4,,,,,,,,,,,,,2,4,,,,,,,,,
23818,1,30,2,28,11,1,24,2,,2,2,,,,2,,,,,,,,,
23819,1,10,2,8,14,1,48,2,,2,2,,,,2,,,,,,,,,
23820,1,50,,33,17,1,120,2,,2,1,2,,,1,8,300,,2,,,,,
23822,4,,,,,,,,,,,,,2,4,,,,,,,,,
23823,4,,,,,,,,,,,,,7,1,24,24,2,,,,,,
23828,4,,,,,,,,,,,,,3,1,32,420,1,1,8,2,,,
23829,4,,,,,,,,,,,,,7,1,22,48,2,,,,4,,
23830,1,40,,19,10,1,12,2,,2,1,2,,,1,11,72,,1,2,2,,,
23831,4,,,,,,,,,,,,,3,1,40,264,1,1,4,1,,,
23832,4,,,,,,,,,,,,,1,1,12,84,2,,,,,,
23833,1,105,,27,21,5,84,2,,2,1,1,6,,1,14,192,,2,,,,,
23834,4,,,,,,,,,,,,,1,1,5,36,2,,,,,,
23836,1,5,1,40,5,1,72,2,,2,2,,,,2,,,,,,,,,
23839,4,,,,,,,,,,,,,3,1,5,84,2,,,,,,
23842,2,,2,1,26,1,144,2,,1,1,1,2,,2,,,,,,,,,
23845,1,36,,35,24,1,0,2,,2,1,1,3,,2,,,,,,,,,
23846,4,,,,,,,,,,,,,3,1,16,444,2,,,,,,
23848,1,48,,31,23,1,48,2,,2,2,,,,1,16,96,,,,,,,
23849,1,40,,32,29,5,1,2,,1,1,1,3,,2,,,,,,,,,
23850,4,,,,,,,,,,,,,1,1,32,84,1,1,8,1,,,
23852,1,50,,42,6,5,36,2,,2,1,2,,,1,6,156,,2,,,,,
23857,4,,,,,,,,,,,,,2,4,,,,,,,,,
23859,1,45,,27,20,1,36,2,,2,2,,,,2,,,,,,,,,
23861,3,,,,,,,,,,,,,,4,,,,,,,,,
23863,4,,,,,,,,,,,,,2,4,,,,,,,,,
23866,4,,,,,,,,,,,,,7,1,20,3,2,,,,,,
23869,1,45,,39,2,1,36,2,,2,2,,,,2,,,,,,,,,
23870,1,50,,2,27,1,36,2,,2,2,,,,2,,,,,,,,,
23874,4,,,,,,,,,,,,,7,1,11,36,2,,,,,,
23878,4,,,,,,,,,,,,,3,1,3,300,1,2,,,,,
23879,4,,,,,,,,,,,,,3,1,11,180,2,,,,,,
23880,4,,,,,,,,,,,,,7,1,11,18,2,,,,,,
23882,1,30,1,4,35,1,120,2,,2,1,1,4,,2,,,,,,,,,
23883,4,,,,,,,,,,,,,6,1,14,288,1,1,2,2,,,
23884,1,48,,13,31,1,540,2,,1,1,2,,,2,,,,,,,,,
23886,1,50,,4,1,5,72,2,,2,1,1,1,,2,,,,,,,,,
23888,3,,,,,,,,,,,,,,1,29,180,1,2,,,,,
23889,1,52,,11,34,1,180,2,,1,2,,,,2,,,,,,,,,
23890,4,,,,,,,,,,,,,2,1,33,3,2,,,,,,
23893,1,27,1,28,36,1,2,1,8,2,2,,,,1,18,3,,,,,,,
23894,1,50,,28,36,1,48,2,,1,1,1,6,,2,,,,,,,,,
23896,1,40,,5,39,1,24,2,,2,2,,,,2,,,,,,,,,
23897,1,65,,38,29,1,48,2,,1,1,1,5,,1,22,144,,2,,,,,
23898,4,,,,,,,,,,,,,2,1,2,4,2,,,,,,
23899,1,14,1,40,16,3,10,2,,2,2,,,,1,24,48,,,,,,,
23900,4,,,,,,,,,,,,,3,1,30,216,1,1,5,2,,,
23901,4,,,,,,,,,,,,,1,1,23,2,2,,,,,,
23904,1,38,,44,5,3,240,2,,2,2,,,,2,,,,,,,,,
23906,1,40,,27,20,1,12,2,,2,2,,,,2,,,,,,,,,
23908,1,34,1,5,8,1,84,1,1,1,1,1,1,,1,15,168,,2,,,,,
23909,1,60,,27,20,1,84,1,2,2,2,,,,2,,,,,,,,,
23910,4,,,,,,,,,,,,,7,1,23,48,1,1,5,1,,,
23912,1,9,2,40,5,3,7,2,,2,2,,,,1,7,24,,,,,,,
23913,1,40,,2,27,4,144,1,1,1,1,1,5,,2,,,,,,,,,
23914,4,,,,,,,,,,,,,7,4,,,,,,,,,
23915,1,60,,22,1,1,12,2,,2,1,2,,,2,,,,,,,,,
23916,1,34,2,39,22,1,144,2,,2,2,,,,2,,,,,,,4,,
23917,4,,,,,,,,,,,,,3,1,1,240,2,,,,,,
23919,1,40,,38,16,1,36,1,1,2,2,,,,2,,,,,,,,,
23921,4,,,,,,,,,,,,,3,1,30,480,1,1,10,2,,,
23923,1,40,,39,22,1,1,2,,2,2,,,,2,,,,,,,,,
23924,4,,,,,,,,,,,,,3,1,39,360,2,,,,,,
23926,1,30,2,39,22,1,6,2,,2,1,2,,,1,3,60,,1,12,1,,,
23928,1,45,,29,10,1,96,2,,2,2,,,,2,,,,,,,,,
23929,1,60,,19,3,1,120,2,,2,1,2,,,2,,,,,,,4,,
23930,3,,,,,,,,,,,,,,4,,,,,,,,,
23932,4,,,,,,,,,,,,,3,1,28,636,2,,,,,,
23933,4,,,,,,,,,,,,,2,4,,,,,,,,,
23935,1,50,,7,10,5,216,1,8,2,2,,,,2,,,,,,,,,
23936,1,40,,13,31,1,156,2,,2,2,,,,2,,,,,,,,,
23937,3,,,,,,,,,,,,,,4,,,,,,,,,
23941,1,40,,44,2,2,36,2,,2,2,,,,1,12,168,,,,,,,
23942,4,,,,,,,,,,,,,3,1,31,432,1,1,8,2,,,
23944,4,,,,,,,,,,,,,1,1,22,9,2,,,,,,
23946,4,,,,,,,,,,,,,7,1,23,18,2,,,,4,,
23947,4,,,,,,,,,,,,,3,1,25,120,2,,,,,,
23948,1,35,,42,12,5,120,2,,2,2,,,,2,,,,,,,,,
23949,4,,,,,,,,,,,,,2,1,31,6,2,,,,,,
23950,1,6,2,27,19,1,36,2,,2,2,,,,2,,,,,,,,,
23951,1,50,,22,31,1,372,2,,2,2,,,,2,,,,,,,,,
23953,1,45,,29,1,1,12,2,,2,2,,,,2,,,,,,,4,,
23957,1,39,,23,11,1,5,1,1,2,2,,,,2,,,,,,,,,
23958,4,,,,,,,,,,,,,6,1,23,132,1,2,,,,,
23959,4,,,,,,,,,,,,,5,1,5,120,1,1,2,2,,,
23961,4,,,,,,,,,,,,,1,1,13,48,2,,,,,,
23962,4,,,,,,,,,,,,,3,1,22,324,2,,,,,,
23964,4,,,,,,,,,,,,,4,1,11,48,1,2,,,1,31,5
23966,4,,,,,,,,,,,,,3,1,14,240,2,,,,,,
23967,4,,,,,,,,,,,,,3,1,31,180,2,,,,,,
23968,1,60,,34,29,1,84,1,1,1,1,1,1,,2,,,,,,,,,
23969,4,,,,,,,,,,,,,3,1,3,336,2,,,,,,
23970,1,30,2,29,16,1,6,2,,2,2,,,,2,,,,,,,4,,
23972,1,40,,31,37,1,6,2,,2,2,,,,2,,,,,,,,,
23973,4,,,,,,,,,,,,,3,1,34,264,1,1,4,1,,,
23977,1,41,,4,29,1,156,1,8,1,1,1,6,,2,,,,,,,,,
23978,4,,,,,,,,,,,,,3,1,17,96,2,,,,,,
23979,1,35,,30,10,1,24,2,,2,2,,,,1,9,144,,,,,,,
23980,4,,,,,,,,,,,,,3,1,32,132,2,,,,,,
23981,4,,,,,,,,,,,,,2,4,,,,,,,,,
23982,4,,,,,,,,,,,,,1,4,,,,,,,,,
23985,4,,,,,,,,,,,,,3,1,22,72,2,,,,,,
23986,1,30,2,28,11,1,11,2,,2,2,,,,2,,,,,,,2,,
23991,4,,,,,,,,,,,,,3,1,14,24,2,,,,,,
23992,3,,,,,,,,,,,,,,1,29,132,2,,,,,,
23993,4,,,,,,,,,,,,,1,1,16,36,2,,,,4,,
23994,4,,,,,,,,,,,,,2,1,16,24,2,,,,,,
23997,1,15,2,36,20,1,12,1,1,2,2,,,,2,,,,,,,,,
23998,4,,,,,,,,,,,,,3,1,20,300,2,,,,,,
24002,4,,,,,,,,,,,,,6,1,15,480,1,1,8,1,,,
24003,4,,,,,,,,,,,,,3,1,32,60,1,1,8,2,,,
24005,4,,,,,,,,,,,,,6,1,30,408,1,1,1,1,,,
24007,1,25,2,26,11,1,0,2,,2,2,,,,2,,,,,,,,,
24008,1,60,,27,20,1,6,2,,2,2,,,,2,,,,,,,,,
24009,4,,,,,,,,,,,,,2,1,39,6,2,,,,,,
24010,1,40,,31,9,5,12,2,,2,1,2,,,1,28,144,,2,,,,,
24012,4,,,,,,,,,,,,,7,1,24,12,2,,,,4,,
24015,4,,,,,,,,,,,,,2,1,18,36,2,,,,4,,
24016,1,74,,42,7,1,4,2,,2,2,,,,1,19,24,,,,,,,
24017,1,40,,38,1,2,288,2,,2,1,2,,,2,,,,,,,2,,
24018,1,14,2,28,11,1,72,2,,2,2,,,,1,30,420,,,,,,,
24019,1,35,,41,23,1,24,2,,2,2,,,,2,,,,,,,,,
24020,1,50,,10,31,1,108,2,,1,1,1,1,,2,,,,,,,,,
24021,4,,,,,,,,,,,,,1,1,11,12,2,,,,,,
24024,4,,,,,,,,,,,,,3,1,33,324,1,1,8,1,,,
24025,1,60,,32,29,5,3,2,,2,1,1,1,,2,,,,,,,4,,
24026,4,,,,,,,,,,,,,1,1,14,24,2,,,,,,
24027,4,,,,,,,,,,,,,1,1,24,192,2,,,,,,
24029,1,60,,20,30,4,36,1,3,1,1,1,6,,1,30,84,,1,2,2,4,,
24030,4,,,,,,,,,,,,,1,1,1,36,2,,,,,,
24032,4,,,,,,,,,,,,,2,1,21,2,2,,,,,,
24035,1,40,,20,29,1,288,2,,1,1,1,1,,2,,,,,,,,,
24037,4,,,,,,,,,,,,,7,1,15,24,2,,,,,,
24040,1,44,,15,34,1,96,2,,2,1,1,9,,2,,,,,,,,,
24041,4,,,,,,,,,,,,,3,1,11,36,2,,,,,,
24042,1,45,,29,1,1,24,2,,2,2,,,,2,,,,,,,,,
24043,4,,,,,,,,,,,,,3,1,37,360,1,1,7,1,,,
24044,1,58,,4,28,1,108,1,10,2,2,,,,2,,,,,,,,,
24045,1,18,1,25,35,1,24,2,,2,1,2,,,1,30,420,,1,3,1,,,
24046,4,,,,,,,,,,,,,3,1,30,60,1,1,9,2,,,
24047,1,19,1,15,1,1,12,1,2,1,1,1,3,,1,1,204,,1,1,1,,,
24049,1,40,,39,7,1,1,2,,2,2,,,,1,2,36,,,,,,,
24050,1,44,,42,14,2,60,1,1,1,2,,,,2,,,,,,,,,
24051,4,,,,,,,,,,,,,1,1,24,60,1,1,8,2,,,
24052,1,28,2,28,11,1,10,2,,2,2,,,,2,,,,,,,,,
24053,1,48,,5,40,1,4,2,,1,1,1,8,,1,39,12,,2,,,,,
24054,1,60,,17,35,1,13,1,2,2,1,2,,,2,,,,,,,,,
24055,4,,,,,,,,,,,,,2,4,,,,,,,,,
24056,3,,,,,,,,,,,,,,1,21,6,2,,,,,,
24057,4,,,,,,,,,,,,,2,1,39,12,2,,,,4,,
24058,4,,,,,,,,,,,,,3,1,21,72,2,,,,,,
24059,4,,,,,,,,,,,,,3,1,33,384,2,,,,,,
24062,4,,,,,,,,,,,,,3,1,31,420,1,1,8,2,,,
24063,1,40,,42,1,1,60,2,,2,2,,,,2,,,,,,,,,
24064,4,,,,,,,,,,,,,3,1,31,396,2,,,,,,
24066,1,50,,15,3,1,72,2,,1,2,,,,2,,,,,,,,,
24067,4,,,,,,,,,,,,,4,1,18,204,2,,,,4,,
24068,4,,,,,,,,,,,,,1,1,24,120,2,,,,,,
24070,1,30,2,27,20,1,17,1,1,2,2,,,,2,,,,,,,,,
24071,4,,,,,,,,,,,,,1,4,,,,,,,,,
24072,4,,,,,,,,,,,,,1,4,,,,,,,,,
24074,1,45,,19,10,1,36,2,,2,2,,,,2,,,,,,,4,,
24075,4,,,,,,,,,,,,,3,1,30,420,2,,,,,,
24077,4,,,,,,,,,,,,,2,1,34,24,1,1,8,1,,,
24079,3,,,,,,,,,,,,,,1,24,72,2,,,,,,
24080,1,10,2,36,18,4,4,2,,2,2,,,,2,,,,,,,,,
24081,4,,,,,,,,,,,,,3,1,32,120,1,1,8,2,,,
24083,1,20,2,27,11,1,3,2,,2,2,,,,2,,,,,,,4,,
24084,1,40,,25,14,1,60,1,1,2,2,,,,2,,,,,,,,,
24085,4,,,,,,,,,,,,,3,1,41,264,1,2,,,,,
24086,1,40,,40,23,4,84,2,,2,2,,,,3,,120,,,,,,,
24088,4,,,,,,,,,,,,,3,1,11,36,2,,,,,,
24089,1,41,,29,16,1,18,1,6,2,1,2,,,1,11,84,,1,8,2,,,
24090,4,,,,,,,,,,,,,6,1,24,336,2,,,,,,
24091,1,40,,25,11,1,24,2,,2,2,,,,2,,,,,,,4,,
24094,3,,,,,,,,,,,,,,1,30,48,1,1,10,1,,,
24095,4,,,,,,,,,,,,,1,1,32,6,2,,,,,,
24097,1,14,2,39,22,1,12,2,,2,2,,,,2,,,,,,,,,
24098,1,40,,35,32,1,0,2,,2,1,1,8,,1,34,24,,1,8,1,,,
24100,4,,,,,,,,,,,,,2,1,13,2,2,,,,,,
24104,4,,,,,,,,,,,,,2,1,24,6,2,,,,,,
24106,1,40,,28,11,1,24,2,,2,2,,,,1,12,96,,,,,,,
24107,1,50,,8,33,1,1,2,,2,2,,,,2,,,,,,,,,
24109,1,40,,24,40,1,48,2,,2,2,,,,2,,,,,,,,,
24111,1,60,,19,16,1,12,2,,2,2,,,,2,,,,,,,,,
24112,1,33,2,27,21,1,6,1,0,2,2,,,,1,11,6,,,,,,,
24114,1,35,,3,14,1,132,2,,2,2,,,,2,,,,,,,,,
24117,1,44,,32,28,1,16,1,1,1,1,1,5,,1,28,96,,1,5,1,2,,
24118,1,36,,38,4,1,24,2,,2,2,,,,1,11,156,,,,,,,
24119,2,,1,35,31,5,300,2,,2,2,,,,1,7,240,,,,,,,
24121,4,,,,,,,,,,,,,7,1,23,2,2,,,,,,
24123,4,,,,,,,,,,,,,3,1,1,300,1,2,,,,,
24124,1,20,2,40,5,3,1,1,3,2,2,,,,1,30,36,,,,,4,,
24125,4,,,,,,,,,,,,,3,1,2,600,1,2,,,,,
24126,4,,,,,,,,,,,,,6,1,26,360,1,1,10,1,,,
24128,1,40,,98,98,77,77777,2,,2,2,,,,7,,,,,,,,,
24129,4,,,,,,,,,,,,,2,4,,,,,,,,,
24131,1,15,2,30,1,5,48,2,,2,2,,,,2,,,,,,,,,
24132,1,45,,31,18,2,24,2,,2,2,,,,1,22,180,,,,,4,,
24133,4,,,,,,,,,,,,,3,1,17,156,2,,,,,,
24134,4,,,,,,,,,,,,,7,4,,,,,,,,,
24135,1,40,,18,15,2,24,2,,2,2,,,,1,16,48,,,,,,,
24136,1,26,1,41,24,1,0,2,,2,2,,,,1,11,24,,,,,,,
24137,4,,,,,,,,,,,,,3,1,16,1,2,,,,,,
24138,1,56,,12,34,1,84,2,,1,1,1,10,,1,31,120,,2,,,,,
24140,1,10,1,28,11,1,48,2,,1,2,,,,1,16,348,,,,,,,
24141,1,70,,20,35,1,2,1,8,1,2,,,,2,,,,,,,,,
24143,1,40,,43,16,2,216,2,,2,2,,,,2,,,,,,,,,
24144,1,45,,5,35,1,6,2,,2,2,,,,1,1,12,,,,,,,
24145,4,,,,,,,,,,,,,2,4,,,,,,,,,
24147,1,6,1,27,19,1,24,2,,2,2,,,,1,2,72,,,,,,,
24149,1,25,2,27,19,1,24,1,6,2,2,,,,2,,,,,,,1,21,27
24152,1,28,1,7,33,1,8,2,,2,2,,,,2,,,,,,,,,
24153,1,20,1,17,39,1,0,2,,2,2,,,,1,35,7,,,,,,,
24155,4,,,,,,,,,,,,,1,1,24,120,2,,,,,,
24157,1,40,,43,7,4,144,2,,2,2,,,,2,,,,,,,,,
24158,4,,,,,,,,,,,,,3,1,12,180,2,,,,,,
24159,4,,,,,,,,,,,,,3,1,31,420,2,,,,,,
24160,4,,,,,,,,,,,,,6,1,12,180,2,,,,,,
24161,1,70,,4,37,1,2,2,,2,1,1,10,,2,,,,,,,,,
24162,4,,,,,,,,,,,,,6,1,6,240,2,,,,,,
24165,4,,,,,,,,,,,,,3,1,22,156,1,2,,,,,
24166,4,,,,,,,,,,,,,2,1,11,12,2,,,,,,
24167,1,40,,40,2,4,24,2,,2,2,,,,2,,,,,,,,,
24168,1,26,1,34,32,1,120,2,,2,2,,,,2,,,,,,,,,
24169,1,16,2,4,14,1,84,1,1,2,2,,,,2,,,,,,,,,
24171,1,36,,27,20,1,12,2,,2,2,,,,2,,,,,,,,,
24172,4,,,,,,,,,,,,,2,4,,,,,,,,,
24175,1,44,,40,5,1,228,2,,2,1,2,,,2,,,,,,,,,
24176,1,40,,37,4,1,96,2,,1,2,,,,2,,,,,,,2,,
24177,1,50,,22,31,1,36,1,2,1,2,,,,2,,,,,,,,,
24178,4,,,,,,,,,,,,,3,1,22,24,2,,,,,,
24179,4,,,,,,,,,,,,,2,4,,,,,,,,,
24180,3,,,,,,,,,,,,,,1,1,420,1,2,,,,,
24181,4,,,,,,,,,,,,,3,1,34,144,2,,,,,,
24183,1,60,,36,24,4,240,1,3,2,1,2,,,2,,,,,,,,,
24184,1,30,1,31,1,5,348,2,,2,2,,,,2,,,,,,,,,
24185,1,17,2,36,39,1,7,1,5,2,2,,,,2,,,,,,,,,
24187,3,,,,,,,,,,,,,,1,9,348,2,,,,,,
24188,4,,,,,,,,,,,,,7,1,11,3,2,,,,,,
24189,4,,,,,,,,,,,,,1,1,39,6,2,,,,,,
24190,4,,,,,,,,,,,,,3,1,12,360,2,,,,,,
24191,1,20,1,32,30,1,24,1,8,2,2,,,,1,30,84,,,,,,,
24192,4,,,,,,,,,,,,,3,1,29,252,2,,,,,,
24193,4,,,,,,,,,,,,,3,1,14,324,2,,,,,,
24194,4,,,,,,,,,,,,,6,1,21,132,2,,,,,,
24195,1,40,,37,13,1,84,2,,2,2,,,,1,24,120,,,,,4,,
24196,1,40,,1,25,5,240,2,,2,1,1,2,,1,27,360,,1,5,2,,,
24197,1,20,1,8,33,1,3,2,,2,1,1,7,,2,,,,,,,,,
24198,1,39,,28,39,1,12,2,,2,2,,,,1,40,72,,,,,,,
24199,4,,,,,,,,,,,,,6,1,21,96,2,,,,,,
24204,1,32,2,38,4,1,180,2,,2,2,,,,2,,,,,,,,,
24205,1,60,,3,28,1,24,2,,1,1,1,12,,1,28,48,,1,12,2,,,
24207,4,,,,,,,,,,,,,6,1,27,120,1,1,8,1,,,
24208,4,,,,,,,,,,,,,3,1,14,36,2,,,,,,
24210,1,24,2,39,23,1,8,1,3,2,2,,,,2,,,,,,,,,
24213,1,70,,36,10,1,2,2,,2,2,,,,1,8,36,,,,,,,
24215,4,,,,,,,,,,,,,1,1,11,5,2,,,,,,
24218,1,40,,22,10,1,84,1,2,2,2,,,,2,,,,,,,,,
24219,4,,,,,,,,,,,,,6,4,,,,,,,,,
24221,4,,,,,,,,,,,,,3,1,24,336,2,,,,,,
24222,1,50,,32,16,1,36,1,1,1,1,1,1,,3,,240,,1,1,1,4,,
24223,4,,,,,,,,,,,,,3,1,31,144,2,,,,,,
24226,4,,,,,,,,,,,,,7,1,11,24,2,,,,,,
24227,1,40,,17,1,1,48,1,10,2,2,,,,1,40,120,,,,,,,
24228,1,25,1,41,22,3,72,2,,2,2,,,,2,,,,,,,,,
24229,1,48,,27,19,1,48,2,,2,2,,,,1,6,240,,,,,,,
24230,4,,,,,,,,,,,,,3,1,24,120,2,,,,,,
24231,1,22,2,27,20,1,2,2,,2,2,,,,2,,,,,,,2,,
24234,1,36,,35,24,1,5,2,,2,2,,,,1,21,7,,,,,,,
24238,4,,,,,,,,,,,,,2,1,24,3,2,,,,4,,
24239,4,,,,,,,,,,,,,4,1,9,120,2,,,,,,
24240,1,20,2,17,39,1,5,1,1,2,2,,,,2,,,,,,,,,
24241,2,,1,39,23,1,24,2,,2,2,,,,1,34,60,,,,,2,,
24243,1,43,,4,30,1,24,1,2,1,1,2,,,1,37,84,,1,3,1,,,
24244,1,40,,25,11,1,2,2,,1,2,,,,2,,,,,,,,,
24245,1,30,1,35,24,1,180,2,,2,2,,,,2,,,,,,,,,
24247,4,,,,,,,,,,,,,3,1,21,360,2,,,,,,
24248,2,,1,4,30,5,24,1,8,2,1,1,8,,1,30,72,,2,,,,,
24249,4,,,,,,,,,,,,,2,4,,,,,,,,,
24250,4,,,,,,,,,,,,,1,4,,,,,,,,,
24254,4,,,,,,,,,,,,,3,1,35,432,2,,,,,,
24257,1,20,2,31,7,1,2,2,,2,2,,,,1,21,3,,,,,,,
24259,4,,,,,,,,,,,,,7,4,,,,,,,,,
24261,4,,,,,,,,,,,,,6,1,35,84,1,1,6,2,,,
24262,4,,,,,,,,,,,,,3,1,5,96,2,,,,,,
24263,4,,,,,,,,,,,,,1,1,32,60,2,,,,,,
24264,1,40,,39,40,1,36,2,,2,1,2,,,1,21,264,,2,,,,,
24265,3,,,,,,,,,,,,,,1,16,120,1,2,,,,,
24267,1,40,,21,15,1,24,1,8,2,2,,,,1,36,120,,,,,,,
24268,4,,,,,,,,,,,,,1,4,,,,,,,,,
24270,1,40,,8,34,1,3,2,,2,2,,,,1,23,24,,,,,,,
24271,4,,,,,,,,,,,,,6,1,26,240,2,,,,,,
24272,4,,,,,,,,,,,,,3,4,,,,,,,,,
24274,1,60,,40,5,1,60,2,,2,2,,,,2,,,,,,,,,
24275,1,40,,4,36,4,7,2,,1,2,,,,2,,,,,,,,,
24277,4,,,,,,,,,,,,,3,1,16,396,2,,,,,,
24278,1,45,,40,5,3,36,2,,2,2,,,,2,,,,,,,,,
24279,1,15,2,22,11,5,240,2,,2,2,,,,2,,,,,,,,,
24280,4,,,,,,,,,,,,,7,4,,,,,,,,,
24282,1,50,,38,40,1,24,2,,1,1,1,2,,1,11,36,,2,,,,,
24283,1,50,,38,4,1,3,2,,2,2,,,,2,,,,,,,2,,
24284,4,,,,,,,,,,,,,3,1,1,408,1,1,12,2,,,
24288,1,40,,43,16,3,60,2,,2,2,,,,1,12,180,,,,,,,
24289,1,60,,39,22,1,24,2,,2,2,,,,2,,,,,,,4,,
24290,1,40,,7,38,1,216,2,,2,2,,,,2,,,,,,,,,
24291,1,40,,40,13,3,252,2,,2,2,,,,2,,,,,,,,,
24292,2,,1,4,30,1,36,1,4,1,1,1,8,,1,25,60,,1,1,2,4,,
24293,1,42,,29,16,1,1,2,,2,2,,,,1,1,2,,,,,,,
24294,1,60,,31,33,1,24,2,,1,1,1,8,,1,30,36,,1,4,1,4,,
24295,4,,,,,,,,,,,,,6,1,36,120,1,1,9,2,,,
24299,3,,,,,,,,,,,,,,1,28,120,1,1,2,1,,,
24300,1,35,,40,5,3,180,2,,2,2,,,,2,,,,,,,,,
24301,1,45,,37,1,1,84,2,,2,1,2,,,2,,,,,,,,,
24304,1,60,,32,28,1,7,2,,1,1,1,8,,2,,,,,,,,,
24305,1,40,,4,14,1,60,2,,2,2,,,,2,,,,,,,,,
24309,1,35,,27,35,1,6,2,,2,2,,,,1,34,12,,,,,4,,
24311,4,,,,,,,,,,,,,1,1,8,24,2,,,,,,
24312,4,,,,,,,,,,,,,6,1,26,144,2,,,,,,
24313,4,,,,,,,,,,,,,3,1,3,204,2,,,,,,
24316,4,,,,,,,,,,,,,3,4,,,,,,,,,
24317,3,,,,,,,,,,,,,,1,16,4,2,,,,4,,
24318,4,,,,,,,,,,,,,7,1,39,7,2,,,,,,
24319,4,,,,,,,,,,,,,1,4,,,,,,,,,
24320,1,40,,4,30,1,144,1,8,2,2,,,,2,,,,,,,,,
24321,1,40,,40,5,4,120,2,,2,2,,,,2,,,,,,,2,,
24322,3,,,,,,,,,,,,,,1,33,96,2,,,,4,,
24324,1,40,,31,23,1,1,1,2,2,2,,,,1,23,48,,,,,4,,
24326,4,,,,,,,,,,,,,7,1,30,240,1,1,8,2,,,
24327,3,,,,,,,,,,,,,,1,9,18,1,1,2,2,,,
24328,4,,,,,,,,,,,,,2,4,,,,,,,,,
24329,1,60,,42,1,1,204,2,,2,2,,,,2,,,,,,,,,
24330,4,,,,,,,,,,,,,3,1,36,300,1,1,8,1,,,
24332,1,40,,31,28,1,0,2,,1,2,,,,2,,,,,,,,,
24333,1,56,,24,9,1,48,2,,2,2,,,,2,,,,,,,,,
24334,4,,,,,,,,,,,,,3,1,5,264,2,,,,,,
24336,1,48,,35,32,1,240,2,,2,1,1,8,,2,,,,,,,,,
24337,1,30,2,31,23,1,3,2,,2,2,,,,2,,,,,,,,,
24340,2,,1,18,36,1,432,2,,2,1,2,,,2,,,,,,,,,
24341,4,,,,,,,,,,,,,6,1,39,60,1,1,3,2,,,
24343,1,35,,43,15,4,276,2,,2,2,,,,2,,,,,,,2,,
24348,4,,,,,,,,,,,,,3,1,6,144,2,,,,,,
24350,1,40,,40,16,3,48,1,1,2,1,2,,,1,31,168,,1,7,2,,,
24352,1,70,,41,7,1,120,2,,2,2,,,,1,41,264,,,,,,,
24353,4,,,,,,,,,,,,,3,1,31,240,2,,,,,,
24354,1,16,2,27,19,1,10,1,1,2,2,,,,2,,,,,,,,,
24355,1,40,,21,2,1,96,2,,2,2,,,,2,,,,,,,4,,
24357,4,,,,,,,,,,,,,1,1,11,84,2,,,,,,
24359,1,45,,40,5,4,96,2,,2,2,,,,2,,,,,,,,,
24362,4,,,,,,,,,,,,,5,1,16,120,2,,,,,,
24364,4,,,,,,,,,,,,,3,1,35,120,2,,,,,,
24365,4,,,,,,,,,,,,,3,1,30,396,1,1,8,2,,,
24368,1,40,,4,30,1,36,2,,1,2,,,,2,,,,,,,,,
24369,4,,,,,,,,,,,,,2,1,37,1,2,,,,,,
24370,4,,,,,,,,,,,,,6,1,36,480,1,1,8,2,,,
24371,4,,,,,,,,,,,,,2,4,,,,,,,,,
24373,1,50,,25,11,1,8,2,,2,1,2,,,1,5,36,,1,9,2,,,
24374,1,25,1,2,26,1,5,2,,2,2,,,,2,,,,,,,,,
24377,1,40,,37,16,3,36,2,,2,2,,,,1,16,3,,,,,,,
24378,2,,1,40,5,4,36,2,,2,2,,,,2,,,,,,,,,
24379,4,,,,,,,,,,,,,2,4,,,,,,,,,
24380,4,,,,,,,,,,,,,3,1,16,120,2,,,,,,
24381,4,,,,,,,,,,,,,6,1,22,144,2,,,,,,
24383,1,35,,41,23,1,1,2,,2,2,,,,1,21,2,,,,,,,
24384,1,46,,31,16,1,60,2,,2,2,,,,2,,,,,,,,,
24388,4,,,,,,,,,,,,,2,1,11,12,2,,,,,,
24389,1,40,,2,1,1,36,2,,1,2,,,,1,16,72,,,,,,,
24390,4,,,,,,,,,,,,,1,1,11,84,2,,,,,,
24392,1,40,,40,3,3,24,2,,2,2,,,,2,,,,,,,,,
24393,4,,,,,,,,,,,,,1,1,23,18,2,,,,,,
24395,4,,,,,,,,,,,,,2,1,12,3,2,,,,,,
24396,1,9,2,40,14,1,4,2,,2,2,,,,2,,,,,,,,,
24397,4,,,,,,,,,,,,,4,1,23,60,2,,,,,,
24398,4,,,,,,,,,,,,,3,1,37,516,1,1,8,2,,,
24400,4,,,,,,,,,,,,,6,1,11,60,1,2,,,,,
24402,4,,,,,,,,,,,,,3,1,34,192,2,,,,,,
24403,4,,,,,,,,,,,,,3,1,35,408,1,1,15,2,,,
