"SEQN","HOD010","HOD030","HOD040","HOD050","HOD060","HOQ065","HOQ070","HOQ080","HOD140","HOD150","HOD160","HOD170","HOD180","HOD190","HOD210","HOD220"
10083,2,,5,6,4,1,1,2,,,,,,,,
10084,2,,3,8,3,2,1,2,,,,,,,,
10085,2,,2,7,2,1,1,1,,,,,,,,
10086,2,,4,6,5,1,1,2,1,1,1,1,1,1,2,2
10087,2,,3,8,5,1,1,2,,,,,,,,
10088,4,3,99,4,1,2,1,2,,,,,,,,
10089,2,,1,5,3,1,1,2,,,,,,,,
10090,3,,5,8,3,1,1,2,,,,,,,,
10091,4,3,4,6,5,2,1,2,,,,,,,,
10092,3,,99,5,3,2,1,2,2,,2,,,2,,2
10093,2,,6,6,3,3,1,1,,,,,,,,
10094,2,,99,5,1,2,1,2,,,,,,,,
10095,2,,6,7,3,2,1,1,,,,,,,,
10096,2,,1,6,3,1,2,1,,,,,,,,
10097,2,,4,8,1,1,1,2,1,2,2,,,2,,1
10098,3,,99,7,2,2,1,2,,,,,,,,
10099,2,,1,6,5,1,1,2,,,,,,,,
10100,1,,1,4,4,1,1,1,,,,,,,,
10101,2,,6,6,5,1,1,2,,,,,,,,
10102,2,,3,8,5,1,2,2,,,,,,,,
10103,2,,2,5,4,1,1,2,,,,,,,,
10104,2,,3,6,5,1,2,1,,,,,,,,
10105,3,,4,5,1,2,1,2,,,,,,,,
10106,2,,5,7,5,1,1,2,,,,,,,,
10107,2,,2,5,5,1,1,2,,,,,,,,
10108,,,,,,,,,,,,,,,,
10109,3,,3,6,1,1,1,2,,,,,,,,
10110,4,7,99,5,5,2,1,2,,,,,,,,
10111,2,,1,7,2,1,1,2,,,,,,,,
10112,2,,5,7,5,1,1,1,,,,,,,,
10113,1,,99,5,3,2,1,2,,,,,,,,
10114,2,,2,8,5,1,1,1,,,,,,,,
10115,2,,2,8,5,1,1,2,,,,,,,,
10116,1,,3,5,2,2,1,2,,,,,,,,
10117,,,,,,,,,,,,,,,,
10118,4,4,99,4,1,2,1,2,,,,,,,,
10119,1,,2,4,2,1,2,1,,,,,,,,
10120,4,5,2,4,3,2,1,2,,,,,,,,
10121,2,,1,8,4,1,1,2,,,,,,,,
10122,3,,99,5,3,2,1,2,,,,,,,,
10123,4,99,99,3,2,2,1,2,,,,,,,,
10124,3,,2,10,5,1,1,2,,,,,,,,
10125,4,1,99,5,5,2,1,2,,,,,,,,
10126,2,,3,6,1,1,1,1,,,,,,,,
10127,2,,4,9,5,1,1,2,,,,,,,,
10128,2,,2,7,5,1,2,2,,,,,,,,
