"SEQN","OCD150","OCD180","OCQ210","OCD230","OCD240","OCQ260","OCD270","OCQ290G","OCQ290Q","OCD310B","OCQ340","OCQ350","OCQ360","OCQ380","OCD390G","OCD390","OCD395","OCQ420","OCQ430","OCQ440","OCQ450","OCQ470G","OCD470","OCD480"
12809,1,20,2,23,11,1,1,2,,2,1,2,,,2,,,,,,,,,
12810,4,,,,,,,,,,,,,3,1,8,240,,,,,,,
12812,2,,2,18,40,1,2,2,,2,2,,,,2,,,,,,,4,,
12813,1,60,,29,16,1,48,2,,2,2,,,,2,,,,,,,,,
12816,1,45,,39,22,1,156,2,,2,2,,,,1,22,156,,,,,,,
12817,4,,,,,,,,,,,,,3,4,,,,,,,,,
12819,4,,,,,,,,,,,,,6,1,34,12,2,,,,,,
12820,4,,,,,,,,,,,,,6,1,15,180,1,1,8,1,1,31,14
12821,4,,,,,,,,,,,,,6,4,,,,,,,,,
12824,1,45,,17,35,5,96,1,16,1,1,1,6,,1,31,180,,1,8,2,,,
12826,4,,,,,,,,,,,,,1,1,31,84,,,,,4,,
12828,4,,,,,,,,,,,,,3,1,30,600,1,1,10,2,,,
12830,1,35,,4,30,5,5,2,,2,1,1,4,,2,,,,,,,,,
12832,4,,,,,,,,,,,,,1,4,,,,,,,,,
12834,4,,,,,,,,,,,,,1,4,,,,,,,,,
12835,1,21,2,1,25,5,24,1,16,,2,,,,2,,,,,,,,,
12838,4,,,,,,,,,,,,,3,1,4,240,2,,,,,,
12841,1,40,,30,10,1,12,2,,2,2,,,,2,,,,,,,,,
12843,1,37,,42,12,1,204,2,,,2,,,,2,,,,,,,,,
12848,1,48,,4,30,1,12,2,,2,2,,,,2,,,,,,,,,
12850,4,,,,,,,,,,,,,2,1,11,24,2,,,,4,,
12851,1,48,,32,1,1,348,2,,,2,,,,2,,,,,,,,,
12852,1,40,,4,30,1,6,2,,2,1,2,,,2,,,,,,,,,
12854,1,43,,15,1,1,48,1,1,2,1,2,,,1,9,60,,2,,,,,
12856,1,50,,34,20,1,24,2,,,2,,,,2,,,,,,,4,,
12857,4,,,,,,,,,,,,,2,1,20,18,2,,,,,,
12858,4,,,,,,,,,,,,,3,1,7,144,2,,,,,,
12859,1,40,,32,28,4,108,1,8,2,2,,,,1,31,120,,,,,,,
12860,4,,,,,,,,,,,,,7,1,5,60,2,,,,,,
12864,4,,,,,,,,,,,,,2,1,15,12,,,,,,,
12865,4,,,,,,,,,,,,,2,4,,,,,,,,,
12867,4,,,,,,,,,,,,,1,1,10,72,2,,,,,,
12868,1,45,,14,5,1,192,2,,,1,2,,,1,3,108,,2,,,,,
12870,1,30,2,27,21,1,6,2,,2,2,,,,2,,,,,,,,,
12871,1,48,,38,22,3,36,2,,2,1,2,,,2,,,,,,,,,
12872,4,,,,,,,,,,,,,2,4,,,,,,,,,
12874,4,,,,,,,,,,,,,7,4,,,,,,,,,
12876,1,16,2,38,4,1,36,2,,2,2,,,,2,,,,,,,,,
12879,4,,,,,,,,,,,,,2,1,16,2,2,,,,,,
12880,4,,,,,,,,,,,,,3,1,30,360,,,,,,,
12883,4,,,,,,,,,,,,,4,1,30,8,1,1,4,2,,,
12884,1,45,,28,9,1,1,2,,,1,2,,,1,11,240,,2,,,,,
12885,1,48,,24,15,1,4,2,,2,1,2,,,2,,,,,,,,,
12890,4,,,,,,,,,,,,,4,4,,,,,,,,,
12891,4,,,,,,,,,,,,,3,1,32,120,1,1,8,2,,,
12896,4,,,,,,,,,,,,,6,1,6,156,2,,,,,,
12898,4,,,,,,,,,,,,,1,4,,,,,,,,,
12899,1,40,,4,40,1,72,2,,2,2,,,,1,20,144,,,,,,,
12901,4,,,,,,,,,,,,,3,1,31,180,1,1,8,2,,,
12902,4,,,,,,,,,,,,,4,1,33,216,1,1,8,1,,,
12903,1,45,,40,5,1,24,2,,2,2,,,,2,,,,,,,,,
12905,1,80,,2,26,1,7,2,,2,1,1,12,,2,,,,,,,,,
12907,4,,,,,,,,,,,,,4,1,38,4,1,1,8,2,4,,
12908,4,,,,,,,,,,,,,2,4,,,,,,,,,
12909,4,,,,,,,,,,,,,3,1,31,444,2,,,,,,
12910,1,60,,38,6,1,72,2,,2,2,,,,2,,,,,,,,,
12911,1,40,,15,16,1,36,2,,2,1,2,,,2,,,,,,,,,
12913,4,,,,,,,,,,,,,3,4,,,,,,,,,
12914,4,,,,,,,,,,,,,2,4,,,,,,,,,
12916,4,,,,,,,,,,,,,7,1,2,120,2,,,,,,
12920,1,55,,4,1,1,108,1,1,1,1,1,1,,2,,,,,,,,,
12921,1,50,,20,35,4,108,2,,2,1,1,8,,2,,,,,,,,,
12922,1,40,,2,27,1,4,2,,2,2,,,,2,,,,,,,,,
12923,4,,,,,,,,,,,,,4,3,,4,2,,,,,,
12924,4,,,,,,,,,,,,,1,4,,,,,,,,,
12925,4,,,,,,,,,,,,,7,4,,,,,,,,,
12926,1,50,,4,1,1,240,2,,2,1,2,,,2,,,,,,,,,
12927,1,51,,15,34,1,48,2,,2,2,,,,1,34,48,,,,,,,
12928,1,34,2,36,16,4,3,2,,,2,,,,1,26,48,,,,,,,
12930,1,52,,31,23,1,72,2,,1,1,1,8,,1,29,180,,,,,,,
12933,1,50,,30,16,1,16,1,1,,2,,,,2,,,,,,,,,
12935,1,40,,31,13,1,2,2,,2,2,,,,2,,,,,,,,,
12939,4,,,,,,,,,,,,,1,1,8,36,2,,,,,,
12940,1,60,,11,33,1,168,2,,1,1,1,8,,2,,,,,,,,,
12942,4,,,,,,,,,,,,,3,1,16,120,2,,,,,,
12943,4,,,,,,,,,,,,,1,1,12,168,2,,,,,,
12945,1,36,,27,11,1,132,2,,2,2,,,,2,,,,,,,,,
12947,4,,,,,,,,,,,,,3,1,21,180,,,,,,,
12948,4,,,,,,,,,,,,,2,1,35,2,,,,,4,,
12951,4,,,,,,,,,,,,,2,4,,,,,,,,,
12952,1,10,2,30,10,1,12,2,,,2,,,,1,1,60,,,,,,,
12953,1,60,,30,2,4,24,1,1,1,2,,,,1,30,240,,,,,,,
12954,4,,,,,,,,,,,,,1,1,11,3,2,,,,4,,
12955,1,6,2,42,13,1,12,2,,2,2,,,,2,,,,,,,,,
12956,4,,,,,,,,,,,,,3,1,22,240,2,,,,,,
12957,4,,,,,,,,,,,,,1,1,3,120,2,,,,,,
12958,1,40,,13,3,1,24,2,,2,2,,,,2,,,,,,,,,
12960,4,,,,,,,,,,,,,1,1,12,120,2,,,,,,
12962,1,20,2,42,3,1,132,2,,1,2,,,,1,3,468,,,,,,,
12963,4,,,,,,,,,,,,,3,1,3,372,2,,,,,,
12964,4,,,,,,,,,,,,,3,1,18,372,2,,,,,,
12965,1,20,1,42,2,5,384,2,,,2,,,,2,,,,,,,,,
12969,1,40,,38,16,1,24,2,,2,2,,,,2,,,,,,,,,
12970,1,12,2,27,19,1,36,1,1,2,2,,,,2,,,,,,,,,
12971,1,50,,38,4,4,36,2,,2,2,,,,2,,,,,,,,,
12973,1,65,,35,1,1,72,2,,1,1,1,6,,2,,,,,,,,,
12974,4,,,,,,,,,,,,,3,1,34,240,,,,,,,
12975,1,40,,30,10,1,12,2,,,2,,,,1,1,204,,,,,3,,20
12976,1,31,1,27,11,1,16,1,1,2,2,,,,1,30,108,,,,,4,,
12977,1,42,,24,31,1,60,2,,2,2,,,,2,,,,,,,,,
12978,4,,,,,,,,,,,,,2,1,26,1,2,,,,,,
12979,2,,2,18,36,1,408,1,8,1,1,1,8,,2,,,,,,,,,
12980,1,47,,40,12,2,276,2,,,2,,,,2,,,,,,,,,
12981,4,,,,,,,,,,,,,6,1,21,432,2,,,,1,21,27
12982,1,25,1,36,21,1,12,1,5,2,2,,,,1,22,48,,,,,,,
12983,4,,,,,,,,,,,,,1,1,10,108,,,,,,,
12988,1,40,,35,32,1,8,2,,,2,,,,2,,,,,,,,,
12989,1,35,,27,20,77,12,2,,2,2,,,,1,20,12,,,,,4,,
12991,4,,,,,,,,,,,,,1,1,31,72,1,1,8,2,3,,16
12992,1,20,1,39,22,1,24,2,,2,2,,,,2,,,,,,,,,
12993,2,,2,40,6,1,72,2,,2,2,,,,1,1,144,,,,,,,
12994,1,35,,18,15,1,60,2,,2,2,,,,1,22,372,,,,,3,,39
12995,4,,,,,,,,,,,,,2,1,27,3,2,,,,,,
12997,4,,,,,,,,,,,,,1,1,2,120,1,2,,,,,
13000,4,,,,,,,,,,,,,3,1,8,312,,,,,,,
13001,1,40,,30,37,1,5,2,,2,1,1,1,,1,30,108,,1,4,1,,,
13003,1,50,,40,5,3,180,2,,,2,,,,2,,,,,,,,,
13004,1,35,,33,17,1,504,2,,,2,,,,2,,,,,,,,,
13009,4,,,,,,,,,,,,,7,1,11,6,2,,,,,,
13010,4,,,,,,,,,,,,,1,1,13,96,2,,,,,,
13013,4,,,,,,,,,,,,,3,1,11,324,1,2,,,,,
13015,4,,,,,,,,,,,,,3,1,5,300,2,,,,,,
13017,4,,,,,,,,,,,,,7,1,30,480,,,,,,,
13021,1,25,2,29,1,1,36,2,,2,2,,,,2,,,,,,,,,
13023,1,24,2,39,8,1,2,2,,,2,,,,2,,,,,,,,,
13024,1,10,1,31,39,1,0,2,,2,2,,,,1,22,12,,,,,,,
13025,1,60,,30,16,1,48,2,,2,1,2,,,2,,,,,,,4,,
13026,1,32,2,27,11,1,24,1,8,,2,,,,2,,,,,,,,,
13027,4,,,,,,,,,,,,,3,1,16,120,2,,,,,,
13032,3,,,,,,,,,,,,,,1,23,7,2,,,,,,
13033,1,51,,41,22,2,4,2,,2,1,2,,,1,33,12,,1,8,1,,,
13034,1,6,2,2,27,5,60,2,,2,2,,,,2,,,,,,,,,
13037,3,,,,,,,,,,,,,,4,,,,,,,,,
13040,1,23,2,37,16,1,3,1,1,,1,2,,,1,27,48,,1,2,1,,,
13041,4,,,,,,,,,,,,,3,1,17,72,,,,,,,
13044,4,,,,,,,,,,,,,7,1,17,612,2,,,,,,
13045,1,40,,28,35,1,7,2,,2,2,,,,1,16,144,,,,,4,,
13048,4,,,,,,,,,,,,,3,1,16,144,2,,,,,,
13049,4,,,,,,,,,,,,,3,1,30,240,,,,,,,
13050,1,40,,19,14,1,144,2,,2,2,,,,2,,,,,,,,,
13055,4,,,,,,,,,,,,,2,4,,,,,,,,,
13056,4,,,,,,,,,,,,,1,4,,,,,,,,,
13057,4,,,,,,,,,,,,,7,1,39,60,2,,,,,,
13059,1,66,,25,28,1,72,1,8,,1,1,4,,2,,,,,,,,,
13060,1,60,,18,36,1,348,1,8,1,1,1,8,,2,,,,,,,,,
13061,1,60,,1,25,1,60,2,,1,1,2,,,2,,,,,,,,,
13062,1,52,,38,21,3,36,1,1,2,2,,,,2,,,,,,,,,
13063,1,45,,4,1,1,12,2,,,1,1,1,,1,13,36,,1,8,2,,,
13064,4,,,,,,,,,,,,,6,1,8,348,2,,,,,,
13065,4,,,,,,,,,,,,,2,4,,,,,,,,,
13066,4,,,,,,,,,,,,,6,1,98,99999,2,,,,,,
13069,4,,,,,,,,,,,,,3,1,29,228,1,1,1,2,,,
13071,1,40,,41,22,1,5,2,,2,1,2,,,1,6,84,,1,8,2,,,
13073,1,55,,26,31,6,360,2,,,2,,,,2,,,,,,,,,
13074,4,,,,,,,,,,,,,1,1,12,12,2,,,,,,
13075,1,35,,25,9,5,216,2,,,2,,,,2,,,,,,,,,
13076,1,30,2,40,21,4,36,2,,2,2,,,,1,12,228,,,,,,,
13078,1,16,2,40,5,4,48,2,,2,2,,,,2,,,,,,,,,
13082,1,40,,40,5,4,120,2,,2,2,,,,2,,,,,,,,,
13083,1,55,,11,31,1,1,2,,1,1,1,2,,2,,,,,,,4,,
13084,4,,,,,,,,,,,,,2,1,21,6,,,,,4,,
13086,4,,,,,,,,,,,,,3,1,15,360,2,,,,,,
13087,4,,,,,,,,,,,,,2,1,35,4,2,,,,,,
13089,4,,,,,,,,,,,,,1,4,,,,,,,,,
13092,1,20,2,35,24,5,192,2,,,2,,,,2,,,,,,,,,
13093,4,,,,,,,,,,,,,5,1,23,156,2,,,,,,
13095,1,12,2,26,11,1,3,2,,2,2,,,,2,,,,,,,,,
13096,1,42,,39,8,1,48,2,,2,2,,,,2,,,,,,,,,
13097,4,,,,,,,,,,,,,6,4,,,,,,,,,
13100,4,,,,,,,,,,,,,3,1,33,384,1,1,4,1,,,
13101,3,,,,,,,,,,,,,,1,21,24,2,,,,,,
13106,4,,,,,,,,,,,,,3,1,16,360,2,,,,,,
13107,4,,,,,,,,,,,,,1,1,40,6,2,,,,,,
13108,1,40,,28,11,1,60,2,,2,2,,,,1,36,180,,,,,,,
13109,4,,,,,,,,,,,,,3,1,14,72,,,,,,,
13110,1,34,1,16,34,1,3,1,8,2,2,,,,1,1,72,,,,,,,
13111,1,9,2,27,11,1,24,2,,2,2,,,,2,,,,,,,,,
13113,4,,,,,,,,,,,,,1,1,38,24,1,1,8,1,,,
13115,1,39,,28,11,1,30,2,,2,2,,,,2,,,,,,,,,
13116,1,40,,25,28,1,12,2,,2,1,1,8,,2,,,,,,,,,
13117,1,40,,31,23,1,84,1,1,2,2,,,,2,,,,,,,,,
13119,4,,,,,,,,,,,,,2,1,39,6,2,,,,,,
13123,1,50,,4,30,5,276,2,,2,2,,,,2,,,,,,,,,
13124,4,,,,,,,,,,,,,3,1,32,156,2,,,,,,
13125,1,77,,24,9,5,36,2,,2,2,,,,1,17,300,,,,,,,
13127,1,32,2,8,33,2,132,2,,2,2,,,,2,,,,,,,,,
13128,1,20,2,24,11,1,1,1,1,2,2,,,,2,,,,,,,,,
13129,1,40,,27,20,1,3,2,,2,1,2,,,2,,,,,,,4,,
13130,1,35,,40,5,4,36,2,,2,2,,,,2,,,,,,,,,
13133,1,50,,44,14,4,12,2,,,2,,,,1,33,48,,,,,4,,
13134,4,,,,,,,,,,,,,2,4,,,,,,,,,
13135,4,,,,,,,,,,,,,1,4,,,,,,,,,
13139,4,,,,,,,,,,,,,1,1,1,48,2,,,,,,
13141,1,50,,38,13,1,180,2,,2,2,,,,2,,,,,,,,,
13142,4,,,,,,,,,,,,,3,1,21,180,2,,,,,,
13144,4,,,,,,,,,,,,,4,1,24,312,2,,,,,,
13146,4,,,,,,,,,,,,,6,1,38,120,2,,,,,,
13147,1,24,2,38,8,1,108,2,,2,2,,,,2,,,,,,,,,
13148,1,63,,4,28,1,60,1,4,,1,1,4,,1,28,192,,1,6,1,,,
13149,1,32,1,28,8,1,36,2,,,2,,,,2,,,,,,,4,,
13150,4,,,,,,,,,,,,,1,1,11,24,2,,,,,,
13158,1,25,2,16,33,5,24,2,,2,2,,,,1,16,132,,,,,4,,
13160,4,,,,,,,,,,,,,2,1,35,3,,,,,,,
13163,1,44,,4,30,1,1,2,,1,1,1,5,,2,,,,,,,,,
13166,1,40,,44,1,2,192,2,,2,2,,,,2,,,,,,,,,
13167,4,,,,,,,,,,,,,3,1,33,216,1,1,8,2,,,
13169,1,20,2,39,22,3,24,1,0,2,2,,,,2,,,,,,,,,
13170,1,20,2,25,40,1,9,2,,2,2,,,,2,,,,,,,,,
13171,4,,,,,,,,,,,,,3,1,11,360,2,,,,,,
13175,1,60,,4,30,1,36,1,2,2,2,,,,2,,,,,,,,,
13176,1,24,1,12,31,5,72,2,,1,1,1,1,,2,,,,,,,4,,
13178,1,44,,27,1,1,360,2,,2,1,2,,,1,16,396,,,,,,,
13179,3,,,,,,,,,,,,,,4,,,,,,,,,
13180,4,,,,,,,,,,,,,6,1,11,9,2,,,,3,,27
13181,4,,,,,,,,,,,,,3,4,,,,,,,,,
13182,4,,,,,,,,,,,,,6,1,35,180,2,,,,4,,
13183,4,,,,,,,,,,,,,3,1,31,132,2,,,,,,
13185,4,,,,,,,,,,,,,2,1,19,2,2,,,,,,
13186,1,37,,33,17,1,1,2,,,2,,,,1,5,36,,,,,,,
13189,1,24,1,31,38,1,24,2,,1,2,,,,1,8,18,,,,,,,
13194,1,37,,41,1,1,168,2,,,2,,,,2,,,,,,,,,
13196,1,40,,27,20,1,84,1,8,2,2,,,,2,,,,,,,,,
13200,1,43,,4,30,4,96,2,,1,2,,,,2,,,,,,,,,
13202,1,45,,42,3,1,96,2,,,1,2,,,2,,,,,,,4,,
13203,4,,,,,,,,,,,,,3,1,5,312,2,,,,,,
13205,1,60,,26,9,5,96,2,,2,1,1,6,,1,7,120,,2,,,,,
13206,4,,,,,,,,,,,,,3,1,32,240,1,1,8,2,,,
13207,1,44,,25,16,1,276,2,,,2,,,,2,,,,,,,2,,
13208,1,40,,18,16,2,84,2,,,2,,,,1,5,240,,,,,,,
13210,4,,,,,,,,,,,,,1,4,,,,,,,,,
13211,4,,,,,,,,,,,,,2,1,2,12,,,,,,,
13214,4,,,,,,,,,,,,,2,4,,,,,,,,,
13215,4,,,,,,,,,,,,,3,1,11,204,2,,,,,,
13216,4,,,,,,,,,,,,,3,4,,,,,,,,,
13217,1,40,,37,3,1,12,2,,,2,,,,1,8,48,,,,,,,
13219,1,82,,18,28,1,48,2,,1,1,1,10,,2,,,,,,,,,
13220,4,,,,,,,,,,,,,3,1,16,120,2,,,,,,
13223,4,,,,,,,,,,,,,3,1,33,144,,,,,,,
13225,4,,,,,,,,,,,,,1,1,12,144,,,,,,,
13227,1,40,,4,30,1,156,2,,2,1,1,8,,2,,,,,,,,,
13228,4,,,,,,,,,,,,,3,1,9,600,2,,,,,,
13229,1,40,,2,27,1,1,1,1,1,2,,,,1,28,24,,,,,,,
13230,4,,,,,,,,,,,,,7,1,31,24,2,,,,,,
13231,1,30,2,18,8,1,216,2,,1,1,1,5,,1,8,300,,1,5,2,,,
13232,4,,,,,,,,,,,,,1,1,8,96,,,,,,,
13234,1,8,2,27,20,1,12,2,,2,2,,,,2,,,,,,,,,
13235,1,50,,17,35,5,396,2,,1,2,,,,2,,,,,,,,,
13236,4,,,,,,,,,,,,,4,1,22,192,2,,,,,,
13237,4,,,,,,,,,,,,,4,1,5,228,1,1,8,2,,,
13241,4,,,,,,,,,,,,,3,1,1,456,2,,,,,,
13242,4,,,,,,,,,,,,,6,1,23,180,2,,,,,,
13243,3,,,,,,,,,,,,,,1,23,24,2,,,,,,
13244,1,40,,43,16,3,36,2,,2,2,,,,2,,,,,,,,,
13245,1,43,,38,16,1,144,2,,,2,,,,1,2,288,,,,,,,
13246,1,40,,35,16,1,1,2,,2,2,,,,2,,,,,,,4,,
13247,4,,,,,,,,,,,,,3,1,20,300,1,2,,,,,
13248,1,20,2,41,16,1,48,2,,2,1,1,2,,1,11,192,,,,,4,,
13249,1,32,2,42,12,1,96,2,,,2,,,,2,,,,,,,,,
13250,1,60,,5,1,1,360,2,,,2,,,,2,,,,,,,,,
13251,7,,,,,,,,,,,,,,7,,77777,7,,,,7,,
13252,1,28,1,40,5,2,108,2,,2,2,,,,2,,,,,,,,,
13254,1,52,,43,1,4,420,2,,,2,,,,2,,,,,,,,,
13256,4,,,,,,,,,,,,,2,1,19,3,,,,,,,
13258,4,,,,,,,,,,,,,4,1,36,168,1,1,15,2,1,36,8
13260,4,,,,,,,,,,,,,4,1,30,12,2,,,,,,
13261,1,7,2,32,40,1,720,2,,2,2,,,,1,28,720,,,,,,,
13262,1,30,2,24,21,1,5,2,,2,2,,,,2,,,,,,,,,
13263,1,84,,27,20,1,228,2,,,2,,,,2,,,,,,,,,
13264,1,35,,39,22,1,9,1,1,2,2,,,,2,,,,,,,,,
13265,4,,,,,,,,,,,,,1,4,,,,,,,,,
13267,4,,,,,,,,,,,,,2,1,21,36,2,,,,,,
13269,4,,,,,,,,,,,,,3,1,18,504,1,1,8,2,,,
13270,4,,,,,,,,,,,,,1,1,5,60,2,,,,,,
13273,4,,,,,,,,,,,,,3,1,18,216,,,,,,,
13274,1,35,,39,22,2,24,2,,,1,1,1,,1,23,48,,1,2,2,,,
13277,1,40,,8,16,1,2,2,,2,1,2,,,1,11,42,,1,8,2,4,,
13278,1,40,,39,4,1,24,1,8,2,2,,,,2,,,,,,,,,
13280,1,35,,24,31,1,48,2,,2,2,,,,2,,,,,,,,,
13281,1,38,,27,19,1,9,1,8,,2,,,,2,,,,,,,,,
13282,4,,,,,,,,,,,,,3,1,30,360,1,1,8,2,,,
13283,1,60,,4,30,1,96,2,,2,2,,,,2,,,,,,,,,
13284,4,,,,,,,,,,,,,1,1,31,120,1,1,8,2,,,
13285,4,,,,,,,,,,,,,3,1,34,372,1,1,2,2,,,
13286,1,45,,29,1,1,12,2,,,2,,,,1,6,84,,,,,,,
13288,4,,,,,,,,,,,,,3,1,3,300,,,,,,,
13289,4,,,,,,,,,,,,,1,1,5,120,2,,,,3,,40
13290,1,32,1,43,18,4,12,2,,,2,,,,1,18,240,,,,,,,
13292,1,40,,39,22,1,240,1,8,,2,,,,2,,,,,,,,,
13293,1,84,,4,34,1,1,2,,1,2,,,,2,,,,,,,,,
13296,1,15,2,28,11,5,7,2,,2,2,,,,1,5,132,,,,,,,
13297,4,,,,,,,,,,,,,1,1,16,96,2,,,,,,
13299,1,25,1,28,11,1,0,2,,,2,,,,2,,,,,,,,,
13301,2,,1,38,4,1,96,2,,2,2,,,,2,,,,,,,2,,
13303,3,,,,,,,,,,,,,,1,11,6,2,,,,,,
13304,1,11,2,2,33,1,0,2,,2,2,,,,1,23,1,,,,,,,
13306,1,10,2,16,23,1,240,2,,2,2,,,,2,,,,,,,,,
13307,1,40,,39,16,1,17,2,,2,2,,,,1,16,17,,,,,4,,
13309,4,,,,,,,,,,,,,3,1,7,300,2,,,,,,
13310,1,6,2,2,27,5,3,2,,1,1,1,5,,2,,,,,,,,,
13311,4,,,,,,,,,,,,,4,1,1,99999,2,,,,,,
13312,1,36,,5,8,1,3,2,,1,1,1,4,,1,98,12,,2,,,,,
13313,4,,,,,,,,,,,,,3,1,20,300,2,,,,,,
13315,3,,,,,,,,,,,,,,1,30,96,1,1,8,2,,,
13317,1,48,,29,3,1,144,2,,2,1,2,,,3,,240,,1,8,1,,,
13318,4,,,,,,,,,,,,,1,1,11,7,2,,,,,,
13320,1,14,2,36,14,5,480,2,,,2,,,,1,24,480,,,,,,,
13321,1,38,,40,16,3,168,2,,,2,,,,2,,,,,,,,,
13322,4,,,,,,,,,,,,,2,4,,,,,,,,,
13324,4,,,,,,,,,,,,,2,4,,,,,,,,,
13326,4,,,,,,,,,,,,,1,4,,,,,,,,,
13327,1,45,,27,20,1,1,2,,2,1,2,,,1,2,120,,2,,,,,
13328,1,40,,4,30,5,240,2,,2,1,1,8,,2,,,,,,,,,
13330,4,,,,,,,,,,,,,1,1,8,324,2,,,,,,
13333,1,40,,4,33,1,48,2,,2,2,,,,2,,,,,,,,,
13336,1,40,,44,2,4,2,2,,,2,,,,2,,,,,,,,,
13338,4,,,,,,,,,,,,,6,1,16,288,2,,,,,,
13339,1,70,,24,39,1,12,2,,,2,,,,1,30,120,,,,,,,
13340,1,40,,44,8,3,24,2,,,2,,,,1,98,240,,,,,,,
13342,1,60,,31,16,1,1,2,,,2,,,,2,,,,,,,,,
13343,1,45,,39,22,1,5,2,,2,2,,,,2,,,,,,,,,
13344,1,52,,43,18,4,288,2,,2,1,2,,,2,,,,,,,,,
13345,1,15,2,26,32,1,132,2,,,1,2,,,1,39,9,,1,4,2,,,
13346,3,,,,,,,,,,,,,,1,27,12,2,,,,,,
13348,1,50,,9,9,1,0,2,,,1,2,,,2,,,,,,,,,
13349,1,40,,8,40,1,108,2,,1,1,1,8,,2,,,,,,,,,
13354,1,40,,4,30,1,36,2,,,2,,,,2,,,,,,,,,
13356,1,25,2,24,11,1,84,2,,2,1,2,,,1,33,84,,1,8,1,,,
13357,4,,,,,,,,,,,,,7,1,35,6,1,2,,,,,
13359,1,40,,41,21,1,12,2,,1,2,,,,2,,,,,,,4,,
13360,4,,,,,,,,,,,,,3,1,9,504,2,,,,,,
13362,1,44,,4,30,1,3,2,,2,1,1,3,,1,30,84,,2,,,,,
13363,4,,,,,,,,,,,,,3,1,30,600,1,1,7,1,,,
13364,4,,,,,,,,,,,,,1,1,19,3,2,,,,4,,
13365,1,60,,3,1,1,216,2,,,1,1,2,,2,,,,,,,,,
13366,4,,,,,,,,,,,,,3,1,1,300,2,,,,,,
13367,4,,,,,,,,,,,,,6,1,20,0,2,,,,,,
13368,1,20,2,19,11,1,2,2,,,2,,,,2,,,,,,,4,,
13370,4,,,,,,,,,,,,,3,1,34,24,2,,,,,,
13371,4,,,,,,,,,,,,,6,1,29,204,2,,,,,,
13372,4,,,,,,,,,,,,,1,4,,,,,,,,,
13377,3,,,,,,,,,,,,,,4,,,,,,,,,
13382,1,29,2,27,1,1,180,2,,,2,,,,1,21,240,,,,,,,
13383,1,40,,30,27,1,1,2,,2,2,,,,1,28,180,,,,,,,
13384,1,18,2,18,13,1,96,2,,,1,2,,,2,,,,,,,,,
13385,4,,,,,,,,,,,,,4,1,23,96,2,,,,,,
13386,4,,,,,,,,,,,,,1,4,,,,,,,,,
13388,1,72,,43,18,4,144,1,3,1,1,1,1,,2,,,,,,,,,
13389,1,24,2,27,19,1,24,1,1,,2,,,,2,,,,,,,,,
13391,4,,,,,,,,,,,,,1,1,11,7,,,,,,,
13392,4,,,,,,,,,,,,,6,1,22,72,2,,,,,,
13393,1,32,2,17,15,1,5,1,1,1,1,1,1,,1,33,6,,1,8,1,,,
13394,4,,,,,,,,,,,,,3,1,16,84,2,,,,,,
13400,1,54,,25,28,1,48,2,,,1,1,1,,1,28,120,,2,,,,,
13401,1,36,,22,38,1,15,2,,2,2,,,,2,,,,,,,,,
13404,1,73,,22,34,1,5,2,,2,1,2,,,1,26,60,,1,10,2,,,
13406,1,55,,42,7,5,684,2,,2,1,2,,,1,7,660,,2,,,,,
13407,4,,,,,,,,,,,,,1,1,24,48,,,,,,,
13408,1,50,,41,14,1,36,1,1,2,1,2,,,2,,,,,,,,,
13411,4,,,,,,,,,,,,,3,1,23,180,2,,,,,,
13413,1,92,,28,11,5,24,1,8,2,2,,,,1,18,84,,,,,,,
13415,3,,,,,,,,,,,,,,1,21,4,,,,,,,
13416,4,,,,,,,,,,,,,5,1,7,156,2,,,,,,
13417,1,40,,4,36,1,204,2,,1,1,1,8,,2,,,,,,,,,
13420,1,10,2,39,4,1,10,2,,2,2,,,,2,,,,,,,2,,
13425,4,,,,,,,,,,,,,1,1,11,7,,,,,,,
13426,4,,,,,,,,,,,,,6,1,39,60,2,,,,4,,
13428,4,,,,,,,,,,,,,7,1,34,120,,,,,,,
13430,1,45,,4,37,1,192,1,1,1,2,,,,2,,,,,,,,,
13431,4,,,,,,,,,,,,,1,1,23,72,2,,,,,,
13433,1,42,,29,16,1,156,2,,2,2,,,,2,,,,,,,,,
13435,1,40,,9,39,1,60,2,,1,1,2,,,2,,,,,,,,,
13436,1,50,,4,30,1,48,2,,2,2,,,,2,,,,,,,,,
13438,1,40,,6,32,1,288,2,,1,1,1,8,,2,,,,,,,,,
13439,1,40,,27,20,1,12,1,8,2,2,,,,2,,,,,,,,,
13442,1,52,,5,36,1,1,2,,2,1,2,,,1,27,84,,1,1,1,,,
13443,4,,,,,,,,,,,,,6,1,23,120,2,,,,,,
13444,1,40,,25,35,1,10,2,,2,2,,,,2,,,,,,,,,
13445,1,25,2,27,21,1,12,2,,2,2,,,,2,,,,,,,,,
13446,1,30,1,31,10,1,8,2,,2,2,,,,2,,,,,,,4,,
13448,1,40,,15,3,1,216,2,,2,2,,,,2,,,,,,,,,
13458,1,70,,1,25,1,12,2,,1,2,,,,2,,,,,,,,,
13462,1,46,,40,6,6,12,2,,2,2,,,,1,21,24,,,,,,,
13463,4,,,,,,,,,,,,,3,1,29,312,1,2,,,,,
13467,1,60,,6,34,1,16,1,3,2,2,,,,2,,,,,,,,,
13468,1,45,,4,30,1,12,1,4,2,2,,,,2,,,,,,,,,
