"SEQN","OCD150","OCD180","OCQ210","OCD230","OCD240","OCQ260","OCD270","OCQ290G","OCQ290Q","OCD310B","OCQ340","OCQ350","OCQ360","OCQ380","OCD390G","OCD390","OCD395","OCQ420","OCQ430","OCQ440","OCQ450","OCQ470G","OCD470","OCD480"
10085,1,50,,40,5,1,132,2,,2,2,,,,2,,,,,,,,,
10087,4,,,,,,,,,,,,,3,4,,,,,,,,,
10088,4,,,,,,,,,,,,,1,1,22,96,1,1,8,2,,,
10090,1,60,,41,22,3,216,1,1,,2,,,,2,,,,,,,2,,
10091,1,40,,43,16,6,6,2,,1,2,,,,2,,,,,,,,,
10093,1,55,,41,24,1,18,2,,2,1,2,,,1,27,60,,1,1,1,3,,2
10096,4,,,,,,,,,,,,,3,1,16,192,2,,,,,,
10098,4,,,,,,,,,,,,,3,1,98,360,2,,,,,,
10099,1,30,1,44,31,3,0,2,,2,2,,,,1,11,24,,,,,,,
10100,1,16,2,31,23,1,7,2,,2,2,,,,2,,,,,,,,,
10101,4,,,,,,,,,,,,,3,1,11,264,2,,,,,,
10102,1,32,1,11,27,1,492,2,,1,1,1,8,,2,,,,,,,,,
10103,1,24,2,31,23,5,156,2,,,2,,,,2,,,,,,,,,
10104,4,,,,,,,,,,,,,3,1,34,36,1,1,8,1,,,
10105,4,,,,,,,,,,,,,6,1,22,240,2,,,,,,
10106,4,,,,,,,,,,,,,4,1,27,132,,,,,,,
10107,1,45,,23,9,1,180,2,,2,2,,,,2,,,,,,,4,,
10110,4,,,,,,,,,,,,,2,1,11,6,2,,,,,,
10111,4,,,,,,,,,,,,,2,4,,,,,,,,,
10112,1,32,1,40,16,1,120,2,,2,2,,,,2,,,,,,,,,
10113,1,42,,25,11,1,60,2,,2,2,,,,2,,,,,,,,,
10114,4,,,,,,,,,,,,,3,4,,,,,,,,,
10116,1,30,2,17,16,1,10,2,,2,2,,,,3,,132,,,,,,,
10118,1,40,,4,30,1,12,2,,,2,,,,2,,,,,,,,,
10119,4,,,,,,,,,,,,,7,1,13,7,2,,,,,,
10120,1,52,,28,36,1,48,2,,2,1,1,10,,1,29,168,,1,5,2,,,
10121,1,70,,4,30,1,72,1,1,2,2,,,,2,,,,,,,,,
10122,4,,,,,,,,,,,,,1,4,,,,,,,,,
10125,2,,1,27,20,1,12,2,,1,2,,,,1,17,15,,,,,,,
10128,1,35,,37,8,1,240,2,,2,2,,,,2,,,,,,,,,
10131,4,,,,,,,,,,,,,3,1,22,120,2,,,,,,
10133,4,,,,,,,,,,,,,3,1,1,300,2,,,,,,
10136,4,,,,,,,,,,,,,1,1,23,36,,,,,,,
10137,1,38,,40,5,3,84,2,,,1,1,1,,2,,,,,,,2,,
10140,4,,,,,,,,,,,,,3,1,25,588,1,1,4,2,,,
