"SEQN","FSD032A","FSD032B","FSD032C","FSD041","FSD052","FSD061","FSD071","FSD081","FSD092","FSD102","FSD032D","FSD032E","FSD032F","FSD111","FSD122","FSD132","FSD141","FSD146","FSDHH","FSDAD","FSDCH","FSD151","FSQ165","FSD165N","FSQ012","FSD012N","FSD230","FSD230N","FSD795","FSD225","FSD235","FSD855","FSD860","FSQ865","FSQ162","FSQ760","FSD760N","FSQ653","FSD660ZC","FSD675","FSD680","FSD670ZC","FSQ690","FSQ695","FSD652ZW","FSD672ZW","FSD652CW","FSD660ZW"
83732,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
83733,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,
83734,2,3,3,2,,2,2,2,,,,,,,,,,,2,2,,2,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,
83735,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
83736,2,2,3,2,,2,2,2,,,2,3,3,2,2,,2,2,3,2,2,2,1,3,1,3,1,3,12,99999,350,2,,,2,,,,,,,,,,,,,
83737,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,1,2,,,,,,,,,,,,
83738,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,1,1,5,1,4,1,4,2,4,321,2,,,2,,,,,,,,,,,,,
83739,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,2,,,,,2,,,,,
83740,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,1,2,1,2,12,15,200,2,,,1,1,1,1,1,1,1,12,1,4,,,,
83741,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,2,2,,,,,,,2,,,2,,,,,,,,,,,,,
83742,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,1,1,1,12,24,300,2,,,1,2,,,,,,,,,,,,
83743,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
83744,1,1,2,1,2,1,2,2,1,2,,,,,,,,,4,4,,2,1,1,1,1,1,1,12,26,20,2,,,,,,,,,,,,,,,,
83745,2,2,2,1,3,2,1,1,2,,1,3,3,2,2,,2,2,3,4,2,2,1,3,2,,,,,,,2,,,2,,,,,,,,,,,,,
83746,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,2,,,,,2,,,,,
83747,1,1,1,2,,2,2,2,,,,,,,,,,,3,3,,2,1,1,2,,,,,,,2,,,2,,,,,,,,,,,,,
83748,2,2,3,2,,1,2,2,2,,3,3,3,,,,,,3,3,1,1,1,5,1,3,1,3,12,13,98,1,18,401,1,1,1,1,2,1,1,24,1,3,,,,
83749,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
83750,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
83751,2,2,1,2,,2,2,2,,,2,2,2,2,2,,2,2,3,3,3,2,1,5,1,5,1,5,12,8,400,2,,,1,1,1,,,,,,,,,,,
83752,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
83753,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,1,2,2,,5,132,16,2,,,2,,,,,,,,,,,,,
83754,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,5,1,5,1,5,12,12,600,2,,,2,,,,,,,,,,,,,
83755,2,2,2,1,2,1,2,2,2,,,,,,,,,,4,4,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,,
83756,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,6,1,6,1,6,12,1,99999,2,,,2,,,,,,,,,,,,,
83757,2,2,2,2,,2,2,2,,,3,3,3,,,,,,3,3,1,1,1,2,1,2,1,2,12,0,357,2,,,1,1,1,,,,,,,,,,,
83758,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,,
83759,1,1,2,1,2,1,1,1,2,,,,,,,,,,4,4,,1,1,3,1,3,1,3,12,13,99999,2,,,2,,,,,,,,,,,,,
83760,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,6,1,6,1,5,12,3,14,1,99999,189,2,,,1,2,1,2,9,2,,,,,
83761,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
83762,2,2,2,1,2,2,1,2,2,,,,,,,,,,4,4,,2,1,1,1,1,2,,9,78,194,2,,,2,,,,,,,,,,,,,
83763,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,2,,,,,2,,,,,
83764,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
83765,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,2,,,,,2,,,,,
83766,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,,,,,,,,,,,,,,
83767,2,1,1,2,,2,2,2,,,1,3,2,1,2,,2,2,3,3,3,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
83768,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,5,1,5,1,5,3,15,400,2,,,2,,,,,,,,,,,,,
83769,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
83770,1,1,2,1,1,1,1,2,2,,1,2,2,1,2,,1,2,4,4,4,1,1,1,1,1,1,1,12,6,385,2,,,,,,,,,,,,,,,,
83771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,
83772,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,2,1,2,1,2,3,28,250,2,,,1,1,1,1,1,1,1,24,1,3,,,,
83773,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,,
83774,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,6,2,,,,,,,2,,,2,,,,,,,,,,,,,
83775,2,1,1,1,2,1,2,2,2,,,,,,,,,,4,4,,2,1,1,1,1,1,1,12,19,189,2,,,,,,,,,,,,,,,,
83776,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
83777,1,3,3,2,,2,2,2,,,,,,,,,,,2,2,,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
83778,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,4,1,4,1,4,6,0,20,2,,,2,,,,,,,,,,,,,
83779,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,2,,,,,,,,,2,,,2,,,2,,,,,2,,,,,
83780,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,1,2,,1,2,1,1,36,2,,,,,
83781,2,2,3,1,3,1,2,2,2,,,,,,,,,,3,3,,1,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
83782,2,3,2,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,1,1,1,2,,1,43,550,2,,,1,1,2,1,1,1,,4,1,3,,,,
83783,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
83784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83785,2,3,3,2,,2,2,2,,,,,,,,,,,2,2,,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
83786,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,,
83787,3,3,1,2,,2,2,2,,,,,,,,,,,2,2,,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,
83788,2,2,1,2,,1,2,2,2,,3,3,3,,,,,,3,3,1,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,
83789,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,,
83790,2,2,2,1,1,1,1,1,2,,,,,,,,,,4,4,,1,1,1,1,1,1,1,1,15,194,2,,,,,,,,,,,,,,,,
83791,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,,
83792,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,1,2,,1,2,1,1,36,1,5,,,,
83793,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,6,1,6,1,6,11,26,399,2,,,2,,,,,,,,,,,,,
83794,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
83795,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,4,2,,,,,,,2,,,2,,,1,2,1,1,36,1,3,,,,
83796,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,2,,,,,,,2,,,2,,,1,2,1,1,24,1,2,,,,
83797,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,1,1,1,12,99999,90,2,,,2,,,2,,,,,2,,,,,
83798,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,2,,,,,2,,,,,
