"SEQN","ACD010A","ACD010B","ACD010C","ACQ020","ACQ030","ACD040","ACQ050","ACQ060","ACD070","ACD080"
10252,,,3,,,,,,,
10254,1,,,,,,,,,
10255,1,,,,,,,,,
10258,,,,2,1,1,1,1,4,4
10260,,,,3,2,4,4,4,4,4
10261,,,,2,1,1,1,2,5,5
10262,1,,,,,,,,,
10263,,,,4,1,4,5,5,4,4
10264,1,,,,,,,,,
10265,,,3,,,,,,,
10266,,,,2,1,4,2,3,4,4
10267,,,,1,1,1,1,1,4,4
10268,1,,,,,,,,,
10269,1,,,,,,,,,
10271,1,,,,,,,,,
10273,1,,,,,,,,,
10274,1,,3,,,,,,,
10275,1,,,,,,,,,
10277,,,,2,3,4,3,4,2,2
10280,,,,5,5,5,5,5,1,1
10281,,,,3,2,2,2,2,4,4
10282,1,,,,,,,,,
10284,1,,,,,,,,,
10286,,,,3,2,2,3,4,4,4
10288,1,,,,,,,,,
10289,,,,5,5,5,5,5,1,1
10291,1,,,,,,,,,
10292,1,,,,,,,,,
10293,1,,,,,,,,,
10294,1,,,,,,,,,
10295,,,,5,4,4,4,5,1,1
10296,1,,,,,,,,,
10297,,,,4,1,5,5,2,4,4
10300,1,,,,,,,,,
10302,,,,2,1,1,2,1,4,4
10304,1,,,,,,,,,
10305,,,,5,5,5,5,5,1,1
10306,1,,,,,,,,,
10307,,,,3,1,5,5,1,1,1
10308,1,,,,,,,,,
10310,1,,,,,,,,,
10311,1,,,,,,,,,
10312,1,,,,,,,,,
10313,1,,,,,,,,,
10314,,,3,,,,,,,
10315,1,,,,,,,,,
10316,1,,,,,,,,,
10317,1,,,,,,,,,
10319,,,,5,4,5,5,5,1,1
10320,1,,,,,,,,,
10321,1,,,,,,,,,
10322,,,,3,1,3,2,2,4,4
10323,1,,,,,,,,,
10324,1,,,,,,,,,
10325,1,,,,,,,,,
10326,,,,1,1,1,1,1,4,4
10328,1,,,,,,,,,
10330,,,,1,1,1,3,1,4,4
10332,1,,,,,,,,,
10333,1,,,,,,,,,
10335,1,,,,,,,,,
10336,1,,,,,,,,,
10337,,,,1,1,1,1,1,4,4
10338,1,,,,,,,,,
10339,,,,2,1,1,2,1,5,5
10342,1,,,,,,,,,
10343,1,,,,,,,,,
10344,,,,2,1,1,1,2,4,4
10345,,,,5,5,5,5,4,99,99
10346,1,,,,,,,,,
10347,,,,4,5,4,5,4,1,1
10348,1,,,,,,,,,
10352,1,,,,,,,,,
10353,1,,,,,,,,,
10354,1,,,,,,,,,
10357,1,,,,,,,,,
10358,1,,,,,,,,,
10359,1,,,,,,,,,
10361,1,,,,,,,,,
10362,,,,3,3,4,4,4,1,1
10363,,,,5,5,5,5,5,4,4
10364,1,,,,,,,,,
10365,1,,,,,,,,,
10366,1,,,,,,,,,
10367,7,,,,,,,,,
10368,,,,3,1,3,4,4,4,4
10370,1,,,,,,,,,
10373,1,,,,,,,,,
10374,1,,,,,,,,,
10375,1,,,,,,,,,
10376,1,,,,,,,,,
10377,1,,3,,,,,,,
10378,,,,4,4,5,5,5,1,1
10379,1,,,,,,,,,
10380,,,,4,2,4,5,4,4,4
