"SEQN","FSD032A","FSD032B","FSD032C","FSD041","FSD052","FSD061","FSD071","FSD081","FSD092","FSD102","FSD032D","FSD032E","FSD032F","FSD111","FSD122","FSD132","FSD141","FSD146","FSDHH","FSDAD","FSDCH","FSD151","FSQ165","FSD165N","FSQ012","FSD012N","FSD230","FSD230N","FSD795","FSD225","FSD235","FSD855","FSD860","FSQ865","FSQ162","FSQ760","FSD760N","FSQ653","FSD660ZC","FSD675","FSD680","FSD670ZC","FSQ690","FSQ695","FSD652ZW","FSD672ZW","FSD652CW","FSD660ZW"
93828,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,2,,,,,,,2,,,2,,,1,2,1,2,7,2,,,,,
93829,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,2,2,,,,,,,2,,,2,,,,,,,,,,,,,
93830,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,,
93831,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,2,1,1,1,1,12,22,189,2,,,,,,,,,,,,,,,,
93832,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
93833,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
93834,1,2,1,1,2,1,1,1,1,3,1,1,2,2,2,,2,2,4,4,3,1,1,3,1,3,1,3,12,22,511,2,,,2,,,,,,,,,,,,,
93835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93836,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,3,1,2,2,,3,47,30,2,,,2,,,,,,,,,,,,,
93837,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,3,1,3,1,3,12,26,240,2,,,2,,,,,,,,,,,,,
93838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,60,1,2,,,,
93839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93840,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
93841,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
93842,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,1,1,1,12,12,98,2,,,1,1,1,1,1,1,1,24,1,5,,,,
93843,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
93844,1,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,3,1,3,1,3,12,5,507,2,,,2,,,,,,,,,,,,,
93845,2,2,1,2,,2,1,2,2,,2,2,3,2,2,,2,2,3,3,3,1,1,7,1,7,1,4,12,0,68,2,,,2,,,,,,,,,,,,,
93846,2,2,2,1,2,1,2,2,2,,2,2,3,2,2,,2,2,4,4,3,2,1,3,1,3,1,3,2,28,500,2,,,2,,,,,,,,,,,,,
93847,2,2,2,2,,1,2,2,2,,2,2,3,2,2,,2,2,3,3,3,1,1,2,1,2,1,2,12,11,135,2,,,2,,,,,,,,,,,,,
93848,1,1,1,1,2,1,1,1,1,2,,,,,,,,,4,4,,1,1,1,1,1,1,1,12,26,184,2,,,,,,,,,,,,,,,,
93849,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
93850,2,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,1,1,1,1,1,12,28,16,2,,,2,,,,,,,,,,,,,
93851,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,,
93852,2,2,3,2,,2,2,2,,,,,,,,,,,2,2,,2,1,2,2,,,,,,,2,,,2,,,,,,,,,,,,,
93853,1,1,1,1,3,1,2,2,2,,1,1,1,2,2,,2,2,4,3,3,2,1,3,1,3,1,3,12,24,400,2,,,1,2,,,,,,,,,,,,
93854,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,2,,,,,2,,,,,
93855,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,,
93856,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,1,1,1,1,1,2,,1,99999,100,2,,,2,,,,,,,,,,,,,
93857,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,1,1,2,1,1,1,1,36,1,2,,,,
93858,1,2,3,1,2,2,2,2,2,,2,2,2,2,2,,1,1,4,3,4,1,1,5,1,5,1,4,12,30,392,2,,,2,,,,,,,,,,,,,
93859,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
93860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93861,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,,
93862,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,1,1,1,1,1,12,13,550,2,,,1,1,2,1,1,1,1,24,1,2,,,,
93863,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
93864,2,2,2,1,1,1,2,2,2,,2,2,2,1,1,1,1,2,4,4,4,1,1,2,1,2,1,2,2,25,38,2,,,2,,,,,,,,,,,,,
93865,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,2,,,,,,,2,,,2,,,2,,,,,2,,,,,
93866,3,3,2,2,,2,2,2,,,,,,,,,,,2,2,,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,,,
93867,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,1,2,,1,2,1,1,18,1,3,,,,
93868,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,2,,,,,,,2,,,2,,,,,,,,,,,,,
93869,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,,
93870,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
93871,2,3,2,1,2,2,2,2,2,,,,,,,,,,3,3,,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
93872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,
93873,2,2,2,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,2,,,,,,,,,2,,,1,2,,,,,,,,,,,,
93874,2,3,3,2,,2,2,1,2,,2,3,3,2,2,,2,2,3,2,2,1,1,6,1,4,2,,6,99999,200,2,,,1,1,2,,,,,,,,,,,
93875,2,1,2,1,2,1,1,2,2,,,,,,,,,,4,4,,1,1,1,1,1,1,1,10,25,179,2,,,,,,,,,,,,,,,,
93876,1,1,2,1,2,2,2,2,2,,2,3,3,1,2,,2,2,3,3,3,1,1,3,1,2,1,2,12,6,520,2,,,2,,,,,,,,,,,,,
93877,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,,
93878,1,1,2,1,2,1,1,2,2,,,,,,,,,,4,4,,1,1,1,1,1,1,1,12,22,123,2,,,2,,,,,,,,,,,,,
93879,3,3,3,,,,,,,,2,2,3,2,2,,2,2,2,1,3,2,1,5,1,5,1,5,12,5,19,2,,,2,,,,,,,,,,,,,
93880,3,3,3,,,,,,,,3,3,2,2,2,,2,2,2,1,2,2,1,1,2,,,,,,,2,,,2,,,2,,,,,9,,,,,
93881,2,2,2,1,1,1,2,2,2,,2,2,2,2,2,,2,2,4,4,3,1,1,4,1,4,1,4,12,27,500,1,4,500,1,1,1,,,,,,,,,,,
93882,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
93883,2,2,3,2,,2,2,2,,,2,2,3,2,2,,2,2,3,2,3,2,1,5,1,3,1,3,6,26,450,1,99999,99999,1,1,2,,,,,,,,2,,1,1
93884,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
93885,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
93886,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,,,,,,,,,,,,,,
93887,1,1,1,2,,2,2,2,,,,,,,,,,,3,3,,1,2,,,,,,,,,2,,,,,,,,,,,,,,,,
93888,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,2,,,2,,,,,,,,,,2,,2,2
93889,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,5,1,4,1,4,10,27,99999,2,,,1,1,1,,,,,,,,,,,
93890,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,2,,,2,,,,,,,,,,,,,
93891,2,2,2,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,2,,,,,,,,,2,,,1,1,1,,,,,,,,,,,
