"SEQN","HOQ011","HOD030","HOQ040","HOD050","HOD060","HOQ065","HOQ070","HOQ080","HOQ230","HOQ240","HOQ250","HOQ260A","HOQ260B","HOQ260C","HOQ270","HOQ280A","HOQ280B","HOQ280C"
33783,1,,3,6,5,1,2,1,2,2,1,1,2,,,,,
33784,2,,2,7,5,1,1,2,2,2,1,1,2,,,,,
33785,2,,4,7,2,1,1,2,2,2,2,,,,2,,,
33786,2,,1,5,4,1,2,1,2,2,1,1,2,,,,,
33787,2,,3,5,1,2,1,2,2,2,2,,,,2,,,
33788,6,,6,1,1,2,1,2,2,2,2,,,,2,,,
33789,4,6,99,6,4,2,1,2,1,1,2,,,,2,,,
33790,2,,3,6,2,1,1,2,2,2,2,,,,2,,,
33791,3,,3,4,1,2,1,2,1,2,2,,,,2,,,
33792,2,,3,6,5,1,1,2,2,1,2,,,,2,,,
33793,2,,6,6,5,1,1,2,2,2,1,,2,,,,,
33794,2,,1,5,1,1,1,2,2,2,2,,,,2,,,
33795,2,,6,11,5,1,1,2,2,2,1,1,2,,,,,
33796,4,3,2,8,5,1,2,2,2,2,1,1,,,,,,
33797,2,,1,7,1,1,1,2,1,2,2,,,,1,1,,
33798,3,,99,3,2,2,1,2,2,2,2,,,,2,,,
33799,2,,99,5,1,3,1,2,2,2,2,,,,2,,,
33800,6,,6,1,1,2,1,2,2,2,2,,,,2,,,
33801,2,,1,8,2,1,1,1,2,2,1,1,,,,,,
33802,2,,1,5,3,1,2,1,2,1,1,1,,,,,,
33803,2,,1,8,1,2,1,1,2,2,1,1,2,,,,,
33804,2,,99,4,5,1,1,2,1,2,2,,,,2,,,
33805,1,,1,6,2,2,1,2,1,1,2,,,,1,1,2,
33806,2,,3,9,5,1,1,2,2,1,2,,,,2,,,
33807,4,4,99,4,2,2,1,2,2,1,2,,,,2,,,
33808,1,,99,5,1,1,1,2,2,2,2,,,,2,,,
33809,2,,99,5,4,2,1,2,2,1,2,,,,2,,,
33810,2,,4,6,5,1,1,2,2,2,1,1,,3,,,,
33811,2,,99,5,1,1,1,1,2,2,1,1,,,,,,
33812,2,,3,8,5,1,3,2,2,2,2,,,,2,,,
33813,2,,3,13,4,1,1,1,2,2,2,,,,2,,,
33814,2,,5,5,2,2,1,1,1,1,2,,,,2,,,
33815,2,,4,7,1,1,1,2,2,2,2,,,,2,,,
33816,2,,2,12,5,1,1,1,2,2,1,1,,,,,,
33817,4,6,99,4,5,2,1,2,2,2,2,,,,2,,,
33818,2,,2,7,4,1,1,1,1,2,1,,,3,,,,
33819,2,,4,6,5,1,1,2,2,2,1,,2,,,,,
33820,2,,1,7,3,1,1,1,2,2,2,,,,2,,,
33821,1,,99,5,2,2,9,2,2,1,2,,,,2,,,
33822,2,,3,5,4,1,1,2,2,2,1,1,,,,,,
33823,4,5,2,5,1,2,1,2,2,2,2,,,,2,,,
33824,3,,99,6,5,1,1,2,2,2,1,1,,3,,,,
33825,4,4,99,2,5,2,1,2,2,2,2,,,,2,,,
33826,2,,1,4,3,2,1,2,2,2,2,,,,1,,,3
33827,4,7,2,4,3,2,1,2,2,2,2,,,,2,,,
33828,2,,99,6,2,2,1,2,2,1,1,1,,,,,,
33829,2,,2,9,4,1,1,1,1,1,2,,,,1,1,,
33830,2,,2,11,3,1,1,2,1,2,1,1,2,,,,,
33831,2,,3,7,2,1,1,1,1,2,1,1,,,,,,
33832,2,,3,6,4,1,1,1,2,2,1,1,2,,,,,
33833,2,,99,7,5,1,1,2,2,2,2,,,,2,,,
33834,2,,3,7,4,1,1,1,2,2,2,,,,2,,,
33835,3,,3,4,3,2,1,2,1,1,2,,,,1,1,,
33836,1,,1,6,3,1,1,2,2,2,1,1,,,,,,
33837,4,5,99,3,3,3,1,2,2,2,2,,,,2,,,
33838,2,,2,8,1,1,1,2,2,2,1,1,,,,,,
33839,1,,3,7,1,2,1,2,1,2,1,,,3,,,,
33840,4,4,6,4,3,2,1,1,2,2,1,,2,,,,,
33841,3,,4,6,5,1,1,2,2,2,1,1,,,,,,
33842,2,,4,5,5,1,1,9,1,1,1,,2,,,,,
33843,4,6,99,4,3,2,1,2,2,2,1,,,3,,,,
33844,2,,1,9,3,1,1,2,2,2,1,,2,,,,,
33845,,,,,,,,,,,,,,,,,,
33846,2,,4,5,4,1,1,2,2,1,1,1,,,,,,
33847,2,,3,6,5,1,1,2,1,2,1,1,,,,,,
33848,2,,99,6,3,1,1,2,2,2,2,,,,2,,,
33849,2,,99,8,4,1,1,2,2,2,2,,,,2,,,
33850,2,,2,5,2,1,1,1,1,2,2,,,,2,,,
33851,2,,6,6,5,1,1,2,2,2,2,,,,2,,,
33852,2,,2,8,5,1,1,2,2,1,1,1,,,,,,
33853,3,,2,4,4,1,1,1,2,2,2,,,,2,,,
33854,2,,4,4,5,2,1,2,2,2,2,,,,2,,,
33855,2,,1,8,3,1,1,1,2,2,2,,,,2,,,
33856,4,3,99,3,2,2,1,2,2,2,2,,,,2,,,
33857,,,,,,,,,,,,,,,,,,
33858,2,,5,4,2,2,1,2,2,2,2,,,,2,,,
33859,4,3,3,3,1,2,1,2,2,1,2,,,,1,1,,
33860,2,,1,6,5,1,1,2,2,2,1,1,2,,,,,
33861,2,,4,7,5,1,1,2,2,2,2,,,,2,,,
33862,1,,2,5,1,2,1,2,1,2,2,,,,1,1,2,
33863,2,,1,10,2,1,1,2,2,2,2,,,,2,,,
33864,2,,6,10,5,1,3,2,1,2,1,1,,,,,,
33865,4,5,99,3,1,2,1,2,1,2,2,,,,2,,,
33866,2,,3,9,3,1,1,2,1,1,2,,,,2,,,
33867,3,,4,4,1,2,1,1,1,2,2,,,,2,,,
33868,2,,1,5,3,1,1,2,2,2,2,,,,2,,,
33869,3,,99,4,2,2,1,2,2,1,2,,,,2,,,
33870,4,3,99,5,1,2,1,2,2,2,2,,,,2,,,
33871,4,3,99,5,1,2,1,2,2,2,2,,,,2,,,
33872,2,,4,8,5,1,1,2,2,2,2,,,,2,,,
33873,2,,99,6,2,1,1,2,2,2,2,,,,2,,,
33874,2,,3,6,3,1,1,2,2,2,1,,2,,,,,
33875,2,,3,6,5,1,1,2,2,2,2,,,,2,,,
33876,2,,4,5,5,1,1,2,2,2,1,1,,,,,,
33877,2,,4,6,2,1,1,2,2,2,2,,,,2,,,
33878,2,,99,5,2,1,1,2,2,2,2,,,,2,,,
33879,4,3,2,4,1,2,2,2,2,2,1,,2,3,,,,
33880,1,,1,6,5,1,1,2,1,2,1,1,2,,,,,
33881,2,,3,7,5,1,1,2,2,2,2,,,,2,,,
33882,2,,2,8,5,1,1,2,2,2,2,,,,1,1,,
33883,4,4,99,4,1,2,1,2,2,2,1,1,,,,,,
33884,2,,99,8,1,2,1,2,2,2,2,,,,2,,,
33885,2,,1,8,2,1,1,1,2,2,1,1,,,,,,
33886,2,,1,5,2,1,1,1,2,2,1,1,2,,,,,
33887,1,,99,5,5,1,1,2,2,2,2,,,,2,,,
33888,2,,5,7,4,1,1,2,1,2,2,,,,1,,,3
33889,2,,99,4,4,1,1,1,1,1,2,,,,2,,,
33890,1,,2,4,1,2,1,2,2,1,2,,,,2,,,
33891,2,,1,7,1,1,1,1,2,2,2,,,,2,,,
33892,2,,4,5,5,1,1,2,2,2,2,,,,1,,,3
33893,2,,2,4,3,1,1,2,2,1,2,,,,2,,,
33894,2,,3,6,4,2,1,2,2,2,2,,,,2,,,
33895,2,,1,8,3,1,1,2,2,2,2,,,,2,,,
33896,2,,2,6,2,1,1,2,2,1,1,1,,,,,,
33897,4,5,99,4,2,2,1,2,2,2,1,,2,,,,,
33898,3,,4,5,1,2,9,9,2,1,2,,,,9,,,
33899,3,,5,4,1,2,1,2,2,2,1,,,3,,,,
33900,2,,99,6,2,1,1,9,2,2,2,,,,2,,,
33901,2,,1,9,3,1,1,1,2,2,2,,,,2,,,
33902,2,,99,5,3,2,1,2,2,2,2,,,,2,,,
33903,1,,3,5,4,1,2,2,1,2,1,1,,,,,,
33904,2,,6,4,5,3,2,2,1,2,1,1,,,,,,
33905,2,,99,5,1,2,1,2,2,2,2,,,,2,,,
33906,2,,6,9,5,1,2,2,2,2,1,1,2,,,,,
33907,4,3,99,4,3,2,1,2,2,1,2,,,,2,,,
33908,4,4,99,4,3,2,1,2,1,2,2,,,,2,,,
33909,2,,99,4,1,1,1,2,2,2,2,,,,2,,,
33910,3,,2,3,2,1,1,2,2,2,2,,,,2,,,
33911,2,,3,7,5,1,3,1,2,2,1,1,2,,,,,
33912,3,,1,8,2,1,9,1,2,2,2,,,,2,,,
33913,2,,3,7,4,1,1,2,1,2,2,,,,2,,,
33914,4,4,1,6,2,2,2,1,2,2,2,,,,2,,,
33915,2,,2,6,3,1,1,1,2,2,1,1,,,,,,
33916,2,,2,6,5,1,2,1,2,2,2,,,,2,,,
33917,2,,99,8,5,1,1,2,2,2,1,1,,,,,,
33918,3,,99,4,2,2,1,2,2,2,2,,,,2,,,
33919,1,,2,5,3,1,2,2,1,1,2,,,,2,,,
33920,1,,1,5,2,1,1,2,2,1,2,,,,2,,,
33921,3,,4,6,5,1,1,1,2,2,2,,,,2,,,
33922,2,,4,6,5,1,1,2,2,2,2,,,,2,,,
33923,2,,1,6,1,1,1,2,2,2,2,,,,2,,,
33924,3,,6,7,2,1,1,1,2,1,2,,,,2,,,
33925,3,,3,4,2,1,1,2,2,2,1,,2,,,,,
33926,2,,1,10,4,1,1,2,2,1,2,,,,2,,,
33927,3,,5,9,4,1,1,2,2,2,1,1,,,,,,
33928,2,,3,7,5,1,1,2,2,2,2,,,,2,,,
33929,2,,1,12,1,1,1,1,2,2,1,1,,,,,,
33930,2,,2,6,5,1,2,1,2,2,2,,,,2,,,
33931,2,,2,7,4,1,2,2,2,2,2,,,,2,,,
33932,2,,4,8,2,2,1,1,2,2,1,1,,,,,,
33933,4,4,99,5,1,2,1,1,1,1,2,,,,2,,,
33934,2,,6,8,5,1,1,2,2,2,2,,,,2,,,
33935,4,6,99,3,1,2,1,2,1,2,2,,,,2,,,
33936,2,,6,9,2,1,1,1,2,2,1,,2,,,,,
33937,2,,99,4,1,2,1,2,1,2,2,,,,2,,,
33938,2,,3,7,5,1,1,2,2,2,2,,,,2,,,
33939,2,,99,6,2,1,1,2,2,1,2,,,,2,,,
33940,2,,1,5,3,2,1,2,2,2,2,,,,2,,,
33941,2,,6,6,5,1,1,1,2,2,2,,,,2,,,
33942,4,7,99,5,4,2,1,2,2,2,2,,,,2,,,
33943,4,5,99,5,1,2,1,2,2,1,2,,,,2,,,
33944,2,,3,6,5,1,1,2,1,2,1,1,,,,,,
33945,2,,1,6,4,1,1,2,2,2,2,,,,2,,,
33946,2,,4,7,4,1,1,1,2,2,2,,,,2,,,
33947,2,,2,8,5,1,1,2,2,2,1,,2,,,,,
33948,,,,,,,,,,,,,,,,,,
33949,2,,3,8,5,1,2,1,2,2,2,,,,2,,,
33950,4,6,99,3,2,2,1,2,2,2,2,,,,2,,,
33951,2,,3,4,1,2,1,2,1,2,1,1,2,,,,,
33952,3,,99,7,2,2,1,2,2,2,2,,,,1,,,3
33953,2,,99,4,4,1,1,2,1,1,2,,,,2,,,
33954,1,,1,7,2,1,2,1,2,1,1,1,2,,,,,
33955,4,3,3,4,2,2,2,2,2,2,2,,,,2,,,
33956,2,,4,5,4,1,1,1,2,1,1,1,2,,,,,
33957,4,3,99,5,4,2,1,2,2,1,1,,2,,,,,
33958,2,,1,8,3,1,1,2,2,2,1,1,,,,,,
33959,6,,99,2,1,2,1,9,2,2,2,,,,2,,,
33960,2,,99,10,4,1,1,2,2,2,1,,2,,,,,
33961,2,,1,9,3,1,1,1,2,2,1,1,2,,,,,
33962,2,,99,6,1,2,1,2,1,2,2,,,,2,,,
33963,2,,3,6,1,2,1,2,2,2,2,,,,2,,,
33964,2,,99,3,2,2,1,2,2,1,1,1,,,,,,
33965,2,,99,8,1,3,1,2,1,2,2,,,,2,,,
33966,2,,5,7,4,1,1,2,2,2,1,,2,,,,,
33967,2,,2,6,5,1,1,2,2,1,1,1,,,,,,
33968,2,,6,9,2,1,1,1,2,2,1,,2,,,,,
33969,3,,99,5,2,2,1,2,1,2,1,1,,,,,,
33970,2,,6,9,3,1,1,2,2,2,2,,,,2,,,
33971,2,,1,5,5,1,1,2,2,2,2,,,,2,,,
33972,2,,1,8,3,1,1,2,2,2,2,,,,2,,,
33973,1,,2,5,1,2,1,2,2,2,1,1,,,,,,
33974,2,,1,6,1,1,1,1,2,2,1,,2,,,,,
33975,2,,2,10,5,1,1,1,2,2,1,1,,,,,,
33976,2,,2,5,5,1,1,2,1,1,1,1,,,,,,
33977,,,,,,,,,,,,,,,,,,
33978,2,,4,6,5,1,1,2,2,2,2,,,,2,,,
33979,4,7,99,1,5,2,1,2,2,2,2,,,,2,,,
33980,,,,,,,,,,,,,,,,,,
33981,6,,1,1,1,3,1,2,2,2,2,,,,2,,,
33982,3,,5,5,5,1,1,2,2,2,2,,,,2,,,
33983,2,,6,8,3,1,1,1,1,2,1,1,,,,,,
33984,4,7,3,1,1,2,1,2,2,2,2,,,,2,,,
33985,1,,1,6,3,1,1,2,2,2,1,1,,,,,,
33986,3,,99,7,3,2,1,2,2,2,2,,,,2,,,
33987,2,,2,4,5,1,1,2,2,2,1,1,,,,,,
33988,4,7,99,5,2,2,1,2,2,2,2,,,,2,,,
33989,2,,3,6,4,1,1,2,2,1,2,,,,2,,,
33990,2,,5,7,2,1,1,1,2,2,2,,,,2,,,
33991,2,,5,6,3,1,1,1,1,2,1,,2,,,,,
33992,2,,4,8,5,1,1,2,2,2,1,1,,,,,,
33993,1,,99,4,2,2,1,1,2,1,2,,,,2,,,
33994,2,,99,6,2,2,1,2,2,2,2,,,,2,,,
33995,2,,1,5,4,1,1,2,2,2,2,,,,2,,,
33996,2,,1,8,2,1,1,1,2,2,2,,,,2,,,
33997,2,,99,5,3,1,1,2,2,2,2,,,,2,,,
33998,4,5,2,4,1,2,1,2,2,1,2,,,,2,,,
33999,1,,1,8,5,1,1,1,2,2,2,,,,2,,,
34000,4,4,99,3,1,2,1,2,2,1,2,,,,2,,,
34001,2,,4,7,3,2,1,2,2,2,2,,,,2,,,
34002,4,5,99,3,1,2,1,2,2,1,2,,,,2,,,
34003,2,,2,9,3,1,1,1,1,2,1,1,,3,,,,
34004,2,,6,6,5,1,1,2,2,2,1,1,2,3,,,,
34005,2,,2,7,4,1,2,2,2,2,1,1,,,,,,
34006,4,7,99,5,1,2,1,2,2,2,2,,,,2,,,
34007,2,,3,8,5,1,1,2,1,2,1,1,,,,,,
34008,2,,1,8,4,1,1,2,2,2,1,1,,,,,,
34009,3,,4,5,2,2,1,1,2,2,1,,2,,,,,
34010,2,,3,6,5,1,1,1,2,2,1,1,,,,,,
34011,2,,5,12,5,1,1,1,1,1,1,,2,,,,,
34012,2,,3,6,5,1,1,1,2,1,2,,,,2,,,
34013,4,4,4,6,3,2,1,2,2,2,2,,,,2,,,
34014,2,,1,7,4,1,1,2,2,2,1,1,,,,,,
34015,2,,2,8,2,1,1,2,2,2,1,1,,,,,,
34016,2,,5,5,5,1,1,2,2,2,2,,,,2,,,
34017,3,,1,6,4,1,1,2,2,2,1,1,2,,,,,
34018,2,,99,7,3,1,1,1,2,1,2,,,,2,,,
34019,4,5,1,3,1,2,1,2,2,2,2,,,,2,,,
34020,4,5,99,4,1,2,1,2,2,1,2,,,,2,,,
34021,2,,1,8,5,1,1,1,2,2,1,1,,,,,,
34022,2,,99,6,5,1,1,2,2,2,2,,,,2,,,
34023,3,,99,7,2,2,1,2,2,2,2,,,,1,,,3
34024,1,,99,4,2,1,1,2,2,2,2,,,,2,,,
34025,2,,1,10,4,1,1,2,2,2,2,,,,2,,,
34026,2,,1,7,4,1,1,1,2,2,2,,,,2,,,
34027,2,,4,7,2,1,1,2,2,2,2,,,,2,,,
34028,4,5,99,5,3,2,1,2,1,1,2,,,,2,,,
34029,2,,4,5,4,1,1,2,2,2,2,,,,2,,,
34030,2,,1,8,3,1,1,1,2,2,1,1,,,,,,
34031,2,,3,5,5,1,1,2,2,2,2,,,,2,,,
34032,4,5,99,4,2,2,1,2,2,1,2,,,,2,,,
34033,2,,4,4,3,1,1,1,2,2,1,,,3,,,,
34034,2,,99,6,1,1,1,2,2,2,2,,,,2,,,
34035,2,,2,8,3,1,1,2,2,2,2,,,,2,,,
34036,2,,4,4,5,1,1,2,1,2,2,,,,2,,,
34037,2,,6,5,5,1,2,2,2,2,1,,2,,,,,
34038,2,,1,5,4,1,9,2,2,2,1,1,,,,,,
34039,3,,99,4,3,2,1,2,1,1,2,,,,2,,,
34040,2,,3,6,5,1,2,2,2,2,1,,2,,,,,
34041,2,,99,6,5,1,1,2,1,2,2,,,,2,,,
34042,2,,3,7,5,1,1,2,1,1,2,,,,1,1,,
34043,2,,6,5,2,2,1,2,2,1,2,,,,2,,,
34044,2,,99,7,2,2,1,2,2,2,2,,,,2,,,
34045,4,3,99,3,1,2,1,1,2,2,2,,,,2,,,
34046,2,,3,7,5,1,2,1,2,2,1,1,,,,,,
34047,2,,2,7,5,1,1,2,2,2,1,1,2,,,,,
34048,4,5,99,6,3,2,1,1,2,1,2,,,,2,,,
34049,2,,99,5,2,2,1,2,1,1,2,,,,2,,,
34050,2,,6,8,5,1,1,2,1,2,2,,,,2,,,
34051,1,,2,5,4,1,2,1,2,2,2,,,,2,,,
34052,2,,2,9,4,1,2,2,2,2,1,1,2,,,,,
34053,4,99,99,5,2,2,1,2,2,2,2,,,,2,,,
34054,2,,99,8,3,3,1,2,2,2,1,1,,,,,,
34055,2,,99,9,2,2,1,1,2,1,1,,2,,,,,
34056,2,,1,10,5,1,1,2,2,1,1,1,2,3,,,,
34057,2,,3,6,3,1,1,2,2,2,2,,,,2,,,
34058,2,,2,6,5,1,2,1,2,1,1,1,,,,,,
34059,2,,3,5,5,1,1,2,2,2,1,,,3,,,,
34060,2,,99,5,5,1,1,2,2,2,1,1,,,,,,
34061,1,,1,6,4,1,1,2,2,2,1,1,,,,,,
34062,2,,1,7,4,1,1,2,2,2,2,,,,2,,,
34063,4,7,99,3,1,2,1,2,2,1,2,,,,2,,,
34064,2,,99,6,2,2,2,2,1,2,1,,2,,,,,
34065,2,,3,7,1,1,1,1,2,2,1,1,,,,,,
34066,4,5,6,5,1,2,1,2,2,2,2,,,,2,,,
34067,2,,6,9,1,1,1,2,2,2,1,1,,,,,,
34068,4,4,2,4,1,2,1,2,2,2,2,,,,2,,,
34069,2,,1,5,1,2,1,2,2,2,2,,,,2,,,
34070,2,,1,6,1,1,2,1,2,2,1,1,2,3,,,,
34071,2,,3,5,1,1,1,1,2,2,1,1,,,,,,
34072,2,,5,5,5,1,1,2,2,2,2,,,,1,1,,
34073,2,,1,7,5,1,2,2,2,2,1,1,2,,,,,
34074,2,,4,5,5,1,1,2,2,2,1,1,,,,,,
34075,4,3,99,3,1,2,1,2,2,2,2,,,,2,,,
34076,4,5,99,3,3,2,1,2,1,1,2,,,,2,,,
34077,4,3,99,2,1,2,1,1,2,1,2,,,,2,,,
34078,2,,99,8,3,2,1,1,2,2,1,1,2,,,,,
34079,2,,3,5,4,1,1,1,2,2,1,1,,,,,,
34080,2,,4,9,3,1,1,1,2,2,1,1,,,,,,
34081,2,,6,7,3,1,1,2,1,2,2,,,,1,1,,
34082,2,,4,7,3,1,1,2,2,2,1,1,2,,,,,
34083,2,,3,5,5,1,1,2,2,1,2,,,,2,,,
34084,2,,3,7,5,1,1,2,2,2,2,,,,2,,,
34085,2,,2,1,5,1,2,1,2,2,1,1,2,,,,,
34086,2,,2,6,5,1,1,2,2,2,1,1,2,,,,,
34087,2,,6,7,5,1,1,1,2,2,2,,,,2,,,
34088,2,,3,7,3,2,1,1,1,2,1,,2,,,,,
34089,2,,5,7,1,2,1,2,2,2,2,,,,1,1,,
34090,4,5,3,5,1,2,1,2,2,1,2,,,,2,,,
34091,3,,1,5,1,2,1,2,2,2,2,,,,2,,,
34092,2,,5,8,5,1,1,1,1,2,2,,,,2,,,
34093,2,,4,6,3,1,1,2,2,2,1,,2,,,,,
34094,2,,6,7,4,1,1,2,2,2,1,1,2,3,,,,
34095,2,,99,6,3,2,1,2,2,1,2,,,,2,,,
34096,2,,3,6,5,1,1,2,2,2,1,1,,,,,,
34097,2,,4,6,5,1,1,2,2,2,2,,,,2,,,
34098,2,,6,6,2,1,1,2,2,1,1,1,,,,,,
34099,2,,4,3,5,1,1,2,2,1,1,1,,,,,,
34100,2,,1,7,2,1,1,2,2,2,1,,2,,,,,
34101,2,,1,7,5,2,2,2,2,2,1,1,2,,,,,
34102,2,,3,9,3,1,1,2,2,1,2,,,,2,,,
34103,4,4,99,4,1,2,1,2,2,1,2,,,,2,,,
34104,1,,2,4,4,1,1,2,2,1,2,,,,2,,,
34105,2,,1,9,1,1,1,2,2,2,2,,,,2,,,
34106,2,,99,9,2,1,1,2,2,1,2,,,,2,,,
34107,2,,1,6,4,1,1,2,2,1,1,,2,,,,,
34108,2,,6,6,5,1,1,2,2,2,1,1,,,,,,
34109,2,,4,10,5,1,1,1,2,2,1,1,,,,,,
34110,3,,5,5,4,1,1,2,2,2,1,1,,,,,,
34111,2,,5,8,5,1,2,2,1,2,1,1,2,,,,,
34112,2,,6,11,3,1,1,1,2,2,1,1,2,,,,,
34113,2,,1,9,3,1,1,1,2,2,2,,,,2,,,
34114,3,,6,4,2,2,1,2,2,1,1,,2,,,,,
34115,2,,1,7,5,3,2,2,2,2,2,,,,2,,,
34116,3,,99,6,1,2,1,2,1,2,1,1,,,,,,
34117,4,3,99,2,3,2,1,1,1,1,2,,,,2,,,
34118,2,,4,5,5,1,1,2,2,2,2,,,,1,1,,
34119,1,,1,4,1,1,1,2,2,2,2,,,,2,,,
34120,2,,1,6,3,1,2,2,1,2,2,,,,2,,,
34121,2,,6,7,2,1,1,2,2,1,2,,,,2,,,
34122,2,,6,4,5,1,1,2,2,2,2,,,,2,,,
34123,2,,3,12,4,1,1,1,1,2,2,,,,2,,,
34124,2,,2,5,5,1,1,2,1,1,1,1,,,,,,
34125,4,3,99,4,2,2,1,2,2,1,2,,,,2,,,
34126,2,,6,6,4,3,1,2,2,2,1,1,,,,,,
34127,2,,1,8,3,1,1,1,2,2,2,,,,2,,,
34128,2,,4,8,5,1,1,2,2,2,1,1,,,,,,
34129,4,3,99,4,3,2,1,2,2,2,2,,,,2,,,
34130,3,,99,4,1,2,1,1,2,2,2,,,,2,,,
34131,3,,6,4,2,2,1,2,1,1,2,,,,2,,,
34132,2,,99,6,1,1,1,2,2,2,2,,,,2,,,
34133,2,,4,5,5,1,2,1,2,2,2,,,,2,,,
34134,2,,2,5,2,1,1,1,1,1,1,1,,,,,,
34135,2,,3,9,5,1,1,2,2,2,2,,,,2,,,
34136,2,,3,6,5,1,1,1,2,2,1,,2,,,,,
34137,4,4,99,7,1,2,1,2,1,2,2,,,,2,,,
34138,3,,6,7,5,1,1,2,1,1,2,,,,2,,,
34139,2,,99,5,2,3,1,2,1,2,2,,,,2,,,
34140,4,6,99,4,2,2,1,2,2,1,2,,,,2,,,
34141,3,,6,9,1,1,1,1,2,2,1,,2,,,,,
34142,2,,2,6,3,1,1,2,2,1,1,1,2,,,,,
34143,3,,4,4,1,2,1,2,2,1,2,,,,2,,,
34144,2,,5,7,2,1,1,1,2,2,1,1,2,,,,,
34145,2,,6,6,5,1,2,2,2,2,2,,,,2,,,
34146,2,,99,8,1,2,1,2,1,2,1,,2,,,,,
34147,2,,2,6,1,1,1,2,2,2,1,1,,,,,,
34148,2,,5,6,5,1,2,1,2,2,2,,,,2,,,
34149,6,,99,1,2,2,1,2,2,2,2,,,,2,,,
34150,3,,2,4,3,1,1,1,2,2,1,1,,,,,,
34151,1,,1,8,4,1,2,1,2,2,1,1,,,,,,
34152,2,,4,8,5,1,1,2,1,2,1,1,2,,,,,
34153,2,,1,7,1,1,1,2,2,2,1,1,2,,,,,
34154,2,,3,9,3,1,1,2,2,2,2,,,,2,,,
34155,2,,4,9,5,1,2,1,1,2,1,,2,,,,,
34156,2,,6,7,2,2,1,2,2,2,2,,,,2,,,
34157,2,,1,9,2,1,1,1,2,2,1,1,2,,,,,
34158,2,,6,9,5,1,1,2,1,1,1,1,2,,,,,
34159,2,,2,9,4,1,1,1,2,2,1,1,2,,,,,
34160,4,5,99,4,1,2,1,2,2,1,2,,,,2,,,
34161,2,,99,3,1,2,1,2,1,2,2,,,,2,,,
34162,1,,2,5,2,1,1,2,2,2,2,,,,2,,,
34163,1,,2,8,5,1,1,2,2,2,2,,,,2,,,
34164,1,,2,4,2,2,1,2,2,1,2,,,,2,,,
34165,1,,2,5,1,2,1,2,2,1,1,,,3,,,,
34166,2,,3,9,3,1,1,2,2,2,2,,,,2,,,
34167,1,,2,4,5,1,1,2,2,2,1,1,,,,,,
34168,2,,99,5,3,2,1,2,2,1,2,,,,2,,,
34169,2,,5,7,4,1,1,2,2,1,1,1,,,,,,
34170,2,,3,7,3,1,1,2,2,2,2,,,,2,,,
34171,4,6,99,4,1,1,1,1,2,2,2,,,,2,,,
34172,4,5,2,5,3,2,1,2,2,2,2,,,,2,,,
34173,1,,1,6,3,1,1,2,2,2,1,1,,,,,,
34174,2,,2,6,5,1,1,1,2,2,1,,2,,,,,
34175,4,4,2,7,2,2,1,2,2,2,2,,,,2,,,
34176,2,,2,6,1,1,1,2,2,2,1,1,,,,,,
34177,2,,1,8,1,1,1,1,2,2,2,,,,2,,,
34178,2,,1,9,1,1,1,2,2,2,1,1,,,,,,
34179,4,5,99,4,3,2,1,1,1,2,2,,,,2,,,
34180,3,,99,4,5,2,2,2,2,1,2,,,,1,1,,
34181,3,,99,8,2,2,1,2,2,2,2,,,,2,,,
34182,4,6,99,3,1,2,1,2,2,2,1,,2,,,,,
34183,4,99,99,3,1,2,1,2,2,2,2,,,,2,,,
34184,4,7,99,3,3,2,1,2,2,1,2,,,,2,,,
34185,3,,99,4,1,2,2,2,1,1,2,,,,2,,,
34186,2,,2,8,5,1,1,2,2,1,1,1,,,,,,
34187,2,,1,9,3,1,1,2,2,1,2,,,,2,,,
34188,3,,4,4,3,2,1,2,2,2,1,1,,,,,,
34189,3,,4,7,4,1,1,2,2,2,2,,,,2,,,
34190,2,,1,4,1,2,2,2,2,2,2,,,,2,,,
34191,3,,99,5,2,2,1,2,2,1,2,,,,2,,,
34192,4,4,3,5,3,3,1,2,1,2,1,1,,,,,,
34193,2,,99,7,3,2,1,2,2,2,2,,,,2,,,
34194,2,,1,12,5,1,1,1,2,2,1,1,,,,,,
34195,2,,3,11,3,1,1,1,1,1,2,,,,2,,,
34196,2,,99,5,2,2,1,2,2,2,2,,,,2,,,
34197,4,1,99,3,3,1,1,2,2,2,2,,,,2,,,
34198,2,,1,9,2,1,1,2,2,2,1,1,,,,,,
34199,2,,1,9,1,1,1,2,2,2,2,,,,9,,,
34200,4,3,99,4,1,2,1,2,1,1,2,,,,2,,,
34201,4,5,99,3,2,2,1,2,2,1,2,,,,2,,,
34202,2,,1,5,5,1,1,2,2,2,1,1,,,,,,
34203,2,,6,7,5,1,1,2,2,2,1,1,2,,,,,
34204,3,,5,8,3,1,1,2,2,1,1,1,2,3,,,,
34205,2,,3,5,4,1,1,1,2,2,1,,2,,,,,
34206,1,,1,6,4,1,2,2,2,2,2,,,,2,,,
34207,4,5,3,4,5,2,1,2,1,2,2,,,,2,,,
34208,2,,3,5,4,1,1,2,2,2,2,,,,2,,,
34209,2,,6,6,5,1,2,2,2,2,1,1,,,,,,
34210,2,,2,8,5,1,2,2,2,2,2,,,,2,,,
34211,2,,4,4,2,1,1,1,2,2,2,,,,2,,,
34212,2,,4,7,5,1,1,2,2,2,2,,,,2,,,
34213,2,,3,10,5,1,1,1,2,2,2,,,,2,,,
