"SEQN","HOQ011","HOD030","HOQ040","HOD050","HOD060","HOQ065","HOQ070","HOQ080","HOQ230","HOQ240","HOQ250","HOQ260A","HOQ260B","HOQ260C","HOQ270","HOQ280A","HOQ280B","HOQ280C"
31222,2,,99,4,1,2,1,1,1,2,2,,,,2,,,
31223,2,,6,6,5,1,1,2,2,2,2,,,,2,,,
31224,3,,1,11,3,1,1,2,2,2,2,,,,2,,,
31225,2,,2,8,3,1,1,1,1,2,1,1,,,,,,
31226,,,,,,,,,,,,,,,,,,
31227,2,,3,9,5,1,2,1,2,2,2,,,,2,,,
31228,4,3,99,4,2,2,2,2,2,2,1,1,,,,,,
31229,2,,1,8,2,1,1,2,2,2,2,,,,2,,,
31230,2,,99,4,4,2,1,2,2,1,2,,,,2,,,
31231,4,5,2,6,1,2,1,2,2,2,1,,2,,,,,
31232,4,5,99,4,2,2,1,2,2,2,2,,,,2,,,
31233,2,,3,7,5,1,1,2,2,2,2,,,,2,,,
31234,3,,3,7,2,2,1,1,2,2,2,,,,2,,,
31235,1,,1,8,4,1,1,2,2,2,2,,,,2,,,
31236,2,,3,6,1,1,1,2,2,1,2,,,,2,,,
31237,4,7,99,2,2,1,1,2,1,1,1,1,,,,,,
31238,4,7,99,4,2,2,1,2,2,2,2,,,,2,,,
31239,2,,2,1,5,1,2,1,2,2,1,1,2,,,,,
31240,2,,1,5,4,1,1,1,2,2,2,,,,2,,,
31241,2,,99,12,2,1,1,2,2,1,1,,2,,,,,
31242,2,,2,8,5,1,1,2,1,2,2,,,,1,1,,
31243,3,,3,5,5,1,1,2,1,2,1,1,,,,,,
31244,4,4,6,2,1,2,1,2,2,2,1,,2,,,,,
31245,2,,4,6,3,1,1,2,2,2,1,1,,,,,,
31246,2,,2,5,5,1,2,1,2,2,2,,,,2,,,
31247,2,,4,7,1,2,1,2,2,1,1,1,,,,,,
31248,2,,5,5,2,2,1,1,1,1,2,,,,2,,,
31249,4,5,2,5,1,2,1,2,2,2,1,1,,,,,,
31250,2,,1,5,3,1,1,2,2,2,2,,,,2,,,
31251,4,4,99,5,2,2,1,2,1,1,2,,,,2,,,
31252,2,,1,4,1,1,1,1,2,2,2,,,,2,,,
31253,4,5,1,4,1,1,1,2,2,2,2,,,,2,,,
31254,4,5,99,3,1,2,9,2,2,1,2,,,,2,,,
31255,2,,99,5,4,3,1,2,2,2,2,,,,2,,,
31256,2,,99,6,2,1,1,1,2,1,2,,,,2,,,
31257,2,,1,6,5,1,1,2,2,2,2,,,,2,,,
31258,2,,5,4,1,2,1,2,2,2,2,,,,2,,,
31259,4,5,99,4,1,2,1,2,2,2,2,,,,2,,,
31260,4,5,99,6,3,2,1,2,1,2,2,,,,2,,,
31261,2,,1,6,4,1,2,1,2,2,2,,,,2,,,
31262,2,,1,4,3,1,1,1,2,2,2,,,,2,,,
31263,2,,2,6,5,1,1,2,2,2,2,,,,2,,,
31264,2,,1,8,2,1,2,1,2,2,1,,,3,,,,
31265,3,,99,5,4,3,1,2,1,2,2,,,,2,,,
31266,3,,1,5,2,1,1,2,2,2,1,,2,,,,,
31267,2,,1,4,4,2,1,2,2,2,1,1,,3,,,,
31268,1,,2,5,1,2,2,1,1,1,2,,,,2,,,
31269,2,,1,5,1,1,1,9,2,1,1,1,,,,,,
31270,4,4,6,5,1,2,2,2,2,1,2,,,,2,,,
31271,4,5,99,4,3,2,1,2,2,2,2,,,,2,,,
31272,1,,2,6,3,2,1,2,2,1,2,,,,1,1,,
31273,2,,3,6,5,1,1,2,2,2,2,,,,2,,,
31274,4,6,99,4,2,2,1,2,2,1,2,,,,2,,,
31275,2,,3,7,3,1,1,2,1,2,1,1,,,,,,
31276,2,,3,7,3,1,1,2,2,1,2,,,,1,1,,
31277,2,,2,6,5,1,2,1,2,2,1,1,2,,,,,
31278,2,,99,6,5,1,1,2,2,2,1,1,,,,,,
31279,4,4,3,3,3,2,1,2,2,2,1,1,,,,,,
31280,2,,2,9,5,1,1,2,2,2,2,,,,2,,,
31281,4,7,99,4,2,2,1,2,1,2,1,,2,,,,,
31282,2,,1,13,3,1,1,1,2,2,2,,,,2,,,
31283,4,7,99,3,4,2,1,1,2,1,2,,,,2,,,
31284,2,,1,11,5,1,2,1,2,2,2,,,,1,1,,
31285,2,,3,4,5,1,1,2,2,2,1,,2,,,,,
31286,4,3,99,4,3,2,1,2,2,1,2,,,,2,,,
31287,4,99,99,6,1,2,9,2,2,1,2,,,,2,,,
31288,6,,1,1,1,2,1,2,2,2,2,,,,2,,,
31289,2,,1,5,2,1,1,2,2,2,2,,,,2,,,
31290,2,,99,4,1,2,1,1,1,2,2,,,,2,,,
31291,4,4,99,5,2,2,1,9,2,1,2,,,,2,,,
31292,3,,5,8,3,1,1,2,2,1,1,1,2,3,,,,
31293,4,1,99,4,2,2,1,1,2,1,2,,,,2,,,
31294,2,,3,6,5,1,1,2,2,2,1,1,,,,,,
31295,2,,5,8,1,2,2,2,2,2,2,,,,2,,,
31296,1,,1,7,5,1,2,2,2,2,1,1,,,,,,
31297,2,,1,4,3,3,2,2,2,2,1,1,,,,,,
31298,2,,2,8,3,1,1,1,2,2,1,1,,,,,,
31299,2,,4,6,5,1,1,2,2,2,1,1,2,,,,,
31300,2,,99,6,4,1,1,2,2,2,2,,,,2,,,
31301,2,,3,6,5,1,1,2,2,1,2,,,,2,,,
31302,2,,2,9,1,1,2,2,1,2,1,1,,,,,,
31303,2,,99,5,1,2,1,2,2,1,2,,,,2,,,
31304,2,,99,4,3,2,1,2,2,1,2,,,,2,,,
31305,2,,1,8,2,1,1,2,2,2,1,1,,,,,,
31306,3,,3,6,3,2,1,2,2,1,1,,2,,,,,
31307,2,,5,4,5,1,1,2,2,1,2,,,,1,1,,
31308,2,,3,6,5,1,1,2,2,2,2,,,,2,,,
31309,2,,99,6,1,3,1,2,1,2,2,,,,1,1,,
31310,2,,3,10,4,1,1,2,2,2,1,1,2,,,,,
31311,2,,4,7,5,1,1,2,2,2,1,1,2,,,,,
31312,2,,1,7,1,1,1,1,2,2,2,,,,2,,,
31313,3,,99,7,1,2,1,9,2,2,2,,,,2,,,
31314,2,,4,6,3,1,1,2,2,2,1,1,,,,,,
