"SEQN","HOD011","HOD030","HOD040","HOD050","HOD060","HOQ065","HOQ070","HOQ080","HOD140","HOD150","HOD160","HOD170","HOD180","HOD190","HOD210","HOD220"
21005,4,4,99,4,1,2,1,2,,,,,,,,
21006,2,,99,9,3,2,1,2,,,,,,,,
21007,2,,99,7,2,2,1,2,,,,,,,,
21008,2,,4,9,3,1,1,2,,,,,,,,
21009,2,,3,6,2,1,1,2,,,,,,,,
21010,2,,3,3,4,1,2,2,,,,,,,,
21011,2,,99,5,2,2,1,2,,,,,,,,
21012,2,,4,7,5,1,1,2,,,,,,,,
21013,4,5,1,6,2,2,1,2,,,,,,,,
21014,4,6,99,4,2,2,1,2,2,,2,,,2,,2
21015,2,,4,6,5,1,2,1,,,,,,,,
21016,4,3,2,4,1,2,1,2,,,,,,,,
21017,4,6,99,3,1,2,1,2,,,,,,,,
21018,2,,99,5,3,1,1,2,,,,,,,,
21019,2,,6,10,2,2,1,2,,,,,,,,
21020,4,1,4,5,3,2,1,2,,,,,,,,
21021,,,,,,,,,,,,,,,,
21022,4,1,99,3,2,2,1,2,2,,1,2,,2,,1
21023,3,,99,5,3,2,1,2,,,,,,,,
21024,2,,5,7,5,1,2,1,,,,,,,,
21025,4,4,99,4,2,2,1,2,,,,,,,,
21026,2,,2,5,4,2,1,2,,,,,,,,
21027,2,,2,7,5,1,2,2,,,,,,,,
21028,4,5,1,6,2,2,1,2,,,,,,,,
21029,2,,3,10,4,1,2,1,,,,,,,,
21030,2,,4,7,4,1,1,2,,,,,,,,
21031,2,,1,9,4,1,1,1,,,,,,,,
21032,1,,1,8,5,1,2,1,,,,,,,,
21033,2,,4,5,5,1,1,2,,,,,,,,
21034,1,,99,5,1,2,1,2,,,,,,,,
21035,2,,5,6,5,1,1,2,,,,,,,,
21036,2,,3,7,5,1,1,2,,,,,,,,
21037,4,7,2,2,4,2,1,1,,,,,,,,
21038,2,,4,9,4,1,1,2,,,,,,,,
21039,4,6,3,3,5,2,1,1,,,,,,,,
21040,2,,1,7,2,1,1,1,2,,2,,,2,,2
21041,2,,4,4,1,2,1,2,,,,,,,,
21042,4,6,2,6,1,2,1,1,2,,1,2,,2,,2
21043,2,,99,6,3,2,1,1,,,,,,,,
21044,4,3,3,3,2,2,1,2,,,,,,,,
21045,3,,5,8,4,1,1,2,,,,,,,,
21046,2,,3,5,2,1,1,1,2,,1,2,,2,,1
21047,2,,3,9,3,1,1,2,,,,,,,,
21048,2,,3,6,5,1,1,2,,,,,,,,
21049,2,,99,4,4,1,1,2,,,,,,,,
21050,2,,1,5,5,1,2,2,,,,,,,,
21051,2,,6,7,5,1,1,1,,,,,,,,
21052,2,,4,7,4,1,2,1,,,,,,,,
21053,2,,1,6,3,1,1,1,,,,,,,,
21054,2,,2,7,5,1,1,2,,,,,,,,
21055,4,5,3,4,2,2,1,2,,,,,,,,
21056,2,,1,7,2,1,1,2,,,,,,,,
21057,2,,1,7,1,1,1,2,,,,,,,,
21058,2,,99,5,5,1,1,2,,,,,,,,
21059,2,,3,8,4,1,1,2,,,,,,,,
21060,2,,2,6,1,2,1,1,,,,,,,,
21061,2,,6,6,5,1,1,2,,,,,,,,
21062,2,,6,10,2,1,2,1,,,,,,,,
21063,4,4,99,4,5,2,1,1,,,,,,,,
21064,2,,4,5,4,1,1,2,,,,,,,,
21065,2,,3,8,5,1,1,1,,,,,,,,
21066,1,,2,6,2,1,1,1,,,,,,,,
21067,4,5,99,5,2,2,1,2,,,,,,,,
21068,1,,99,4,1,2,1,2,,,,,,,,
21069,2,,99,4,3,1,1,2,,,,,,,,
21070,2,,4,5,3,1,1,2,,,,,,,,
21071,3,,6,5,1,2,1,2,,,,,,,,
21072,2,,6,9,4,1,1,2,1,1,2,,,2,,2
21073,,,,,,,,,,,,,,,,
21074,3,,5,5,5,1,1,2,,,,,,,,
21075,2,,2,5,3,2,1,2,,,,,,,,
21076,3,,99,7,5,1,1,2,,,,,,,,
21077,4,5,1,6,2,2,1,2,2,,2,,,2,,2
21078,4,1,6,6,5,1,1,2,,,,,,,,
21079,2,,1,5,4,1,1,2,,,,,,,,
21080,2,,3,8,1,1,1,1,,,,,,,,
21081,2,,4,5,3,2,1,2,,,,,,,,
21082,2,,2,8,4,1,1,2,,,,,,,,
21083,2,,3,5,5,1,1,1,,,,,,,,
21084,2,,1,5,4,1,1,2,,,,,,,,
21085,4,6,99,2,2,2,1,2,,,,,,,,
21086,2,,6,8,2,1,1,2,,,,,,,,
21087,1,,1,4,3,1,1,2,,,,,,,,
21088,3,,99,4,3,1,1,2,,,,,,,,
21089,2,,99,5,4,1,1,2,,,,,,,,
21090,2,,6,7,5,1,1,2,,,,,,,,
21091,4,6,6,3,1,2,1,1,,,,,,,,
21092,2,,3,6,2,1,1,1,,,,,,,,
21093,4,7,2,5,3,1,1,1,,,,,,,,
21094,2,,99,3,4,2,1,2,,,,,,,,
21095,2,,99,6,3,1,1,2,,,,,,,,
21096,2,,3,7,5,1,1,1,,,,,,,,
21097,3,,6,6,3,1,1,2,,,,,,,,
21098,5,,3,3,2,2,1,2,,,,,,,,
21099,4,6,99,8,4,2,1,2,,,,,,,,
21100,2,,2,8,5,1,2,1,,,,,,,,
21101,2,,2,7,5,1,2,2,,,,,,,,
21102,3,,99,4,2,2,1,2,2,,2,,,2,,1
21103,4,4,99,4,3,2,1,2,,,,,,,,
21104,2,,4,7,5,1,1,2,,,,,,,,
21105,4,5,1,5,1,2,1,2,,,,,,,,
21106,2,,5,7,4,1,1,1,1,2,2,,,2,,2
21107,4,7,2,5,1,2,1,2,,,,,,,,
21108,2,,4,6,4,1,1,2,,,,,,,,
21109,4,3,1,4,2,2,2,1,,,,,,,,
21110,2,,99,4,2,1,1,2,,,,,,,,
21111,,,,,,,,,,,,,,,,
21112,4,3,2,6,3,3,1,1,,,,,,,,
21113,3,,3,5,4,1,1,1,,,,,,,,
21114,4,7,4,3,5,2,1,2,,,,,,,,
21115,4,5,99,1,2,2,1,2,,,,,,,,
21116,4,6,99,2,3,2,1,2,,,,,,,,
21117,2,,6,6,3,1,1,2,,,,,,,,
21118,2,,5,6,5,3,1,2,,,,,,,,
21119,4,5,2,4,5,2,1,2,,,,,,,,
21120,2,,3,6,5,1,1,2,,,,,,,,
21121,4,5,99,3,3,2,1,2,2,,1,2,,2,,2
21122,2,,3,7,4,1,1,2,,,,,,,,
21123,4,7,2,6,4,1,1,1,,,,,,,,
21124,2,,1,7,3,1,2,2,,,,,,,,
21125,4,1,99,4,1,2,1,2,,,,,,,,
21126,2,,1,8,2,1,1,2,1,2,2,,,2,,2
21127,3,,99,7,3,1,1,2,2,,2,,,2,,2
21128,2,,5,7,2,1,1,2,,,,,,,,
21129,4,5,3,3,1,2,1,1,,,,,,,,
21130,4,4,99,6,5,2,1,1,,,,,,,,
21131,3,,4,6,2,2,1,2,2,,2,,,2,,2
21132,2,,3,9,5,1,1,1,,,,,,,,
21133,4,4,6,3,4,2,1,1,2,,1,2,,2,,2
21134,2,,5,6,5,1,1,2,,,,,,,,
21135,4,6,99,4,4,2,1,2,,,,,,,,
21136,2,,6,13,5,1,1,2,,,,,,,,
21137,1,,3,6,3,1,1,1,,,,,,,,
21138,,,,,,,,,,,,,,,,
21139,,,,,,,,,,,,,,,,
21140,2,,3,4,2,2,1,2,,,,,,,,
21141,2,,4,5,5,1,1,2,,,,,,,,
21142,2,,4,6,4,1,1,2,,,,,,,,
21143,2,,1,6,3,1,2,2,,,,,,,,
21144,2,,1,7,2,1,1,2,,,,,,,,
21145,4,99,99,4,3,2,1,2,,,,,,,,
21146,2,,3,6,2,1,1,2,,,,,,,,
21147,2,,6,10,2,1,2,1,,,,,,,,
21148,4,1,99,5,3,2,1,1,,,,,,,,
21149,4,4,99,4,5,2,1,2,,,,,,,,
21150,1,,99,4,1,2,1,2,,,,,,,,
21151,4,3,99,4,2,2,1,2,,,,,,,,
21152,2,,4,6,5,1,1,2,2,,2,,,2,,2
21153,4,6,3,4,3,2,1,2,,,,,,,,
21154,2,,2,5,4,1,1,2,,,,,,,,
21155,2,,3,6,5,1,1,1,,,,,,,,
21156,2,,2,4,4,1,1,2,,,,,,,,
21157,2,,2,8,4,1,1,1,,,,,,,,
21158,2,,4,5,5,1,1,2,,,,,,,,
21159,2,,2,7,5,1,1,2,,,,,,,,
21160,3,,99,4,3,2,1,2,,,,,,,,
21161,1,,2,5,2,1,2,2,,,,,,,,
21162,2,,99,7,3,2,1,2,,,,,,,,
21163,2,,4,6,5,1,1,2,,,,,,,,
21164,2,,6,11,5,1,1,1,,,,,,,,
21165,2,,4,4,5,1,1,2,,,,,,,,
21166,2,,99,5,3,2,2,1,,,,,,,,
21167,2,,1,11,4,1,1,2,,,,,,,,
21168,3,,99,4,2,2,1,2,,,,,,,,
21169,2,,4,6,5,1,2,2,,,,,,,,
21170,2,,2,8,2,2,1,1,2,,1,2,,2,,2
21171,6,,1,6,1,2,1,2,,,,,,,,
21172,2,,99,6,5,1,1,2,,,,,,,,
21173,4,1,99,4,4,2,1,1,,,,,,,,
21174,2,,3,7,4,1,1,1,,,,,,,,
21175,6,,3,1,1,3,1,2,,,,,,,,
21176,2,,99,5,2,2,1,2,,,,,,,,
21177,3,,6,7,5,1,1,2,,,,,,,,
21178,4,4,99,4,2,2,1,2,,,,,,,,
21179,2,,3,5,5,1,1,2,,,,,,,,
21180,2,,6,7,5,1,1,2,,,,,,,,
21181,4,4,2,4,3,2,1,2,,,,,,,,
21182,2,,1,5,2,2,2,1,,,,,,,,
21183,2,,3,9,5,1,1,2,,,,,,,,
21184,1,,3,7,5,1,2,1,,,,,,,,
21185,2,,6,6,4,1,1,2,,,,,,,,
21186,2,,2,5,3,2,1,2,,,,,,,,
21187,4,1,99,3,1,1,9,2,,,,,,,,
21188,4,4,99,2,1,2,1,2,,,,,,,,
21189,2,,1,8,1,1,1,1,,,,,,,,
21190,2,,2,11,5,1,1,2,,,,,,,,
21191,2,,1,8,5,1,2,2,,,,,,,,
21192,2,,2,6,5,1,2,2,,,,,,,,
21193,2,,3,9,3,1,1,2,,,,,,,,
21194,4,3,2,4,3,2,1,2,,,,,,,,
21195,2,,99,9,1,3,1,2,,,,,,,,
21196,2,,99,6,5,1,1,2,,,,,,,,
21197,4,1,99,4,4,2,1,2,,,,,,,,
21198,3,,2,4,1,2,1,2,2,,2,,,2,,2
21199,2,,4,6,5,1,1,2,,,,,,,,
21200,4,3,2,4,1,2,1,2,,,,,,,,
21201,2,,6,7,5,1,1,2,,,,,,,,
21202,3,,6,6,3,2,1,2,,,,,,,,
21203,2,,3,5,2,1,1,2,2,,1,2,,2,,2
21204,2,,3,6,5,1,1,2,,,,,,,,
21205,3,,6,4,2,2,1,2,,,,,,,,
21206,1,,2,6,1,2,1,2,,,,,,,,
21207,2,,4,5,1,2,1,2,,,,,,,,
21208,1,,99,4,3,2,9,2,2,,2,,,1,2,2
21209,2,,2,6,1,1,1,2,,,,,,,,
21210,2,,4,7,2,2,1,2,,,,,,,,
21211,2,,99,4,2,2,1,2,,,,,,,,
21212,3,,3,4,5,2,1,2,,,,,,,,
21213,2,,1,13,5,1,1,1,,,,,,,,
21214,2,,5,9,3,1,1,1,,,,,,,,
21215,2,,3,9,5,1,1,1,,,,,,,,
21216,2,,4,8,5,1,2,2,,,,,,,,
21217,1,,1,6,4,1,2,2,,,,,,,,
21218,4,4,2,5,3,2,1,2,,,,,,,,
21219,4,4,6,6,1,2,1,2,,,,,,,,
21220,4,7,3,3,3,1,1,1,,,,,,,,
21221,2,,2,6,3,1,1,2,,,,,,,,
21222,4,4,3,4,3,2,1,2,2,,1,2,,2,,1
21223,2,,6,9,1,2,1,2,,,,,,,,
21224,2,,5,3,5,3,1,2,,,,,,,,
21225,4,4,2,4,3,2,1,1,,,,,,,,
21226,2,,99,6,4,1,1,2,1,2,2,,,2,,2
21227,4,7,99,4,5,2,1,2,2,,1,2,,2,,2
21228,5,,2,4,3,1,1,1,,,,,,,,
21229,3,,3,5,4,1,1,2,,,,,,,,
21230,2,,2,5,3,2,1,2,,,,,,,,
21231,2,,2,8,3,1,1,2,,,,,,,,
21232,2,,1,5,3,1,1,2,,,,,,,,
21233,3,,3,5,4,1,1,1,,,,,,,,
21234,4,5,1,5,2,2,1,2,2,,2,,,2,,2
21235,2,,2,5,1,2,1,2,2,,2,,,2,,2
21236,4,3,99,5,2,2,1,2,,,,,,,,
21237,4,5,1,5,1,2,1,2,,,,,,,,
21238,2,,2,7,5,1,1,1,,,,,,,,
21239,4,4,3,4,1,2,1,2,,,,,,,,
21240,3,,3,4,5,2,1,2,,,,,,,,
21241,4,4,99,4,1,2,1,2,,,,,,,,
21242,4,7,1,3,2,2,1,1,,,,,,,,
21243,4,3,99,5,3,2,1,2,,,,,,,,
21244,2,,1,6,2,1,1,2,,,,,,,,
21245,2,,3,6,5,1,1,2,,,,,,,,
21246,2,,1,6,1,1,1,2,,,,,,,,
21247,4,4,3,4,3,1,1,2,,,,,,,,
21248,2,,99,7,5,1,1,2,,,,,,,,
21249,2,,2,6,5,1,1,2,,,,,,,,
21250,4,5,1,5,2,2,1,2,,,,,,,,
21251,2,,1,8,3,1,1,1,2,,2,,,2,,2
21252,1,,1,8,5,1,1,2,,,,,,,,
21253,4,4,3,4,3,2,1,2,,,,,,,,
21254,2,,99,3,2,3,1,2,,,,,,,,
21255,4,5,99,4,2,2,1,2,,,,,,,,
21256,3,,3,6,3,2,1,1,,,,,,,,
21257,3,,2,7,2,1,1,1,,,,,,,,
21258,4,7,99,5,5,2,1,2,,,,,,,,
21259,2,,99,8,5,1,1,2,,,,,,,,
21260,,,,,,,,,,,,,,,,
21261,2,,6,8,3,1,1,1,1,2,1,2,,2,,1
21262,3,,99,5,5,2,1,1,2,,2,,,2,,2
21263,3,,5,6,5,1,1,1,,,,,,,,
21264,2,,6,6,3,1,1,2,,,,,,,,
21265,2,,6,7,5,1,1,2,,,,,,,,
21266,2,,3,7,3,1,1,2,,,,,,,,
21267,4,5,99,4,4,2,1,2,,,,,,,,
