"SEQN","OCD150","OCQ180","OCQ210","OCQ260","OCD270","OCQ670","OCQ380","OCD390G","OCD395"
93705,1,30,1,1,36,5,,2,
93706,4,,,,,,2,4,
93708,4,,,,,,4,1,180
93709,4,,,,,,6,1,360
93711,1,35,,4,24,1,,2,
93712,1,55,,1,2,1,,2,
93713,4,,,,,,3,1,300
93714,2,,1,1,264,3,,2,
93715,4,,,,,,3,1,120
93716,1,40,,4,336,1,,2,
93717,4,,,,,,2,1,10
93718,4,,,,,,6,4,
93721,1,5,2,1,24,5,,1,264
93722,1,40,,1,120,3,,2,
93723,1,40,,1,4,1,,1,180
93726,1,25,2,2,156,5,,1,180
93727,4,,,,,,3,1,420
93728,1,40,,4,372,1,,2,
93729,4,,,,,,6,4,
93730,1,60,,1,120,3,,2,
93731,1,16,2,1,36,5,,2,
93732,4,,,,,,3,1,240
93735,4,,,,,,4,1,240
93738,1,65,,3,84,5,,2,
93740,4,,,,,,6,1,108
93742,4,,,,,,3,3,336
93743,1,53,,1,84,5,,1,156
93746,1,48,,4,24,5,,2,
93750,1,45,,1,288,1,,2,
93752,4,,,,,,3,1,168
93754,4,,,,,,3,1,156
93755,1,40,,1,8,2,,1,48
93756,1,55,,5,204,3,,2,
93757,4,,,,,,6,1,360
93758,4,,,,,,6,1,36
93759,1,60,,5,204,5,,2,
93760,1,25,2,1,17,5,,1,48
93761,1,40,,1,0,2,,1,12
93762,4,,,,,,3,1,180
93763,1,40,,1,120,3,,2,
93765,4,,,,,,7,4,
93766,1,50,,3,72,1,,2,
93767,4,,,,,,1,1,96
93768,1,10,2,5,480,5,,2,
93770,4,,,,,,4,1,120
93772,4,,,,,,4,1,30
93773,3,,,,,,,1,360
93774,4,,,,,,1,1,60
93775,1,55,,1,12,2,,1,216
93776,1,28,2,3,36,1,,2,
93777,1,6,1,2,4,2,,1,444
93778,1,40,,1,24,5,,2,
93780,1,28,2,1,96,5,,1,216
93781,1,40,,1,120,2,,2,
93782,1,40,,1,12,1,,1,36
93783,1,37,,4,18,5,,2,
93785,4,,,,,,3,1,408
93788,4,,,,,,3,1,552
93789,1,45,,1,24,5,,2,
93791,1,20,2,1,2,5,,1,36
93792,4,,,,,,5,1,12
93794,1,35,,1,372,1,,2,
93795,1,36,,5,24,2,,1,540
93796,4,,,,,,3,1,312
93797,1,40,,4,324,1,,2,
93798,1,12,2,4,72,2,,1,360
93799,1,70,,4,216,3,,2,
93800,4,,,,,,7,1,12
93801,1,54,,1,36,1,,1,132
93805,4,,,,,,3,1,480
93806,4,,,,,,2,1,180
93811,1,15,1,1,60,2,,2,
93812,4,,,,,,3,1,240
93813,4,,,,,,1,1,300
93814,1,45,,1,144,5,,2,
93815,4,,,,,,4,1,30
93816,4,,,,,,6,1,600
93817,1,36,,1,24,1,,1,360
93819,4,,,,,,1,1,48
93821,3,,,,,,,4,
93823,3,,,,,,,1,204
93824,1,20,2,5,3,5,,1,180
93825,4,,,,,,3,1,336
93826,4,,,,,,6,1,360
93827,4,,,,,,3,1,60
93829,1,60,,3,180,5,,2,
93830,4,,,,,,3,1,120
93831,1,40,,1,36,1,,2,
93832,1,62,,5,228,5,,2,
93834,4,,,,,,4,1,24
93835,1,56,,1,36,5,,1,48
93837,1,38,,1,96,1,,2,
93839,1,28,2,1,360,1,,2,
93840,1,40,,1,30,1,,2,
93841,1,37,,4,132,1,,1,132
93843,1,24,2,1,168,5,,2,
93845,1,42,,1,2,5,,2,
93846,1,25,2,1,1,1,,1,60
93847,4,,,,,,7,1,12
93848,3,,,,,,,1,408
93849,1,26,1,1,120,5,,2,
93850,4,,,,,,3,1,240
93851,4,,,,,,3,1,360
93852,1,50,,1,3,2,,1,120
93853,4,,,,,,6,1,60
93855,4,,,,,,3,1,360
93856,4,,,,,,3,1,420
93858,4,,,,,,2,4,
93859,4,,,,,,3,1,240
93860,1,55,,1,36,2,,1,144
93861,4,,,,,,3,1,276
93863,1,80,,5,60,5,,2,
93866,3,,,,,,,3,42
93868,4,,,,,,1,1,60
93869,4,,,,,,3,1,240
93870,1,36,,99,6,2,,1,18
93871,4,,,,,,7,1,96
93873,4,,,,,,2,1,5
93875,1,30,1,3,48,5,,1,120
93877,1,30,1,5,20,1,,2,
93878,4,,,,,,6,1,216
93882,1,80,,5,120,5,,1,48
93883,3,,,,,,,1,168
93884,1,40,,1,3,1,,2,
93886,4,,,,,,3,1,600
93887,4,,,,,,6,1,204
93888,4,,,,,,1,1,36
93890,3,,,,,,,1,24
93891,4,,,,,,1,4,
93892,4,,,,,,3,1,180
93893,2,,1,5,360,1,,2,
93894,4,,,,,,4,1,99999
93895,4,,,,,,1,1,120
93899,4,,,,,,3,1,84
93900,1,38,,1,120,3,,2,
93902,4,,,,,,7,1,8
93903,4,,,,,,3,1,144
93906,1,40,,4,216,3,,2,
93907,1,40,,1,9,1,,2,
93908,1,35,,1,4,5,,2,
93909,1,40,,1,36,1,,2,
93910,4,,,,,,3,3,240
