"SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ244","IND247"
41881,1,1,1,2,2,2,2,2,2,12,5,3,,
41882,1,2,2,2,2,2,2,2,1,9,2.11,3,1,
41883,1,2,1,2,2,2,2,1,2,8,2.73,3,,
41884,1,2,2,2,2,2,2,2,1,12,2.4,3,,
41885,1,2,2,2,2,2,2,1,1,11,4.65,3,,
41886,1,1,2,2,2,1,2,2,1,6,1.16,1,2,1
41887,2,2,2,2,2,1,2,2,2,4,1.05,1,2,99
41888,2,2,1,2,2,2,2,1,2,2,0.82,1,1,
41889,2,1,1,2,1,2,2,2,2,8,1.69,2,2,2
41890,1,2,2,2,2,2,2,2,1,3,0.58,1,2,1
41891,1,2,1,2,2,1,2,2,1,3,0.63,1,2,1
41892,2,2,1,1,2,2,2,1,1,77,,7,7,
41893,1,1,2,2,1,2,2,2,2,99,,3,9,
41894,1,2,2,2,2,2,2,2,2,5,0.87,1,2,1
41895,1,2,2,2,2,2,2,2,2,4,0.91,1,2,1
41896,1,1,2,2,2,2,2,2,1,4,0.73,1,2,1
41897,1,2,1,2,2,2,2,1,2,4,0.85,1,1,
41898,1,2,2,2,1,2,2,1,2,11,5,3,,
41899,1,2,2,2,2,2,2,2,2,77,,2,2,1
41900,1,2,2,2,2,2,1,2,2,1,0.13,1,1,
41901,1,2,1,2,2,2,2,2,2,5,1.54,2,2,1
41902,1,2,2,2,2,2,2,2,1,7,1.74,2,2,1
41903,1,2,2,2,2,2,2,2,2,10,2.04,3,,
41904,1,2,1,1,1,2,2,1,2,9,4.11,3,,
41905,1,2,2,2,2,2,2,2,2,10,3.4,3,,
41906,2,2,1,2,2,2,2,2,2,2,0.31,1,2,1
41907,1,2,2,2,2,2,1,2,1,77,,1,2,1
41908,1,2,2,2,2,2,2,2,2,3,0.96,1,,
41909,1,2,1,2,2,2,2,2,2,3,0.7,1,2,1
41910,1,2,2,2,2,2,2,2,2,6,1.09,1,2,1
41911,1,2,2,2,2,2,2,2,2,6,2.69,3,2,5
41912,1,2,2,2,2,2,2,2,2,8,4.62,3,,
41913,1,2,2,2,1,2,2,1,1,12,5,3,,
41914,1,2,2,2,2,2,2,2,2,2,0.25,1,2,1
41915,1,1,2,2,1,2,2,1,1,8,3.77,3,,
41916,1,2,1,2,2,2,2,2,2,6,1.42,2,2,1
41917,1,2,2,2,2,2,2,2,2,7,1.69,2,2,1
41918,1,2,2,2,2,2,2,2,2,4,0.87,1,2,1
41919,1,2,2,2,2,2,2,1,2,9,4.38,3,,
41920,2,2,2,2,2,2,1,2,1,3,0.7,1,2,1
41921,2,2,2,2,2,2,2,2,2,1,0,1,2,1
41922,1,2,2,2,2,2,2,2,2,11,5,3,,
41923,1,1,2,2,2,2,2,1,2,8,4.7,3,,
41924,1,2,2,2,2,2,2,2,2,77,,3,,
41925,1,2,2,2,2,2,2,2,2,11,5,3,,
41926,1,1,2,2,2,2,2,2,2,12,5,3,,
41927,1,1,2,2,2,2,2,2,1,8,3.43,3,,
41928,1,2,2,2,2,2,2,2,2,77,,1,2,1
41929,1,2,2,2,2,2,2,2,2,3,0.92,1,,
41930,1,2,2,2,2,2,2,1,2,4,1.02,1,2,2
41931,1,2,2,2,2,2,2,1,2,2,0.53,1,1,
41932,1,1,2,2,2,2,2,2,2,6,0.96,1,2,1
41933,,,,,,,,,,,,,,
41934,1,2,1,2,2,1,2,2,2,3,0.88,1,2,1
41935,1,2,2,2,2,2,2,2,2,8,2.26,3,,
41936,1,1,2,2,2,2,2,2,2,,,,,
41937,1,2,2,2,2,2,2,1,2,7,1.3,1,,
41938,1,2,2,2,2,2,2,1,2,12,5,3,,
41939,1,2,2,2,2,2,2,2,2,10,3.49,3,,
41940,1,2,2,2,2,2,2,2,1,9,2.42,3,,
41941,1,2,2,2,2,2,2,1,2,11,4.07,3,,
41942,1,1,2,2,2,2,2,2,2,11,3.96,3,,
41943,1,2,2,2,2,2,2,2,2,10,2.66,3,,
41944,1,2,2,2,2,2,2,2,2,1,0,1,2,1
41945,1,2,2,2,2,2,1,2,2,77,,3,2,1
41946,1,2,1,2,2,2,2,2,2,4,1.85,2,1,
41947,2,2,1,1,1,1,2,2,2,3,0.7,1,2,1
41948,1,2,2,1,2,1,2,2,2,12,5,3,2,1
41949,1,2,2,2,2,2,2,2,2,7,1.98,3,,
41950,2,1,1,2,2,2,2,2,1,3,0.51,1,2,1
41951,1,2,2,2,2,2,2,2,2,2,0.12,1,2,1
41952,2,2,1,2,2,2,2,1,2,12,5,3,,
41953,2,2,1,2,1,2,2,2,2,4,1.29,1,,
41954,1,2,2,2,1,2,2,2,1,10,3.21,3,,
41955,1,2,2,2,2,2,2,2,2,7,1.27,1,2,1
