"SEQN","FSD032A","FSD032B","FSD032C","FSD032D","FSD032E","FSD032F","FSD041","FSD052","FSD061","FSD071","FSD081","FSD092","FSD102","FSD111","FSD122","FSD132","FSD141","FSD146","FSDHH","FSDAD","FSDCH","FSD151","FSD401","FSD411","FSD421","FSD431","FSQ440","FSD451","FSQ170","FSD170N","FSD180","FSD190","FSD200","FSQ210","FSQ220","FSQ162","FSD650","FSD660","FSD670"
32322,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,2,1,12,1,225,,1,1,1,1
32323,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,1,1,2,48
32324,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,7,,,,,,,2,,,
32325,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32326,1,1,3,3,3,3,2,,1,2,2,2,,2,1,3,2,2,3,3,2,1,3,3,3,3,2,,1,3,1,12,1,350,,2,,,
32327,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32328,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32329,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32330,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32331,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32332,2,2,2,3,3,3,2,,2,2,2,,,,,,,,3,3,1,2,3,3,3,3,,,2,0,2,,,,,1,1,,
32333,2,3,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,3,3,3,3,2,,2,0,2,,,,,2,,,
32334,3,3,3,2,3,3,2,,2,2,2,,,,,,,,2,1,2,2,3,3,3,3,2,,2,0,2,,,,,2,,,
32335,2,3,3,,,,1,2,2,2,1,2,,,,,,,3,3,,2,,,,,,,2,0,2,,,,,2,,,
32336,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,1,1,1,4
32337,1,1,1,1,3,3,1,1,1,1,2,2,,2,2,,2,2,4,4,2,1,3,3,3,3,,,2,0,2,,,,,1,,,
32338,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,1,,,
32339,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32340,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
32341,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,1,2,,,,363,1,1,1,11
32342,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
32343,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32344,1,2,3,2,3,2,2,,1,2,2,2,,2,2,,2,2,3,3,3,2,,,,,,,2,0,2,,,,,1,,,
32345,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
32346,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32347,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,3,1,12,1,399,,1,1,1,12
32348,1,1,1,3,3,3,2,,2,2,2,,,,,,,,3,3,1,2,3,3,3,3,,,2,0,2,,,,,1,2,,
32349,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,4,1,12,1,262,,1,,,
32350,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32351,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
32352,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32353,2,2,2,2,3,3,2,,2,2,2,,,,,,,,3,3,2,2,1,3,1,3,,2,9,,,,,,,1,1,,
32354,2,2,3,2,3,3,2,,1,2,2,2,,2,2,,2,2,3,3,2,1,3,3,2,3,,2,1,1,2,,,426,,1,,,
32355,2,2,2,,,,2,,2,2,2,,,,,,,,3,3,,2,3,2,2,2,2,2,1,1,1,12,1,10,,,,,
32356,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32357,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32358,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
32359,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32360,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
32361,2,2,1,,,,2,,2,2,2,,,,,,,,3,3,,1,2,3,3,3,2,2,2,0,2,,,,,2,,,
32362,2,2,2,2,2,2,2,,2,2,2,2,,2,2,,2,2,3,3,3,2,3,3,3,3,2,,1,1,1,3,2,,157,2,,,
32363,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32364,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32365,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,1,2,,,,200,1,1,1,24
32366,1,1,1,1,1,1,1,1,1,1,1,2,,1,2,,2,2,4,4,3,1,3,3,3,3,,,2,0,2,,,,,1,1,1,24
32367,2,2,2,2,2,2,1,2,1,2,2,2,,1,2,,2,2,4,4,3,1,2,3,2,3,,2,1,1,2,,,,600,1,,,
32368,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32369,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32370,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32371,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
32372,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32373,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,1,,,
32374,2,3,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,3,3,3,3,,,2,0,2,,,,,1,1,1,
32375,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32376,2,2,2,2,2,2,2,,2,2,2,2,,2,2,,2,2,3,3,3,2,3,3,3,3,,,2,0,2,,,,,1,2,,
32377,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32378,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,4,2,,,305,,2,,,
32379,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,1,,,
32380,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,1,2,,,130,,2,,,
32381,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32382,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
32383,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32384,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32385,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32386,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
32387,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
32388,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32389,2,2,2,,,,2,,2,2,2,,,,,,,,3,3,,2,3,3,3,3,2,,2,0,2,,,,,,,,
32390,2,2,2,3,3,3,2,,1,2,2,2,,2,2,,2,2,3,3,1,2,3,3,3,3,,,2,0,2,,,,,2,,,
32391,3,3,2,3,3,3,2,,2,2,1,2,,2,2,,2,2,2,2,1,2,2,2,3,3,1,2,1,1,2,,,200,,1,,,
32392,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32393,2,2,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,2,3,3,3,2,2,1,1,1,4,1,150,,1,1,1,24
32394,2,2,2,,,,2,,2,2,2,,,,,,,,3,3,,2,3,3,3,3,2,,2,0,2,,,,,2,,,
32395,1,2,3,3,3,3,2,,1,1,2,2,,2,2,,2,2,3,3,1,2,3,3,3,3,2,,2,0,2,,,,,2,,,
32396,3,3,3,2,3,3,2,,2,2,2,,,,,,,,2,1,2,2,2,2,1,3,2,2,2,0,2,,,,,2,,,
32397,2,2,2,3,3,3,2,,2,2,2,,,,,,,,3,3,1,2,2,2,2,2,,2,2,0,2,,,,,2,2,,
32398,1,1,3,3,3,3,1,3,2,2,2,2,,2,2,,2,2,3,3,1,1,3,3,3,3,,,1,1,2,,,287,,2,2,,
32399,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32400,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32401,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32402,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,1,2,,,99999,,1,1,1,24
32403,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32404,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32405,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
32406,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
32407,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32408,2,3,2,,,,2,,2,2,2,,,,,,,,2,2,,2,3,3,3,3,2,,2,0,2,,,,,,,,
32409,2,3,2,2,2,2,2,,2,2,2,2,,2,2,,2,2,3,2,3,2,3,3,3,3,2,,2,0,2,,,,,1,1,1,16
32410,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,1,1,1,4
32411,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32412,3,3,3,3,2,3,2,,2,2,2,,,,,,,,2,1,2,2,3,3,3,3,,,2,0,2,,,,,1,1,1,6
32413,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,1,2,6
32414,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32415,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
32416,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32417,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32418,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,1,2,,
32419,1,2,2,2,3,3,2,,1,2,2,2,,2,2,,2,2,3,3,2,2,1,3,2,3,2,2,2,0,2,,,,,2,,,
32420,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32421,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
32422,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
32423,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,1,1,1,2
32424,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32425,3,3,2,2,3,3,2,,2,2,2,,,,,,,,2,2,2,2,3,3,3,3,,,2,0,2,,,,,2,1,1,48
32426,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
32427,2,2,2,2,2,3,2,,2,2,2,,,,,,,,3,3,3,2,2,3,3,3,2,2,2,0,2,,,,,2,,,
32428,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32429,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
32430,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32431,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,4,1,12,1,217,,2,,,
32432,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,1,1,1,12
32433,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32434,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32435,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
32436,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
32437,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32438,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32439,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32440,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32441,2,2,2,2,2,3,1,1,1,1,2,2,,2,2,,2,2,4,4,3,2,2,2,2,2,2,2,2,0,2,,,,,2,,,
32442,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32443,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32444,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32445,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32446,2,1,1,1,2,3,2,,2,1,2,2,,2,2,,2,1,3,3,3,1,3,3,3,3,,,1,3,1,5,2,,0,1,1,2,7
32447,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32448,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32449,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,1,1,1,2
32450,2,3,2,2,2,2,2,,2,2,2,2,,2,2,,2,2,3,2,3,2,3,2,3,3,,2,2,0,2,,,,,1,1,1,1
32451,2,2,2,3,3,3,2,,2,2,2,,,,,,,,3,3,1,2,3,3,3,3,,,2,0,2,,,,,2,2,,
32452,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32453,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32454,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32455,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32456,3,3,3,3,2,3,2,,1,2,2,2,,2,2,,2,2,2,2,2,1,3,3,3,2,2,2,2,0,2,,,,,2,,,
32457,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,1,2,,,99999,,1,2,,
32458,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32459,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32460,3,2,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,1,2,2,2,9,1,2,0,2,,,,,2,,,
32461,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32462,1,2,3,3,3,3,1,3,2,2,2,1,2,1,2,,2,2,3,3,2,2,3,3,2,3,,2,1,1,2,,,495,,2,,,
32463,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
32464,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32465,3,3,2,2,2,3,2,,2,2,2,,,,,,,,3,2,3,2,3,3,3,3,,,2,0,2,,,,,2,,,
32466,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
32467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32468,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,1,2,,,,220,2,2,,
32469,1,2,2,1,2,2,1,2,1,2,2,2,,2,2,,2,2,4,4,3,2,2,3,2,2,,2,2,0,2,,,,,1,,,
32470,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32471,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
32472,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,6,1,,,12,,2,,,
32473,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,1,2,,,364,,1,1,1,2
32474,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32475,2,2,1,2,2,2,1,1,1,1,1,1,2,1,1,3,2,2,4,4,4,1,3,3,3,3,,2,1,6,1,12,1,881,,1,,,
32476,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,2,1,12,1,270,,2,,,
32477,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,1,1,12,1,223,,2,,,
32478,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
32479,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32480,2,2,2,2,2,2,2,,2,2,2,2,,2,2,,2,2,3,3,3,2,2,3,3,3,2,2,2,0,2,,,,,2,,,
32481,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32482,1,2,2,2,2,3,2,,2,2,2,,,,,,,,3,3,3,2,,,,,,,2,0,2,,,,,2,,,
32483,2,2,2,2,2,2,2,,2,2,2,2,,2,2,,2,2,3,3,3,2,2,2,2,3,2,1,1,1,2,,,100,,1,,,
32484,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32485,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32486,2,2,2,2,2,3,2,,2,2,2,,,,,,,,3,3,3,2,3,3,3,3,,,2,0,2,,,,,1,1,1,4
32487,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,3,1,6,1,355,,1,1,,
32488,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
32489,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32490,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,1,,,
32491,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32492,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
32493,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,3,1,12,1,12,,2,,,
32494,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32495,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32496,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
32497,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32498,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32499,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32500,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32501,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32502,2,2,2,2,3,3,1,1,2,2,2,2,,2,2,,2,2,3,3,2,1,3,3,3,3,2,,1,1,1,5,2,,75,1,,,
32503,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
32504,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
32505,1,1,3,3,3,3,1,3,2,2,2,2,,2,2,,2,2,3,3,1,1,3,3,3,3,2,,1,1,1,12,1,287,,2,2,,
32506,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
32507,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,1,,,,,,,2,0,2,,,,,1,,,
32508,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,5,1,6,1,0,,2,,,
32509,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
32510,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
32511,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,3,3,3,3,,,2,0,2,,,,,1,1,1,1
32513,3,2,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,,,,,,,2,0,2,,,,,2,1,1,1
32514,2,3,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,2,2,3,3,2,2,2,0,2,,,,,1,,,
32515,2,2,3,2,2,3,1,2,2,2,2,2,,2,2,,2,2,3,3,3,2,3,3,3,3,,2,2,0,2,,,,,2,,,
32516,1,1,1,1,1,1,2,,2,2,2,2,,2,2,,2,2,3,3,3,2,2,3,3,3,,2,1,7,1,12,1,376,,1,,,
32517,2,2,3,,,,2,,2,2,2,,,,,,,,2,2,,2,3,3,3,3,2,,2,0,2,,,,,,,,
32518,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32519,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32520,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,1,2,,,,220,2,,,
32521,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
32522,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32523,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32524,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,,,,
32525,2,1,2,2,2,3,2,,2,2,2,,,,,,,,3,3,3,1,3,3,3,3,,,1,3,1,8,1,368,,1,1,1,8
32526,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
32527,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32528,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32529,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,4,1,12,1,427,,2,,,
32530,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32531,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
32532,2,2,2,2,2,2,1,2,1,2,2,2,,2,2,,2,2,4,4,3,2,3,3,2,3,,2,2,0,2,,,,,2,,,
32533,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
32534,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,3,1,12,1,176,,2,,,
32535,2,3,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,,,,,,,1,5,1,12,1,498,,1,1,1,48
32536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,48
32537,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32538,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32539,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,4,1,12,1,508,,2,,,
32540,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,1,1,1,12,1,100,,,,,
32541,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32542,1,1,3,1,1,3,2,,2,2,2,,,,,,,,3,2,3,2,3,3,3,3,,,1,2,2,,,599,,1,1,,
32543,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,2,,
32544,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32545,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,2,,
32546,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32547,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,1,1,1,6
32548,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,,,,
32549,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32550,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32551,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32552,2,2,3,3,3,3,2,,2,2,2,,,,,,,,2,2,1,2,3,3,3,3,2,,2,0,2,,,,,1,1,1,5
32553,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
32554,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,1,2,48
32555,1,1,2,2,2,3,1,1,1,1,1,1,2,2,1,3,2,2,4,4,3,2,3,2,3,3,,2,1,2,1,12,1,390,,1,,,
32556,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,0,2,,,,,2,,,
32557,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,1,1,2,,,600,,1,2,,
32558,3,3,3,3,3,,,,,,,,,,,,,,1,1,1,2,,,,,,,2,0,2,,,,,2,,,
