"SEQN","FSD032A","FSD032B","FSD032C","FSD041","FSD052","FSD061","FSD071","FSD081","FSD092","FSD102","FSD032D","FSD032E","FSD032F","FSD111","FSD122","FSD132","FSD141","FSD146","FSDHH","FSDAD","FSDCH","FSD151","FSD401","FSD421","FSD431","FSD411","FSD440","FSD451","FSQ165","FSQ171","FSD225","FSQ235","FSQ162","FSD650ZC","FSD660ZC","FSD675","FSD680","FSD670ZC","FSQ690","FSQ695","FSD650ZW","FSD660ZW","FSD670ZW"
54538,2,2,2,2,,2,1,2,2,,3,3,3,,,,,,3,3,1,2,3,3,3,3,2,,2,,,,1,,,,,,,,,,
54539,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54540,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54541,2,2,2,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,3,3,3,3,,,2,,,,1,1,2,1,1,36,1,1,,,
54542,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54543,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,2,,,2,,,2,2,0,2,,,,
54544,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54545,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54546,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54547,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,3,3,3,3,,,2,,,,1,,,1,1,60,1,6,,,
54548,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,3,3,3,3,2,,2,,,,1,,,,,,,,,,
54549,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,2,2,0,2,,,,
54550,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54551,1,1,2,1,2,1,2,2,2,,,,,,,,,,4,4,,2,3,3,3,3,2,,2,,,,2,,,,,,,,,,
54552,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,1,,,1,2,12,1,2,,,
54553,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54554,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54555,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54556,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,1,,,,,,,,1,1,7
54557,2,2,3,2,,1,1,1,1,2,3,3,3,,,,,,3,4,1,2,2,2,3,3,2,2,1,1,19,163,2,,,,,,,,,,
54558,9,1,1,2,,2,2,2,,,,,,,,,,,2,2,,2,2,3,3,3,2,2,2,,,,2,,,,,,,,,,
54559,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,1,,,1,2,6,1,4,,,
54560,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54561,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54562,2,2,2,2,,2,2,2,,,2,3,3,2,2,,2,2,3,3,2,2,3,3,3,3,,,2,,,,2,,,1,1,24,1,1,,,
54563,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,1,2,,,,,,,,,,,,,
54564,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54565,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,2,,,2,,,,,,,,,,
54566,2,2,2,1,2,2,2,2,2,,,,,,,,,,3,3,,2,3,3,3,3,2,,2,,,,,,,,,,,,,,
54567,2,2,3,1,2,1,1,1,2,,,,,,,,,,4,4,,1,3,3,3,3,2,,2,,,,2,,,,,,,,,,
54568,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,1,55555,15,1,1,1,1,1,24,1,5,,,
54569,3,3,2,2,,2,2,2,,,,,,,,,,,2,2,,2,3,3,3,3,2,,2,,,,,,,,,,,,,,
54570,2,3,2,2,,2,2,2,,,,,,,,,,,2,2,,2,3,3,3,3,2,,1,2,,,,,,,,,,,,,
54571,2,2,2,1,2,1,2,2,2,,3,3,3,,,,,,3,4,1,1,3,3,3,3,,,2,,,,2,,,,,,,,,,
54572,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,1,6,524,2,,,,,,,,,,
54573,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54574,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54575,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54576,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,2,1,3,2,,,,
54577,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54578,1,1,3,1,2,2,2,2,2,,,,,,,,,,3,3,,2,,,,,,,2,,,,,,,,,,,,,,
54579,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,1,62,300,2,1,2,1,1,48,1,3,,,
54580,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54581,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,3,3,3,3,2,,2,,,,1,,,,,,,,,,
54582,2,2,2,2,,1,2,2,2,,2,2,2,1,2,,2,2,4,3,3,2,2,2,2,3,,2,1,1,1,280,2,1,2,1,1,60,1,3,,,
54583,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54584,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54585,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,1,1,31,175,1,,,,,,,,,,
54586,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54587,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54588,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,2,2,0,2,,,,
54589,3,3,3,,,,,,,,,,,,,,,,1,1,,1,,,,,,,2,,,,,,,,,,,,,,
54590,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,2,2,0,2,,,,
54591,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54592,2,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,3,3,3,3,,,1,1,51,420,2,,,,,,,,,,
54593,2,2,2,2,,2,2,2,,,3,3,3,,,,,,3,3,1,1,,,,,,,2,,,,1,1,1,1,1,12,1,8,,,
54594,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54595,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,,,,,,,,,,,
54596,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,2,0,2,,,,
54597,2,2,1,1,2,1,1,2,2,,1,2,2,2,2,,2,2,4,4,3,2,3,3,3,3,,,1,1,259,154,1,,,1,1,60,1,2,,,
54598,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,1,,,,,,,2,,,,2,,,,,,,,,,
54599,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54600,1,3,3,1,3,2,1,2,2,,,,,,,,,,3,3,,2,3,2,2,3,2,2,2,,,,2,,,,,,,,,,
54601,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54602,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,2,0,2,,,,
54603,2,2,2,2,,1,2,2,2,,3,3,3,,,,,,3,3,1,2,3,3,3,3,2,,1,1,31,230,2,,,,,,,,,,
54604,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,3,3,3,3,2,,1,1,17,267,2,,,,,,,,,,
54605,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,1,33,738,1,,,1,1,60,1,1,,,
54606,1,1,1,2,,1,1,2,2,,3,3,3,,,,,,3,3,1,2,3,3,3,3,,,2,,,,1,1,1,1,1,24,2,,,,
54607,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54608,2,2,2,1,1,1,1,2,2,,2,2,3,2,2,,2,2,4,4,3,2,3,3,3,3,,,1,1,9,320,2,2,,1,2,12,1,2,,,
54609,3,2,2,2,,2,2,2,,,2,3,3,2,2,,2,2,3,2,2,2,3,3,3,3,,,1,1,50,400,9,1,2,1,2,6,2,,,,
54610,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54611,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54612,2,2,1,1,2,1,2,9,2,,,,,,,,,,4,4,,2,3,3,3,2,2,2,2,,,,,,,,,,,,,,
54613,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,1,1,8,1000,2,,,,,,,,,,
54614,1,1,1,1,2,1,2,2,2,,2,2,3,2,2,,2,2,4,4,3,2,3,3,3,3,,,2,,,,2,,,2,2,0,2,,,,
54615,3,3,3,,,,,,,,,,,,,,,,1,1,,1,,,,,,,1,1,19,179,2,,,,,,,,,,
54616,1,1,1,1,1,1,2,2,2,,,,,,,,,,4,4,,2,3,3,3,3,2,,2,,,,2,,,,,,,,,,
54617,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,2,0,2,,,,
54618,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54619,3,3,3,,,,,,,,2,3,3,2,2,,2,2,2,1,2,2,3,3,3,3,2,,1,2,,,2,,,,,,,,,,
54620,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54621,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54622,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54623,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54624,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54625,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,1,,,1,1,60,2,,,,
54626,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,1,1,6,400,2,,,,,,,,,,
54627,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,1,82,250,1,,,,,,,,,,
54628,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54629,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54630,1,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,3,3,3,3,2,,2,,,,1,,,,,,,,1,1,3
54631,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54632,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54633,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54634,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54635,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,1,7,537,1,1,1,1,1,12,1,3,,,
54636,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54637,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54638,3,3,3,,,,,,,,,,,,,,,,1,1,,1,,,,,,,2,,,,,,,,,,,,,,
54639,3,3,3,,,,,,,,1,3,3,2,2,,2,2,2,1,2,2,3,3,3,3,2,,1,1,0,82,2,,,,,,,,,,
54640,2,3,3,1,1,1,1,1,1,1,3,3,3,,,,,,4,4,1,2,,,,,,,1,1,25,300,1,,,,,,,,1,1,17
54641,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54642,1,1,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,3,3,3,3,2,,1,1,23,468,2,,,,,,,,,,
54643,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54644,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,2,,
54645,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54646,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,1,1,51,328,,,,,,,,,,,
54647,1,2,2,1,3,1,1,2,2,,2,3,3,2,2,,1,2,4,4,3,2,3,3,2,2,2,2,1,2,,,2,,,,,,,,,,
54648,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54649,2,2,2,2,,2,2,2,,,2,3,3,2,2,,2,2,3,3,2,2,3,3,3,3,2,,2,,,,2,,,,,,,,,,
54650,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54651,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54652,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54653,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,2,0,2,,,,
54654,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54655,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,1,7,762,1,1,1,1,,9,1,2,,,
54656,2,2,2,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,3,3,3,3,,,1,1,37,200,2,,,,,,,,,,
54657,1,2,1,2,,2,2,2,,,2,3,3,2,2,,2,2,3,3,2,2,3,3,3,3,,,2,,,,1,1,1,1,,7,1,2,,,
54658,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,2,0,2,,,,
54659,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54660,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54661,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54662,2,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,2,3,3,3,2,2,1,1,10,90,2,,,,,,,,,,
54663,1,2,2,2,,2,2,2,,,,,,,,,,,3,3,,2,3,3,3,3,2,,1,2,,,,,,,,,,,,,
54664,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,1,55555,99999,1,1,1,1,1,12,1,2,,,
54665,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54666,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54667,1,1,1,1,1,1,1,2,1,1,1,1,3,1,2,,2,2,4,4,3,2,3,3,3,3,,,1,1,16,200,2,,,,,,,,,,
54668,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54669,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54670,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54671,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,1,1,1,1,24,1,3,,,
54672,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,2,0,2,,,,
54673,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54674,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,2,0,2,,,,
54675,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54676,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54677,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,2,0,2,,,,
54678,2,1,3,1,2,1,1,1,1,2,1,2,2,1,1,2,1,1,4,4,4,2,2,2,2,3,,1,2,,,,2,,,,,,,,,,
54679,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54680,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54681,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,,0,2,,,,
54682,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54683,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54684,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,1,2,2,1,2,,,
54685,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54686,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54687,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,1,1,60,1,3,,,
54688,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,2,,,2,,,,,,,,,,
54689,1,2,2,1,2,1,2,1,2,,,,,,,,,,4,4,,2,3,3,3,3,2,,2,,,,2,,,,,,,,,,
54690,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,2,0,2,,,,
54691,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,1,22,502,1,1,1,1,,7,1,1,,,
54692,1,1,1,1,2,1,1,2,2,,,,,,,,,,4,4,,2,3,3,3,3,2,,2,,,,2,,,,,,,,,,
54693,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,3,3,3,3,,,1,1,29,197,2,,,1,1,48,1,6,,,
54694,2,2,2,1,3,1,2,2,2,,3,3,3,,,,,,3,3,1,2,3,3,3,3,,,1,1,6,495,1,1,1,1,1,15,1,3,,,
54695,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,1,1,36,1,99,,,
54696,1,1,1,1,1,1,2,2,2,,3,3,3,,,,,,3,4,1,2,2,2,3,2,,2,2,,,,1,1,1,1,,11,1,3,,,
54697,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,1,15,480,1,,,1,1,60,1,4,,,
54698,3,3,3,,,,,,,,,,,,,,,,1,1,,1,,,,,,,1,1,5,14,,,,,,,,,,,
54699,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,1,25,384,1,1,1,1,1,24,1,2,,,
54700,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,3,3,3,3,2,,2,,,,2,,,,,,,,,,
54701,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,2,,,2,,,,,,,,,,
54702,2,2,2,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,3,3,3,3,2,,1,1,50,279,2,,,,,,,,,,
54703,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54704,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,60,1,1,,,
54706,3,1,1,1,1,1,2,2,2,,1,3,3,2,2,,2,2,3,3,2,2,3,3,3,3,,,2,,,,2,,,,,,,,,,
54707,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,1,2,,,,,,,,,,,,,
54708,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54709,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54710,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54711,3,3,2,2,,2,2,2,,,,,,,,,,,2,2,,2,3,3,3,3,2,,2,,,,,,,,,,,,,,
54712,2,2,2,2,,2,2,2,,,3,2,3,2,2,,2,2,3,3,2,2,,,,,,,1,1,0,450,2,,,1,1,48,1,3,,,
54713,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54714,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,2,0,1,99,,,
54715,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54716,1,2,2,1,3,1,2,2,2,,3,3,3,,,,,,3,3,1,1,2,2,3,3,2,2,1,2,,,1,,,,,,,,,,
54717,2,1,1,1,2,1,2,2,2,,3,3,3,,,,,,3,4,1,1,3,3,3,3,2,,2,,,,2,,,,,,,,,,
54718,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,1,,,,,,,1,1,26,302,2,,,1,2,12,1,7,,,
54719,1,2,2,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,3,3,3,3,2,,2,,,,2,,,,,,,,,,
54720,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54721,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54722,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,1,6,297,2,,,,,,,,,,
54723,2,2,2,2,,2,2,2,,,2,2,3,2,2,,2,2,3,3,3,2,3,3,3,3,,,1,1,9,266,1,1,1,2,1,18,1,2,,,
54724,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,2,0,2,,,,
54725,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54726,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,3,3,3,3,,,2,,,,2,,,,,,,,,,
54727,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,,0,2,,,,
54728,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54729,2,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,1,3,3,3,3,,,1,1,5,200,1,1,1,1,1,48,1,3,,,
54730,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54731,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54732,1,1,1,1,1,1,1,1,2,,,,,,,,,,4,4,,2,2,2,2,2,2,2,2,,,,2,,,,,,,,,,
54733,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,1,44,474,2,,,,,,,,,,
54734,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54735,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,,,,1,2,12,2,,,,
54736,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,1,3,3,3,3,2,,1,1,55555,99999,,,,,,,,,,,
54737,1,1,3,1,1,1,2,2,2,,3,3,3,,,,,,3,3,1,2,3,3,3,3,2,,2,,,,2,,,,,,,,,,
54738,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54739,2,2,1,1,1,1,1,2,1,1,,,,,,,,,4,4,,2,3,3,3,3,2,,2,,,,,,,,,,,,,,
54740,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54741,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,1,3,526,1,,,,,,,,,,
54742,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,2,0,2,,,,
54743,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54744,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54745,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
54746,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54747,2,3,3,2,,2,2,2,,,,,,,,,,,2,2,,2,3,3,3,3,2,,2,,,,,,,,,,,,,,
54748,2,3,2,2,,2,2,2,,,,,,,,,,,2,2,,2,3,3,3,3,2,,2,,,,2,,,,,,,,,,
54749,2,2,3,2,,2,2,2,,,2,3,3,2,2,,2,2,3,2,2,2,3,3,3,3,,,1,1,3,240,1,1,1,1,1,48,1,3,,,
54750,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
54751,2,2,2,1,1,2,2,2,2,,3,3,3,,,,,,3,3,1,2,3,3,3,3,,,1,1,15,58,1,1,1,1,1,36,1,4,,,
54752,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54753,2,2,3,2,,2,2,2,,,2,3,3,2,2,,2,2,3,2,2,2,3,3,3,3,,,1,1,9,368,2,,,,,,,,,,
54754,3,3,3,,,,,,,,,,,,,,,,1,1,,1,,,,,,,2,,,,,,,,,,,,,,
54755,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,2,0,2,,,,
54756,2,3,2,2,,1,1,2,2,,3,3,3,,,,,,3,3,1,1,,,,,,,2,,,,2,,,,,,,,,,
54757,2,2,3,2,,2,2,2,,,,,,,,,,,2,2,,2,3,3,3,3,2,,2,,,,,,,,,,,,,,
54758,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
54759,1,1,1,1,2,1,1,2,2,,,,,,,,,,4,4,,2,2,3,3,3,2,2,2,,,,2,,,,,,,,,,
54760,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
