"SEQN","FSD032A","FSD032B","FSD032C","FSD041","FSD052","FSD061","FSD071","FSD081","FSD092","FSD102","FSD032D","FSD032E","FSD032F","FSD111","FSD122","FSD132","FSD141","FSD146","FSDHH","FSDAD","FSDCH","FSD151","FSD401","FSD421","FSD431","FSD411","FSD440","FSD451","FSQ165","FSQ171","FSD225","FSQ235","FSQ162","FSD650ZC","FSD660ZC","FSD675","FSD680","FSD670ZC","FSQ690","FSQ695","FSD650ZW","FSD660ZW","FSD670ZW"
51669,2,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,2,2,3,2,1,2,1,1,14,200,1,,,,,,,,,,
51670,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
51671,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,3,3,3,3,,,1,1,20,400,2,,,1,1,12,1,1,,,
51672,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,1,,,,,,,,,,
51673,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,1,4,560,2,,,,,,,,,,
51674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51675,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
51676,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
51677,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
51678,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
51679,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,1,55555,99999,2,,,,,,,,,,
51680,2,2,2,1,1,1,1,1,2,,,,,,,,,,4,4,,1,2,2,2,3,2,2,2,,,,,,,,,,,,,,
51681,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,1,98,350,1,2,,1,2,12,1,1,,,
51682,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,2,2,0,9,,,,
51683,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,2,,
