"SEQN","FSD160","FSD170N","FSD180","FSD190","FSD200","FSQ400","FSQ410","FSQ420","FSQ430","FSQ440","FSD450","FSQ460","FSQ470","FSQ480","FSQ490","FSQ500","FSQ510","FSD520","FSD655","FSD660C","FSD665","FSQ650","FSD660M","FSD670","HHFDSEC","ADFDSEC","CHFDSEC"
12526,2,4,1,,,,,,,,,,,,,,,,,,,,,,1,1,1
12527,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12528,2,1,1,12,1,,,,,,,,,,,,,,,,,1,2,2,1,1,1
12529,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12530,1,1,2,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
12531,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12532,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12533,,,,,,,,,,,,,,,,,,,,,,,,,4,4,
12534,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12535,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12536,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12537,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12538,2,1,2,,,,,,,,,,,,,,,,,,,,,,1,1,1
12539,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12540,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12541,1,4,1,12,1,,,,,,,,1,1,2,2,,2,1,1,3,,,,4,4,3
12542,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12543,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12544,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12545,,,,,,,,,,,,,,,,,,,,,,,,,,,
12546,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12547,1,,,,,,,,,,,,,,,,,,,,,,,,3,3,1
12548,2,,,,,,,,,,,,,,,,,,,,,2,,,,,
12549,1,,,,,,,,,,,,,,,,,,1,1,1,,,,3,3,3
12550,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12551,2,,,,,,,,,,,,,,,,,,,,,2,,,1,1,1
12552,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12553,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12554,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12555,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12556,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12557,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12558,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12559,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12560,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12561,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12562,1,,,,,,,,,,,,,,,,,,1,1,4,,,,1,1,1
12563,1,,,,,,,,,,,,,,,,,,1,1,5,,,,3,3,2
12564,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
12565,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12566,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12567,2,,,,,,,,,,,,,,,,,,,,,,,,4,4,3
12568,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12569,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12570,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12571,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12572,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12573,2,,,,,2,,2,2,2,2,,,,,,,,,,,,,,3,3,1
12574,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12575,1,,,,,,,,,,,,,,,,,,,,,,,,4,4,3
12576,2,,,,,,,,,,,,2,2,2,2,,2,,,,,,,2,2,1
12577,2,,,,,2,,2,2,2,2,,,,,,,,,,,2,,,2,2,1
12578,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12579,1,,,,,,,,,,,,,,,,,,1,1,2,,,,3,3,1
12580,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12581,2,,,,,2,,2,2,2,2,,,,,,,,,,,,,,4,4,3
12582,2,,,,,2,,2,2,2,2,,,,,,,,,,,,,,3,4,1
12583,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2
12584,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12585,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12586,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12587,2,1,2,,,,,,,,,,,,,,,,,,,,,,4,4,3
12588,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12589,2,,,,,,,,,,,,,,,,,,,,,2,,,1,1,1
12590,,,,,,,,,,,,,,,,,,,,,,,,,,,
12591,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12592,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,1
12593,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
12594,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12595,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12596,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12597,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12598,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12599,1,,,,,,,,,,,,2,2,2,2,,2,,,,,,,3,3,2
12600,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
12601,2,2,2,,,,,,,,,,2,2,2,2,,2,,,,,,,2,2,1
12602,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12603,1,,,,,,,,,,,,,,,,,,1,1,1,,,,2,2,1
12604,1,,,,,,,,,,,,,,,,,,,,,1,2,1,3,3,2
12605,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12606,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12607,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12608,2,4,1,12,1,1,1,2,2,2,1,1,,,,,,,,,,,,,2,2,1
12609,2,,,,,,,,,,,,,,,,,,,,,2,,,1,1,1
12610,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12611,2,1,2,,,,,,,,,,,,,,,,,,,,,,1,1,
12612,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,1
12613,2,1,2,,,,,,,,,,,,,,,,,,,,,,1,1,1
12614,2,,,,,,,,,,,,,,,,,,,,,,,,,,
12615,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12616,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12617,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12618,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12619,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12620,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12621,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12622,1,4,2,,,2,,1,2,2,2,,,,,,,,,,,,,,3,2,3
12623,2,,,,,,,,,,,,,,,,,,,,,,,,,,
12624,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12625,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12626,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12627,2,,,,,,,,,,,,2,2,2,2,,2,1,1,4,,,,3,2,2
12628,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12629,1,3,1,12,1,,,,,,,,2,2,2,2,,2,1,1,6,,,,3,3,3
12630,1,2,1,12,1,,,,,,,,,,,,,,1,1,2,,,,1,1,1
12631,1,,,,,,,,,,,,,,,,,,1,1,2,,,,3,3,3
12632,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12633,2,,,,,,,,,,,,,,,,,,,,,,,,,,
12634,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12635,2,6,2,,,,,,,,,,,,,,,,,,,,,,1,1,1
12636,2,3,1,,,,,,,,,,,,,,,,,,,,,,1,1,1
12637,1,1,2,,,,,,,,,,,,,,,,1,1,2,,,,1,1,1
12638,1,3,2,,,,,,,,,,2,2,2,2,,2,2,,,,,,2,2,1
12639,1,,,,,,,,,,,,,,,,,,1,1,4,,,,1,1,1
12640,,,,,,,,,,,,,,,,,,,,,,,,,2,2,
12641,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12642,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1
12643,2,3,1,1,1,,,,,,,,,,,,,,2,,,,,,2,1,2
12644,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12645,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,2
12646,1,1,2,,,,,,,,,,2,2,2,2,,2,,,,,,,3,3,3
12647,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12648,1,4,1,,,,,,,,,,1,1,2,1,15,2,1,1,1,,,,4,4,4
12649,1,,,,,,,,,,,,,,,,,,1,2,5,,,,1,1,1
12650,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
12651,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12652,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12653,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12654,1,,,,,,,,,,,,,,,,,,1,2,6,,,,2,2,1
12655,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12656,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12657,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12658,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
12659,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12660,1,,,,,,,,,,,,,,,,,,1,1,6,,,,1,1,1
12661,1,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,1
12662,2,,,,,,,,,,,,,,,,,,,,,,,,3,2,3
12663,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12664,2,,,,,,,,,,,,,,,,,,,,,,,,3,2,2
12665,2,,,,,,,,,,,,,,,,,,,,,,,,,,
12666,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12667,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12668,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12669,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12670,1,,,,,,,,,,,,2,2,2,2,,2,,,,,,,3,3,3
12671,1,1,2,,,2,,2,2,2,2,,,,,,,,,,,,,,2,2,1
12672,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12673,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12674,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12675,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12676,2,2,1,12,1,2,,2,2,2,2,,,,,,,,,,,,,,3,3,3
12677,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12678,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12679,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
12680,2,1,2,,,,,,,,,,,,,,,,,,,,,,1,1,1
12681,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12682,,,,,,,,,,,,,,,,,,,,,,,,,,,
12683,2,,,,,,,,,,,,,,,,,,,,,2,,,1,1,
12684,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12685,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12686,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12687,2,,,,,,,,,,,,,,,,,,,,,,,,3,3,
12688,2,,,,,2,,2,2,2,2,,,,,,,,,,,,,,4,4,
12689,2,1,1,12,1,,,,,,,,,,,,,,,,,,,,,,
12690,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12691,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12692,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12693,2,,,,,1,7,2,2,2,2,,,,,,,,,,,,,,3,3,
12694,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12695,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12696,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12697,,1,1,12,1,2,,2,2,2,2,,,,,,,,,,,,,,2,2,
12698,1,5,1,12,1,,,,,,,,,,,,,,,,,2,,,1,1,1
12699,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12700,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12701,2,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,
12702,2,1,1,12,1,,,,,,,,,,,,,,,,,,,,1,1,
12703,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12704,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12705,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12706,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12707,1,3,2,,,,,,,,,,,,,,,,1,1,6,,,,1,1,1
12708,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12709,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12710,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12711,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12712,2,1,1,12,1,,,,,,,,,,,,,,,,,2,,,3,3,3
12713,1,,,,,,,,,,,,,,,,,,1,1,5,,,,1,1,1
12714,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12715,2,1,2,,,,,,,,,,1,1,1,1,2,1,,,,,,,4,4,4
12716,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12717,1,,,,,2,,2,2,2,2,,,,,,,,,,,,,,2,2,1
12718,1,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,1
12719,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12720,1,1,2,,,1,4,1,1,1,2,,,,,,,,,,,,,,4,3,4
12721,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12722,,,,,,2,,2,2,2,2,,,,,,,,,,,,,,2,2,
12723,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12724,1,,,,,,,,,,,,2,2,2,2,,2,1,1,2,,,,4,3,3
12725,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
12726,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12727,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12728,2,,,,,,,,,,,,,,,,,,,,,,,,,,
12729,1,,,,,2,,2,2,2,2,,,,,,,,,,,1,1,1,3,3,3
12730,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,
12731,2,4,1,12,1,,,,,,,,,,,,,,2,,,,,,1,1,1
12732,2,1,2,,,,,,,,,,,,,,,,2,,,,,,2,2,1
12733,2,,,,,1,4,1,1,1,2,,,,,,,,,,,,,,4,4,
12734,1,1,2,,,,,,,,,,,,,,,,1,1,4,,,,1,1,1
12735,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12736,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
12737,2,,,,,,,,,,,,,,,,,,,,,,,,4,4,3
12738,2,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,1
12739,2,,,,,,,,,,,,2,2,2,2,,2,,,,,,,4,4,4
12740,2,,,,,,,,,,,,,,,,,,,,,2,,,1,1,1
12741,2,,,,,,,,,,,,2,2,2,2,,2,,,,,,,3,3,3
12742,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12743,1,5,1,2,1,,,,,,,,,,,,,,1,1,2,,,,1,1,1
12744,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12745,,,,,,,,,,,,,,,,,,,,,,,,,,,
12746,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12747,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12748,2,,,,,,,,,,,,,,,,,,,,,,,,3,3,1
12749,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12750,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12751,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12752,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12753,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12754,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12755,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12756,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
12757,1,3,1,12,2,,,,,,,,,,,,,,1,1,3,,,,1,1,1
12758,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12759,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12760,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12761,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12762,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12763,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12764,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12765,1,4,1,12,1,,,,,,,,,,,,,,,,,,,,1,1,1
12766,1,4,1,,,,,,,,,,,,,,,,,,,,,,1,1,1
12767,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12768,1,,,,,,,,,,,,,,,,,,1,1,2,,,,2,2,1
12769,2,,,,,,,,,,,,,,,,,,,,,,,,2,1,2
12770,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12771,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
12772,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12773,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12774,2,,,,,,,,,,,,,,,,,,,,,,,,,,
12775,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12776,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
12777,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12778,1,1,2,,,,,,,,,,1,1,2,2,,2,1,1,2,,,,4,4,3
12779,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12780,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12781,1,,,,,,,,,,,,,,,,,,,,,,,,3,3,3
12782,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12783,2,,,,,,,,,,,,2,2,2,2,,2,2,,,,,,4,4,4
12784,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12785,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12786,2,3,1,4,2,,,,,,,,,,,,,,,,,,,,1,1,1
12787,1,3,1,2,1,,,,,,,,,,,,,,1,1,,,,,1,1,1
12788,2,4,1,4,1,,,,,,,,,,,,,,2,,,,,,3,3,2
12789,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
12790,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12791,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12792,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12793,2,2,1,,,,,,,,,,,,,,,,,,,,,,1,1,1
12794,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12795,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12796,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12797,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
12798,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12799,1,1,2,,,,,,,,,,,,,,,,1,1,2,,,,1,1,1
12800,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
12801,2,,,,,2,,2,2,2,2,,,,,,,,,,,,,,2,1,2
12802,1,3,1,,,,,,,,,,,,,,,,,,,,,,4,3,3
12803,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12804,1,,,,,,,,,,,,,,,,,,,,,,,,3,3,3
12805,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12806,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12807,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12808,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12809,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12810,,,,,,,,,,,,,,,,,,,,,,,,,,,
12811,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12812,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12813,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12814,2,1,2,,,,,,,,,,,,,,,,,,,,,,3,3,1
12815,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12816,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12817,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12818,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12819,1,2,2,,,,,,,,,,,,,,,,,,,,,,1,1,1
12820,2,,,,,1,4,1,2,2,2,,,,,,,,,,,,,,4,4,
12821,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12822,2,5,1,12,1,,,,,,,,,,,,,,,,,,,,2,2,1
12823,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
12824,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12825,2,,,,,,,,,,,,,,,,,,,,,,,,,,
12826,1,,,,,,,,,,,,,,,,,,,,,,,,3,3,2
12827,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12828,2,,,,,1,30,2,2,2,2,,,,,,,,,,,,,,3,2,3
12829,1,,,,,,,,,,,,,,,,,,1,1,2,,,,1,1,1
12830,2,,,,,2,,2,2,2,2,,,,,,,,,,,,,,3,3,
12831,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12832,1,,,,,2,,2,2,2,2,,,,,,,,,,,,,,3,3,3
12833,1,,,,,,,,,,,,,,,,,,1,2,5,,,,3,3,2
12834,2,,,,,2,,2,2,2,2,,,,,,,,,,,,,,3,3,2
12835,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12836,2,,,,,,,,,,,,,,,,,,2,,,,,,2,2,1
12837,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12838,,,,,,,,,,,,,,,,,,,,,,,,,,,
12839,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
12840,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
12841,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12842,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12843,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12844,2,,,,,,,,,,,,,,,,,,2,,,,,,3,3,3
12845,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12846,2,3,1,,,,,,,,,,,,,,,,2,,,,,,1,1,1
12847,1,,,,,,,,,,,,,,,,,,1,1,1,,,,1,1,1
12848,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12849,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12850,2,1,2,,,2,,1,1,2,2,,,,,,,,,,,,,,2,2,1
12851,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12852,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12853,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12854,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12855,,,,,,,,,,,,,,,,,,,,,,,,,,,
12856,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12857,2,,,,,2,,2,2,2,2,,,,,,,,,,,,,,2,1,2
12858,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12859,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12860,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12861,1,,,,,,,,,,,,,,,,,,1,1,3,,,,1,1,1
12862,2,1,2,,,,,,,,,,1,2,2,2,,2,,,,,,,4,4,3
12863,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
12864,2,,,,,2,,2,2,2,2,,,,,,,,,,,,,,4,4,
12865,2,4,1,12,1,2,,2,2,2,2,,,,,,,,,,,,,,3,3,1
12866,1,,,,,,,,,,,,,,,,,,1,1,3,,,,1,1,1
12867,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12868,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12869,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12870,1,,,,,2,,2,2,2,2,,,,,,,,,,,,,,3,3,1
12871,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12872,2,,,,,2,,2,2,2,2,,,,,,,,,,,,,,3,2,3
12873,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12874,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12875,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,1
12876,2,,,,,,,,,,,,,,,,,,,,,2,,,1,1,1
12877,1,4,1,4,1,,,,,,,,1,1,1,1,2,2,1,1,1,,,,4,4,4
12878,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12879,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12880,,,,,,2,,2,2,2,2,,,,,,,,,,,,,,2,2,
12881,2,1,2,,,,,,,,,,,,,,,,,,,,,,1,1,1
12882,1,1,2,,,,,,,,,,2,2,2,2,,2,1,1,6,,,,4,4,3
12883,,,,,,,,,,,,,,,,,,,,,,,,,3,3,
12884,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12885,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12886,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12887,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12888,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12889,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,2
12890,2,1,1,12,1,,,,,,,,,,,,,,,,,,,,1,1,
12891,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12892,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12893,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12894,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
12895,2,,,,,,,,,,,,2,2,2,2,,2,,,,,,,3,3,1
12896,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12897,2,,,,,,,,,,,,,,,,,,2,,,,,,,,
12898,2,,,,,,,,,,,,,,,,,,,,,2,,,2,2,1
12899,,,,,,,,,,,,,,,,,,,,,,,,,,,
12900,1,3,1,2,1,,,,,,,,,,,,,,1,1,1,,,,1,1,1
12901,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12902,,1,1,5,1,,,,,,,,,,,,,,,,,,,,1,1,1
12903,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12904,2,,,,,,,,,,,,,,,,,,2,,,,,,,,
12905,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12906,2,,,,,,,,,,,,2,2,2,2,,2,,,,,,,3,2,3
12907,2,,,,,1,5,1,2,2,2,,,,,,,,,,,,,,3,3,3
12908,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12909,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12910,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12911,2,,,,,,,,,,,,,,,,,,,,,2,,,1,1,
12912,2,,,,,,,,,,,,,,,,,,,,,,,,3,3,2
12913,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12914,1,3,2,,,,,,,,,,,,,,,,,,,,,,1,1,1
12915,1,5,1,12,1,,,,,,,,,,,,,,1,1,2,,,,1,1,1
12916,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
12917,2,,,,,,,,,,,,,,,,,,,,,,,,3,3,2
12918,2,2,1,12,1,,,,,,,,,,,,,,,,,,,,1,1,1
12919,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
12920,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
12921,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
