"SEQN","FSD160","FSD170N","FSD180","FSD190","FSD200","FSQ400","FSQ410","FSQ420","FSQ430","FSQ440","FSD450","FSQ460","FSQ470","FSQ480","FSQ490","FSQ500","FSQ510","FSD520","FSD655","FSD660C","FSD665","FSQ650","FSD660M","FSD670","HHFDSEC","ADFDSEC","CHFDSEC"
9998,1,,,,,,,,,,,,2,2,2,2,,2,,,,,,,3,3,3
9999,2,,,,,2,,2,2,2,2,,,,,,,,,,,,,,2,1,2
10000,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10001,1,,,,,2,,2,2,2,2,,,,,,,,,,,,,,3,3,3
10002,2,,,,,,,,,,,,,,,,,,,,,,,,,,
10003,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10004,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10005,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10006,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10007,2,,,,,2,,2,2,2,2,,,,,,,,,,,,,,2,2,
10008,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10009,2,,,,,,,,,,,,,,,,,,2,,,,,,2,2,1
10010,1,6,1,,,,,,,,,,2,2,2,2,,2,1,1,1,,,,3,3,3
10011,1,1,1,,,,,,,,,,,,,,,,,,,,,,3,3,3
10012,1,7,1,12,1,,,,,,,,,,,,,,,,,,,,1,1,1
10013,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10014,,,,,,,,,,,,,,,,,,,,,,,,,2,2,
10015,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10016,1,2,1,,,,,,,,,,,,,,,,1,2,6,,,,,,
10017,2,,,,,,,,,,,,,,,,,,,,,2,,,1,1,1
10018,2,,,,,,,,,,,,,,,,,,,,,,,,4,4,4
10019,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10020,2,,,,,2,,2,2,2,2,,,,,,,,,,,,,,4,4,4
10021,,,,,,2,,2,2,2,2,,,,,,,,,,,,,,4,4,
10022,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10023,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10024,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10025,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10026,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
10027,,,,,,,,,,,,,,,,,,,,,,,,,,,
10028,1,5,1,12,1,,,,,,,,,,,,,,1,1,6,,,,1,1,1
10029,,,,,,,,,,,,,,,,,,,,,,,,,,,
10030,2,,,,,,,,,,,,,,,,,,,,,,,,3,2,3
10031,2,1,1,12,1,,,,,,,,,,,,,,,,,2,,,3,3,1
10032,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10033,2,,,,,,,,,,,,,,,,,,,,,,,,4,4,3
10034,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,
10035,1,1,2,,,1,4,1,2,2,2,,,,,,,,,,,1,1,2,3,3,
10036,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10037,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10038,2,,,,,,,,,,,,,,,,,,,,,,,,,,
10039,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10040,2,1,2,,,,,,,,,,,,,,,,,,,,,,1,1,1
10041,2,,,,,2,,2,2,2,2,,,,,,,,,,,,,,2,2,1
10042,2,7,1,12,1,,,,,,,,,,,,,,,,,,,,1,1,1
10043,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10044,,,,,,,,,,,,,,,,,,,,,,,,,4,4,
10045,2,,,,,2,,1,2,2,2,,,,,,,,,,,,,,4,4,4
10046,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10047,2,,,,,2,,2,2,2,2,,,,,,,,,,,,,,3,3,3
10048,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10049,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10050,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10051,2,4,1,6,2,2,,2,2,2,2,,,,,,,,,,,,,,4,4,
10052,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10053,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10054,,,,,,,,,,,,,,,,,,,,,,,,,,,
10055,2,,,,,1,10,1,2,2,2,,,,,,,,,,,,,,4,4,3
10056,,,,,,,,,,,,,,,,,,,,,,,,,,,
10057,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10058,1,,,,,2,,2,2,2,2,,,,,,,,,,,,,,4,4,3
10059,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
10060,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10061,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10062,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
10063,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10064,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10065,2,,,,,,,,,,,,,,,,,,2,,,,,,1,1,1
10066,1,,,,,,,,,,,,1,1,1,1,3,2,1,1,5,,,,3,3,3
